Domain,Machine Learning Task,User Story,Paraphrased User Story,original_total_characters,llm_total_characters,diff_total_characters,original_uppercase_characters,llm_uppercase_characters,diff_uppercase_characters,original_lowercase_characters,llm_lowercase_characters,diff_lowercase_characters,original_special_characters,llm_special_characters,diff_special_characters,original_numbers,llm_numbers,diff_numbers,original_blanks,llm_blanks,diff_blanks,original_number_of_words,llm_number_of_words,diff_number_of_words,original_average_length_of_words,llm_average_length_of_words,diff_average_length_of_words,original_number_of_propositions,llm_number_of_propositions,diff_number_of_propositions,original_average_length_of_propositions,llm_average_length_of_propositions,diff_average_length_of_propositions,original_punctuation_characters,llm_punctuation_characters,diff_punctuation_characters,original_lowercase_words,llm_lowercase_words,diff_lowercase_words,original_uppercase_words,llm_uppercase_words,diff_uppercase_words,original_vocabulary_richness,llm_vocabulary_richness,diff_vocabulary_richness,original_number_of_urls,llm_number_of_urls,diff_number_of_urls,original_flesch_kincaid_grade_level,llm_flesch_kincaid_grade_level,diff_flesch_kincaid_grade_level,original_flesch_reading_ease,llm_flesch_reading_ease,diff_flesch_reading_ease,original_dale_chall_readability,llm_dale_chall_readability,diff_dale_chall_readability,original_automated_readability_index,llm_automated_readability_index,diff_automated_readability_index,original_coleman_liau_index,llm_coleman_liau_index,diff_coleman_liau_index,original_gunning_fog,llm_gunning_fog,diff_gunning_fog,original_smog_index,llm_smog_index,diff_smog_index,original_linsear_write_index,llm_linsear_write_index,diff_linsear_write_index
Biology,attention mechanism,"As a cognitive psychologist, I want to use attention mechanisms to study how the brain selectively processes and prioritizes sensory information, to better understand cognitive processing and develop new therapies for attentional disorders like ADHD.","As a cognitive psychologist, I want to use attention mechanisms to study how the brain selectively processes and prioritizes sensory information, to better understand cognitive processing and develop new therapies for attentional disorders like ADHD.",250,250,0,6,6,0,207,207,0,3,3,0,0,0,0,34,34,0,35,35,0,6.171428571428572,6.171428571428572,0.0,1,1,0,35.0,35.0,0.0,3,3,0,32,32,0,2,2,0,31,31,0,0,0,0,22.8,22.8,0.0,-6.36,-6.36,0.0,11.69,11.69,0.0,25.1,25.1,0.0,18.63,18.63,0.0,28.86,28.86,0.0,0.0,0.0,0.0,33.5,33.5,0.0
Biology,autoencoder,"A team of bioinformaticians is using autoencoders to compress large sets of genomic data into more compact representations, allowing for more efficient analysis and processing of the data.","A group of bioinformatician are utilizing autoencoders to shrink massive sets of genomic data into more condensed representations, enabling expedited examination and handling of the information.",188,194,-6,1,1,0,158,166,-8,2,2,0,0,0,0,27,25,2,28,26,2,5.75,6.5,-0.75,1,1,0,28.0,26.0,2.0,2,2,0,27,25,2,1,1,0,25,24,1,0,0,0,17.8,19.3,-1.5,17.68,2.79,14.89,12.36,14.04,-1.6799999999999997,19.7,22.2,-2.5,15.96,20.25,-4.289999999999999,22.63,22.71,-0.08000000000000185,0.0,0.0,0.0,22.0,21.0,1.0
Biology,automated pattern recognition,"As a biologist, I want to use automated pattern recognition techniques to quickly and accurately identify different species of plants and animals based on their physical features, so that I can better understand the biodiversity of natural ecosystems.","As a biologist, I want to leverage automated pattern recognition techniques to quickly and accurately identify different species of plants and animals based on their physical features, so that I can gain a deeper understanding of the biodiversity of natural ecosystems.",251,269,-18,3,3,0,208,223,-15,3,3,0,0,0,0,37,40,-3,38,41,-3,5.631578947368421,5.585365853658536,0.04621309370988502,1,1,0,38.0,41.0,-3.0,3,3,0,35,38,-3,2,2,0,34,35,-1,0,0,0,21.7,22.8,-1.1000000000000014,7.53,4.48,3.05,12.17,12.99,-0.8200000000000003,24.1,25.4,-1.2999999999999972,15.5,15.57,-0.07000000000000028,24.67,26.16,-1.4899999999999984,0.0,0.0,0.0,30.0,31.5,-1.5
Biology,automatic summarization,"A group of researchers is using automatic summarization to extract key information from scientific articles and reports, enabling more efficient review and analysis of the literature.","A team of researchers leverages automated summarization to condense crucial details from academic papers and reports, streamlining their study and evaluation process.",183,166,17,1,1,0,155,142,13,2,2,0,0,0,0,25,21,4,26,22,4,6.076923076923077,6.590909090909091,-0.5139860139860142,1,1,0,26.0,22.0,4.0,2,2,0,25,21,4,1,1,0,24,21,3,0,0,0,18.2,15.4,2.799999999999999,11.25,23.77,-12.52,12.82,14.06,-1.2400000000000002,20.2,20.6,-0.40000000000000213,17.82,20.42,-2.6000000000000014,22.71,17.89,4.82,0.0,0.0,0.0,21.0,16.0,5.0
Biology,backpropagation,"A researcher in computational biology is using backpropagation to train a machine learning algorithm to predict the likelihood of different genetic mutations leading to cancer. By analyzing large sets of genomic data, the algorithm is trained to identify the underlying genetic factors that contribute to cancer development.","A computational biologist is utilizing backpropagation to train a machine learning model to predict the likelihood of various genetic mutations resulting in cancer. By analyzing vast amounts of genomic data, the model is being trained to identify the underlying genetic factors that contribute to cancer growth.",324,311,13,2,2,0,273,261,12,3,3,0,0,0,0,46,45,1,47,46,1,5.914893617021277,5.782608695652174,0.13228492136910308,2,2,0,23.5,23.0,0.5,3,3,0,45,44,1,1,1,0,36,36,0,0,0,0,18.4,17.0,1.3999999999999986,5.32,14.29,-8.969999999999999,12.53,13.02,-0.4900000000000002,18.2,17.3,0.8999999999999986,16.95,16.19,0.759999999999998,20.46,21.37,-0.9100000000000001,0.0,0.0,0.0,19.75,19.0,0.75
Biology,bag of words,"A team is using bag of words models to analyze DNA sequences, aiding in the identification of regulatory regions and the development of new genetic therapies.","A team leverages bag-of-words models to analyze DNA sequences, facilitating the discovery of regulatory regions and advancing the creation of novel genetic treatments.",158,167,-9,4,4,0,127,137,-10,2,4,-2,0,0,0,25,22,3,26,23,3,5.115384615384615,6.304347826086956,-1.1889632107023411,1,1,0,26.0,23.0,3.0,2,4,-2,24,21,3,2,2,0,23,21,2,0,0,0,15.8,17.0,-1.1999999999999993,28.17,14.29,13.880000000000003,12.82,15.08,-2.26,15.7,19.7,-4.0,12.25,18.57,-6.32,19.63,19.63,0.0,0.0,0.0,0.0,19.0,17.5,1.5
Biology,bagging,"As a bioinformatics analyst, I want to use bagging to improve the accuracy of my predictive model for identifying genetic variants associated with drug response, to facilitate precision medicine and improve patient outcomes.","As a bioinformatics analyst, I need a way to enhance the accuracy of my predictive model for identifying genetic variations linked to drug responses, so that I can contribute to precision medicine and better patient outcomes through improved diagnosis and treatment.",224,266,-42,2,3,-1,187,220,-33,3,3,0,0,0,0,32,40,-8,33,41,-8,5.818181818181818,5.512195121951219,0.30598669623059926,1,1,0,33.0,41.0,-8.0,3,3,0,31,38,-7,1,2,-1,30,36,-6,0,0,0,20.9,21.6,-0.7000000000000028,4.14,12.94,-8.8,12.93,12.99,-0.0600000000000005,22.5,25.0,-2.5,16.55,15.16,1.3900000000000006,24.11,27.13,-3.0199999999999996,0.0,0.0,0.0,25.5,31.5,-6.0
Biology,batch learning,"As a machine learning engineer, I want to use batch learning to train deep neural networks that can accurately predict protein folding and improve our understanding of protein structure and function.","As a machine learning engineer, I want to leverage batch learning techniques to train deep neural networks that can accurately predict protein folding and enhance our comprehension of protein structure and function, ultimately leading to breakthroughs in the field of biochemistry and molecular biology.",199,303,-104,2,2,0,165,255,-90,2,3,-1,0,0,0,30,43,-13,31,44,-13,5.451612903225806,5.909090909090909,-0.4574780058651031,1,1,0,31.0,44.0,-13.0,2,3,-1,29,42,-13,1,1,0,27,37,-10,0,0,0,15.4,22.8,-7.4,40.01,9.9,30.11,10.27,12.64,-2.370000000000001,19.7,28.4,-8.7,14.57,17.48,-2.91,14.98,23.05,-8.07,0.0,0.0,0.0,18.5,29.0,-10.5
Biology,bayesian learning,"As a computational biologist, I want to use Bayesian learning techniques to model the behavior of different biological systems and study how they respond to different stimuli and environmental factors.","As a computational biologist, I aim to utilize Bayesian learning methods to model various biological processes and investigate how these systems react to diverse stimuli and environmental variables using computational simulations.",201,230,-29,3,3,0,167,195,-28,2,2,0,0,0,0,29,30,-1,30,31,-1,5.733333333333333,6.451612903225806,-0.7182795698924727,1,1,0,30.0,31.0,-1.0,2,2,0,27,28,-1,1,1,0,26,27,-1,0,0,0,18.5,23.6,-5.100000000000001,15.65,-19.22,34.87,11.97,14.85,-2.879999999999999,20.6,24.4,-3.799999999999997,16.2,20.37,-4.170000000000002,18.67,22.72,-4.049999999999997,0.0,0.0,0.0,22.0,24.5,-2.5
Biology,bayesian network model,"A team of biologists is using a Bayesian network model to identify the underlying factors that contribute to disease susceptibility in different populations. By analyzing large sets of genomic and clinical data, the model is trained to identify genetic and environmental risk factors that contribute to disease development.","A team of biologists utilizes a Bayesian network model to uncover underlying factors contributing to disease susceptibility in various populations. By analyzing vast amounts of genomic and clinical data, the model is trained to identify genetic and environmental risk factors leading to disease development.",323,307,16,3,3,0,270,258,12,3,3,0,0,0,0,47,43,4,48,44,4,5.75,6.0,-0.25,2,2,0,24.0,22.0,2.0,3,3,0,45,41,4,1,1,0,34,35,-1,0,0,0,17.4,17.8,-0.40000000000000213,13.28,6.84,6.4399999999999995,12.06,14.06,-2.0,17.7,17.8,-0.10000000000000142,16.02,17.11,-1.0899999999999999,19.6,21.53,-1.9299999999999997,0.0,0.0,0.0,19.5,18.0,1.5
Biology,bayesian neural network,"As a computational biologist, I want to use bayesian neural networks to model complex biological systems and predict their behavior under different conditions, so that I can gain a deeper understanding of the underlying mechanisms that govern cellular processes.","As a computational biologist, I want to leverage Bayesian neural networks to model complex biological systems and predict their behavior under varying conditions, so I can gain a deeper understanding of the underlying mechanisms that govern cellular processes.",262,260,2,3,4,-1,218,216,2,3,3,0,0,0,0,38,37,1,39,38,1,5.743589743589744,5.868421052631579,-0.12483130904183515,1,1,0,39.0,38.0,1.0,3,3,0,36,34,2,2,2,0,35,35,0,0,0,0,23.2,22.8,0.3999999999999986,-1.96,-0.94,-1.02,12.86,13.83,-0.9700000000000006,25.1,25.2,-0.09999999999999787,16.2,16.89,-0.6900000000000013,25.86,25.73,0.129999999999999,0.0,0.0,0.0,30.5,29.0,1.5
Biology,bidirectional long short-term memory,"As a bioinformatics researcher, I want to use bi-directional long short-term memory networks to analyze large sets of genomic data and identify patterns of gene expression over time, so that I can better understand the regulatory mechanisms that control cell function.","As a bioinformatics researcher, I want to use bi-directional long short-term memory networks to analyze large sets of genomic data and identify patterns of gene expression over time, so that I can better understand the regulatory mechanisms that control cell function.",268,268,0,3,3,0,220,220,0,5,5,0,0,0,0,40,40,0,41,41,0,5.560975609756097,5.560975609756097,0.0,1,1,0,41.0,41.0,0.0,5,5,0,38,38,0,2,2,0,37,37,0,0,0,0,21.6,21.6,0.0,12.94,12.94,0.0,12.6,12.6,0.0,25.3,25.3,0.0,15.16,15.16,0.0,25.18,25.18,0.0,0.0,0.0,0.0,30.5,30.5,0.0
Biology,bidirectional long short-term memory,"As a bioinformatics researcher, I want to use bidirectional long short-term memory (BiLSTM) networks to accurately predict protein structures based on their amino acid sequences. By training the BiLSTM network on a large dataset of protein sequences and their corresponding structures, I can leverage the network's ability to capture both forward and backward context to make more accurate predictions about the 3D structure of proteins. This will help me better understand the function of these proteins and potentially lead to the discovery of new drug targets","As a bioinformatics researcher, I want to utilize bidirectional long short-term memory (BiLSTM) networks to accurately predict protein structures based on their amino acid sequences. By training the BiLSTM network on a vast dataset of protein sequences and their corresponding structures, I can exploit the network's capacity to capture both forward and backward context to make more accurate predictions about the 3D structure of proteins. This will enable me to gain a deeper understanding of the function of these proteins and potentially lead to the discovery of new drug targets.",562,584,-22,16,16,0,452,469,-17,8,9,-1,1,1,0,85,89,-4,86,90,-4,5.546511627906977,5.5,0.04651162790697683,3,3,0,28.666666666666668,30.0,-1.3333333333333321,8,9,-1,78,82,-4,3,3,0,68,69,-1,0,0,0,14.5,15.0,-0.5,42.34,41.03,1.3100000000000023,11.12,11.79,-0.6699999999999999,19.0,19.5,-0.5,14.92,14.63,0.28999999999999915,16.13,16.89,-0.7600000000000016,14.1,14.1,0.0,18.0,18.666666666666668,-0.6666666666666679
Biology,bidirectional recurrent neural network,"As a bioinformatician, I want to use bidirectional recurrent neural networks to model the dynamic behavior of biological systems and predict their response to different stimuli, so that I can develop new therapeutic strategies for disease treatment.","As a bioinformatician, I want to leverage the power of bidirectional recurrent neural networks (RNNs) to model the complex dynamics of biological systems and predict their responses to various stimuli. This will enable me to create novel therapeutic approaches for disease treatment.",249,283,-34,3,6,-3,207,231,-24,3,5,-2,0,0,0,36,41,-5,37,42,-5,5.756756756756757,5.761904761904762,-0.005148005148004842,1,2,-1,37.0,21.0,16.0,3,5,-2,34,38,-4,2,1,1,34,37,-3,0,0,0,21.3,15.0,6.300000000000001,8.54,24.78,-16.240000000000002,13.15,13.33,-0.17999999999999972,24.2,16.2,8.0,16.26,15.43,0.8300000000000018,23.45,16.97,6.48,0.0,0.0,0.0,27.5,15.0,12.5
Biology,bigram,"Researchers are using bigram models to analyze patterns of antibiotic resistance in bacterial populations, facilitating the development of new treatments and interventions.","Researchers leverage bigrams to uncover patterns of antibiotic resistance in bacterial communities, paving the way for innovative therapies and strategies.",172,155,17,1,1,0,148,133,15,2,2,0,0,0,0,21,19,2,22,20,2,6.863636363636363,6.8,0.06363636363636349,1,1,0,22.0,20.0,2.0,2,2,0,21,19,2,0,0,0,21,20,1,0,0,0,20.1,18.2,1.9000000000000021,-10.08,0.42,-10.5,14.78,14.89,-0.11000000000000121,21.9,20.6,1.2999999999999972,21.99,21.58,0.41000000000000014,23.35,22.0,1.3500000000000014,0.0,0.0,0.0,19.0,17.0,2.0
Biology,bilstm,"As a computational biologist, I want to use bidirectional long short-term memory (bilstm) models to analyze large sets of genomic data and predict the expression levels of different genes in response to different stimuli, so that I can better understand the underlying regulatory mechanisms that control cell function. By training bilstm models on gene expression data and integrating other relevant genomic features, such as chromatin accessibility and DNA methylation, I can identify key gene regulatory networks and pathways that are involved in specific biological processes. T","As a computational biologist, I want to use bidirectional long short-term memory (bilstm) models to analyze large sets of genomic data and predict the expression levels of different genes in response to different stimuli, so that I can better understand the underlying regulatory mechanisms that control cell function. By training bilstm models on gene expression data and integrating other relevant genomic features, such as chromatin accessibility and DNA methylation, I can identify key gene regulatory networks and pathways that are involved in specific biological processes. This will allow me to make more accurate predictions about the behavior of cells and develop new insights into the underlying mechanisms of cellular regulation.",581,740,-159,9,9,0,478,612,-134,9,10,-1,0,0,0,85,109,-24,86,110,-24,5.767441860465116,5.736363636363636,0.031078224101479535,3,3,0,28.666666666666668,36.666666666666664,-7.9999999999999964,9,10,-1,79,103,-24,5,4,1,65,81,-16,0,0,0,24.8,22.3,2.5,-6.02,0.38,-6.3999999999999995,12.75,11.92,0.8300000000000001,27.2,23.9,3.3000000000000007,16.44,16.08,0.360000000000003,25.57,23.41,2.16,0.0,21.8,-21.8,33.5,25.666666666666668,7.833333333333332
Biology,binary classification,"As a bioinformatics researcher, I want to use binary classification algorithms to predict the presence or absence of specific genetic mutations that are associated with different diseases, so that I can develop personalized treatments and interventions.","As a bioinformatics researcher, I want to leverage binary classification algorithms to predict the presence or absence of specific genetic mutations associated with various diseases, enabling me to create tailored treatments and interventions.",253,243,10,3,2,1,212,206,6,3,3,0,0,0,0,35,32,3,36,33,3,6.055555555555555,6.393939393939394,-0.33838383838383823,1,1,0,36.0,33.0,3.0,3,3,0,33,31,2,2,1,1,33,31,2,0,0,0,22.1,22.1,0.0,1.1,-4.33,5.43,12.88,14.84,-1.959999999999999,25.1,25.2,-0.09999999999999787,17.94,19.85,-1.9100000000000001,26.62,25.32,1.3000000000000007,0.0,0.0,0.0,30.0,26.5,3.5
Biology,boosting method,"As a computational biologist, I want to use boosting methods to predict protein-protein interactions and identify new drug targets, to develop new treatments for diseases like cancer and Alzheimer's.","As a computational biologist, I aim to leverage machine learning techniques, particularly boosting methods, to predict protein-protein interactions and discover potential new drug targets. This will enable the development of innovative treatments for diseases such as cancer and Alzheimer's.",199,291,-92,3,4,-1,163,242,-79,5,7,-2,0,0,0,28,38,-10,29,39,-10,5.896551724137931,6.487179487179487,-0.5906277630415566,1,2,-1,29.0,19.5,9.5,5,7,-2,26,35,-9,1,1,0,25,36,-11,0,0,0,17.0,15.6,1.4000000000000004,25.12,17.84,7.280000000000001,13.24,13.11,0.13000000000000078,20.9,18.9,2.0,16.49,19.32,-2.830000000000002,18.5,14.98,3.5199999999999996,0.0,0.0,0.0,20.5,14.25,6.25
Biology,bootstrap aggregating,"As a genomics researcher, I want to use bootstrap aggregating to improve the accuracy of my predictive model for identifying genetic variants associated with disease, to facilitate precision medicine and improve patient outcomes.","As a genomics researcher, I aim to leverage bootstrapping techniques to enhance the accuracy of my predictive model for identifying genetic variants linked to disease, ultimately contributing to precision medicine and better patient outcomes.",229,242,-13,2,2,0,192,204,-12,3,3,0,0,0,0,32,33,-1,33,34,-1,5.96969696969697,6.147058823529412,-0.1773618538324424,1,1,0,33.0,34.0,-1.0,3,3,0,31,32,-1,1,1,0,30,31,-1,0,0,0,20.9,20.1,0.7999999999999972,4.14,11.59,-7.45,12.93,14.15,-1.2200000000000006,23.2,24.5,-1.3000000000000007,17.42,18.46,-1.0399999999999991,22.9,23.01,-0.11000000000000298,0.0,0.0,0.0,24.5,25.0,-0.5
Biology,c4.5 algorithm,"As a bioinformatics researcher, I want to use the c4.5 algorithm to analyze large sets of genetic data and identify the genes and proteins that are most strongly associated with specific diseases, so that I can develop personalized treatments and interventions.","As a bioinformatics researcher, I want to utilize the c4.5 algorithm on large datasets of genetic data to identify the most strongly associated genes and proteins with specific diseases, so that I can create personalized treatments and interventions.",261,250,11,3,3,0,212,204,8,4,4,0,2,2,0,40,37,3,41,38,3,5.390243902439025,5.605263157894737,-0.21501925545571243,2,2,0,21.0,19.5,1.5,4,4,0,38,35,3,2,2,0,35,34,1,0,0,0,13.6,13.1,0.5,33.75,35.27,-1.5200000000000031,12.36,12.89,-0.5300000000000011,14.2,14.5,-0.3000000000000007,13.4,14.62,-1.2199999999999989,17.96,16.02,1.9400000000000013,0.0,0.0,0.0,15.25,13.5,1.75
