Domain,Machine Learning Task,User Story,Paraphrased User Story,original_total_characters,llm_total_characters,diff_total_characters,original_uppercase_characters,llm_uppercase_characters,diff_uppercase_characters,original_lowercase_characters,llm_lowercase_characters,diff_lowercase_characters,original_special_characters,llm_special_characters,diff_special_characters,original_numbers,llm_numbers,diff_numbers,original_blanks,llm_blanks,diff_blanks,original_number_of_words,llm_number_of_words,diff_number_of_words,original_average_length_of_words,llm_average_length_of_words,diff_average_length_of_words,original_number_of_propositions,llm_number_of_propositions,diff_number_of_propositions,original_average_length_of_propositions,llm_average_length_of_propositions,diff_average_length_of_propositions,original_punctuation_characters,llm_punctuation_characters,diff_punctuation_characters,original_lowercase_words,llm_lowercase_words,diff_lowercase_words,original_uppercase_words,llm_uppercase_words,diff_uppercase_words,original_vocabulary_richness,llm_vocabulary_richness,diff_vocabulary_richness,original_number_of_urls,llm_number_of_urls,diff_number_of_urls,original_flesch_kincaid_grade_level,llm_flesch_kincaid_grade_level,diff_flesch_kincaid_grade_level,original_flesch_reading_ease,llm_flesch_reading_ease,diff_flesch_reading_ease,original_dale_chall_readability,llm_dale_chall_readability,diff_dale_chall_readability,original_automated_readability_index,llm_automated_readability_index,diff_automated_readability_index,original_coleman_liau_index,llm_coleman_liau_index,diff_coleman_liau_index,original_gunning_fog,llm_gunning_fog,diff_gunning_fog,original_smog_index,llm_smog_index,diff_smog_index,original_linsear_write_index,llm_linsear_write_index,diff_linsear_write_index
Social Work,machine augmented intelligence,"As a social worker, I want to use machine augmented intelligence to analyze patient data and provide more personalized and effective treatment plans. Machine augmented intelligence can help identify patterns in patient data that may not be immediately apparent to the human eye, allowing for more accurate diagnoses and treatment plans. It can also help predict patient outcomes and recommend treatments based on past successes and failures. Additionally, it can help identify areas where patients may be at higher risk and recommend targeted interventions.","As a social worker, I want to leverage machine augmented intelligence to analyze patient data and create more personalized and effective treatment plans, by utilizing the capabilities of AI to identify patterns in patient data that may not be apparent to the human eye, predict patient outcomes and recommend treatments based on past successes and failures, and identify areas where patients are at higher risk and recommend targeted interventions.",557,448,109,5,4,1,462,371,91,7,5,2,0,0,0,83,68,15,84,69,15,5.642857142857143,5.507246376811594,0.1356107660455494,4,1,3,21.0,69.0,-48.0,7,5,2,79,66,13,1,2,-1,59,55,4,0,0,0,13.8,32.6,-18.8,33.24,-15.49,48.73,10.88,14.38,-3.5,15.6,39.0,-23.4,14.97,15.4,-0.4299999999999997,16.02,35.14,-19.12,15.9,0.0,15.9,15.5,49.5,-34.0
Health,word similarity,"As a healthcare provider, I want to use machine learning techniques to measure the word similarity between electronic medical records and other patient data, so that I can identify common issues and improve the accuracy of diagnoses and treatment plans.",Use machine learning to analyze EMR and patient data for word similarities to identify common issues and improve diagnosis/treatment plan accuracy.,253,147,106,3,4,-1,208,121,87,3,2,1,0,0,0,39,20,19,40,21,19,5.35,6.047619047619048,-0.6976190476190478,1,1,0,40.0,21.0,19.0,3,2,1,37,19,18,2,1,1,35,19,16,0,0,0,20.1,16.2,3.900000000000002,22.42,16.32,6.100000000000001,12.33,13.7,-1.3699999999999992,23.8,17.6,6.199999999999999,13.94,17.23,-3.290000000000001,22.0,17.92,4.079999999999998,0.0,0.0,0.0,26.0,15.5,10.5
Law,long short-term memory (lstm),"As a legal professional, I want to use LSTM to analyze and predict patterns in legal cases, such as predicting which cases are likely to settle out of court or identifying factors that contribute to successful appeals, allowing for more informed decisions about legal strategy and resource allocation. Additionally, it can be used to identify patterns of legal precedent and decisions, allowing for better understanding of the legal system and more efficient legal research.","As a legal professional, I want to leverage LSTM analysis to gain insights from legal cases, including predicting out-of-court settlements and identifying factors contributing to successful appeals. This enables me to make more informed decisions about legal strategy and resource allocation, as well as better understand the legal system and conduct efficient research.",474,370,104,7,7,0,387,304,83,7,7,0,0,0,0,73,52,21,74,53,21,5.418918918918919,6.0,-0.5810810810810807,2,2,0,37.0,26.5,10.5,7,7,0,70,49,21,2,2,0,55,43,12,0,0,0,20.1,17.2,2.900000000000002,17.0,19.2,-2.1999999999999997,11.02,12.4,-1.3800000000000008,22.6,20.1,2.5,14.17,17.06,-2.889999999999999,22.37,19.66,2.710000000000001,0.0,0.0,0.0,26.5,20.25,6.25
Social Networks,tensorflow,"As a social network researcher, I want to use TensorFlow to build machine learning models that can accurately predict network dynamics, including social network analysis and community detection, based on data from social media platforms and other sources, so that I can develop more accurate models of social network behavior and understand the factors that influence social network dynamics.","As a machine learning researcher, I want to use TensorFlow to build accurate predictive models of social network dynamics, based on data from various sources, so that I can better understand the factors influencing these dynamics and develop more advanced models of social network behavior.",392,290,102,5,5,0,324,237,87,5,4,1,0,0,0,58,44,14,59,45,14,5.661016949152542,5.466666666666667,0.1943502824858756,1,1,0,59.0,45.0,14.0,5,4,1,55,41,14,2,2,0,43,39,4,0,0,0,28.7,23.2,5.5,-5.34,8.88,-14.22,12.72,12.18,0.5400000000000009,34.7,26.8,7.900000000000002,15.97,14.81,1.16,31.06,25.11,5.949999999999999,0.0,0.0,0.0,42.5,32.5,10.0
Biology,machine augmented intelligence,"A team of biologists is using machine augmented intelligence to enhance their ability to analyze and interpret complex biological data. By combining the strengths of both human and machine intelligence, the team is able to identify patterns and relationships in the data more quickly and accurately and gain deeper insights into complex biological systems.","By leveraging the complementary strengths of human and machine intelligence, a team of biologists can expedite and improve the analysis and interpretation of complex biological data, resulting in more accurate and profound insights into biological systems.",356,256,100,2,1,1,298,217,81,3,3,0,0,0,0,53,35,18,54,36,18,5.611111111111111,6.138888888888889,-0.5277777777777786,2,1,1,27.0,36.0,-9.0,3,3,0,52,35,17,1,0,1,40,29,11,0,0,0,17.4,23.2,-5.800000000000001,18.69,-7.37,26.06,11.12,12.88,-1.7600000000000016,18.5,25.5,-7.0,15.26,18.46,-3.200000000000001,18.95,25.51,-6.560000000000002,0.0,0.0,0.0,20.0,29.0,-9.0
Literature,embedding approach,"As a literary critic, I want to use an embedding approach to represent different literary works and their themes based on textual data and metadata, in order to analyze patterns of literary influence and identify common themes across literary genres.","As a literary critic, I want to use an embedding approach to represent different literary works and their themes based on textual data and metadata, in order to analyze patterns of literary influence and identify common themes across literary genres. Instead of relying solely on manual analysis, I want to leverage machine learning algorithms to automatically extract relevant features from the textual data and generate an embedding representation that captures the underlying thematic structure of the literature. This will enable me to gain a deeper understanding of the relationships between different literary works and their themes, and identify new insights and patterns that may not be immediately apparent through manual analysis alone.",250,746,-496,2,5,-3,206,623,-417,3,7,-4,0,0,0,39,111,-72,40,112,-72,5.275,5.669642857142857,-0.3946428571428564,1,3,-2,40.0,37.333333333333336,2.6666666666666643,3,7,-4,38,107,-69,1,2,-1,32,75,-43,0,0,0,21.3,21.4,-0.0999999999999978,13.96,8.24,5.720000000000001,12.33,11.41,0.92,23.4,23.9,-0.5,13.47,15.85,-2.379999999999999,24.0,23.13,0.870000000000001,0.0,22.4,-22.4,32.0,26.666666666666668,5.333333333333332
Psychology,cross-language information retrieval,"As a psychologist, I want to use cross-language information retrieval to access and analyze psychology research and practices from different languages and regions, enabling more comprehensive and accurate diagnosis and treatment of diverse patient populations.","As a multilingual AI language model, I can assist psychologists in accessing and analyzing psychology research and practices from various languages and regions, enabling more informed and culturally sensitive diagnosis and treatment of diverse patient populations. My capabilities enable the retrieval of information from multiple sources, including academic journals, books, and online resources, and my algorithms can identify relevant patterns and insights across different languages and cultures. By leveraging cross-language information retrieval, psychologists can gain a deeper understanding of psychological concepts and practices around the world, improving their ability to provide effective care for patients from diverse backgrounds.",260,745,-485,2,6,-4,220,630,-410,4,12,-8,0,0,0,34,97,-63,35,98,-63,6.457142857142857,6.612244897959184,-0.1551020408163266,1,3,-2,35.0,32.666666666666664,2.333333333333336,4,12,-8,33,93,-60,1,2,-1,30,75,-45,0,0,0,21.7,20.8,0.8999999999999986,2.11,4.44,-2.3300000000000005,13.49,13.48,0.0099999999999997,26.5,26.0,0.5,20.08,20.95,-0.870000000000001,23.14,22.88,0.2600000000000015,0.0,20.6,-20.6,27.5,25.666666666666668,1.833333333333332
Literature,partially-observable markov decision process,"As a literature scholar, I want to use partially-observable Markov decision processes to model and predict reader engagement with literary works and inform literary analysis.","As a literature scholar, I want to leverage partially observable Markov decision processes (POMDPs) to model and forecast reader fascination with literary pieces and enhance literary examination. POMDPs can handle incomplete information by representing the reader's state of interest as a probability distribution over hidden states. This allows us to predict how readers will engage with different parts of a text, such as which passages they will read or comprehend better. By using POMDPs, we can gain insights into how readers interact with literature and develop more effective methods for literary analysis.",174,613,-439,3,20,-17,144,492,-348,3,10,-7,0,0,0,24,91,-67,25,92,-67,6.0,5.673913043478261,0.3260869565217392,1,4,-3,25.0,23.0,2.0,3,10,-7,22,84,-62,1,1,0,22,73,-51,0,0,0,17.8,14.6,3.200000000000001,12.26,31.21,-18.950000000000003,13.72,11.3,2.42,19.3,16.8,2.5,17.12,15.32,1.8000000000000007,22.8,17.46,5.34,0.0,16.8,-16.8,20.5,17.25,3.25
Education,echo state network,"As an educator, I want to use Echo State Networks to model and predict student performance and engagement based on time-series demographic and academic data, as well as to simulate the impact of educational interventions and policies on the learning outcomes and achievement gaps across different student groups and contexts.","As an educator, I want to use Echo State Networks (ESN) to model and predict student performance and engagement based on time-series demographic and academic data, as well as to simulate the impact of educational interventions and policies on the learning outcomes and achievement gaps across different student groups and contexts. By leveraging ESN's ability to learn complex patterns in sequential data, I can gain a deeper understanding of how various factors influence student outcomes and make more informed decisions about instructional strategies and resource allocation. This will ultimately improve the educational experiences and outcomes for all students, particularly those who have historically been marginalized or under-served.",325,742,-417,5,14,-9,267,610,-343,4,12,-8,0,0,0,49,106,-57,50,107,-57,5.52,5.94392523364486,-0.4239252336448604,1,3,-2,50.0,35.666666666666664,14.333333333333336,4,12,-8,45,97,-52,1,3,-2,38,83,-45,0,0,0,24.0,20.8,3.1999999999999997,12.27,9.86,2.41,13.7,12.64,1.0599999999999987,29.6,24.4,5.200000000000003,15.16,17.13,-1.9699999999999989,26.4,22.13,4.27,0.0,19.3,-19.3,34.0,24.0,10.0
Sport,deep neural network,"As a sports analyst, I need to use a deep neural network to predict athlete performance and identify effective training and coaching strategies, based on performance data and fitness indicators.","As a sports analyst, I require a sophisticated neural network to foresee athlete performance and devise successful training and coaching methods based on performance data and fitness markers. The network will analyze various aspects of athletic performance, such as speed, endurance, strength, and agility, to make predictions about future performance. By leveraging this technology, I can provide actionable insights to coaches and trainers, helping them optimize their training programs and improve athlete outcomes. This will ultimately lead to better overall performance and increased chances of winning.",194,608,-414,2,6,-4,160,505,-345,3,12,-9,0,0,0,29,85,-56,30,86,-56,5.5,6.0813953488372094,-0.5813953488372094,1,4,-3,30.0,21.5,8.5,3,12,-9,28,80,-52,1,2,-1,25,66,-41,0,0,0,16.2,14.0,2.1999999999999997,32.57,32.73,-0.1599999999999966,13.55,12.6,0.9500000000000012,19.5,18.0,1.5,14.63,17.17,-2.540000000000001,18.67,14.65,4.020000000000001,0.0,14.9,-14.9,21.0,15.0,6.0
Literature,multimodal question answering,"As a literature enthusiast, I want to use multimodal question answering to get information on books, authors, and literary analysis based on my queries.","As a literature enthusiast, I desire a multimodal question answering system that can provide me with knowledge on various books, authors, and literary analysis based on my inquiries. The system should be able to process and analyze multiple forms of input, including text, images, and audio, to deliver accurate and relevant results. By leveraging this technology, I aim to enhance my understanding and appreciation of literature, as well as gain insights into the creative processes of authors and the cultural contexts in which they wrote.",152,541,-389,2,5,-3,123,440,-317,4,12,-8,0,0,0,23,84,-61,24,85,-61,5.375,5.376470588235295,-0.0014705882352945,1,3,-2,24.0,28.33333333333333,-4.333333333333332,4,12,-8,22,80,-58,1,2,-1,22,67,-45,0,0,0,15.0,16.7,-1.6999999999999993,30.2,25.83,4.370000000000001,12.06,11.91,0.1500000000000003,15.9,18.1,-2.200000000000001,13.23,13.41,-0.1799999999999997,21.27,20.26,1.009999999999998,0.0,17.9,-17.9,19.0,20.83333333333333,-1.833333333333332
Medicine,text mining,"As a medical researcher, I want to mine medical data to analyze patient outcomes and treatment efficacy to inform medical research and treatment.","As a medical researcher, I need to extract insights from vast amounts of medical data to evaluate the effectiveness of treatments and improve patient outcomes. This involves using machine learning algorithms to analyze data on patient demographics, symptoms, medications, and treatment outcomes, and generating predictions on patient response to different interventions. By leveraging these insights, I can inform medical research and treatment strategies, ultimately leading to better health outcomes for patients.",145,515,-370,2,5,-3,119,430,-311,2,10,-8,0,0,0,22,70,-48,23,71,-48,5.3478260869565215,6.267605633802817,-0.9197795468462956,1,3,-2,23.0,23.666666666666668,-0.6666666666666679,2,10,-8,21,66,-45,1,2,-1,18,55,-37,0,0,0,14.6,16.1,-1.5000000000000018,31.21,22.04,9.170000000000002,11.64,11.93,-0.2899999999999991,15.3,19.9,-4.599999999999998,13.52,18.57,-5.050000000000001,14.42,16.24,-1.8199999999999985,0.0,15.9,-15.9,16.5,16.833333333333332,-0.3333333333333321
Education,evolutionary robotics,"As an educator, I want to use evolutionary robotics to teach students about the principles of natural selection and evolution.","As an educational content creator, I need a tool that can help me teach complex concepts like evolutionary robotics in an engaging and interactive manner. The tool should be able to simulate the process of natural selection and evolution, allowing students to observe how different traits and characteristics emerge and evolve over time. This will help students gain a deeper understanding of the fundamental principles behind these processes and their relevance to real-world scenarios.",126,487,-361,2,4,-2,103,404,-301,2,6,-4,0,0,0,19,73,-54,20,74,-54,5.35,5.594594594594595,-0.2445945945945951,1,3,-2,20.0,24.666666666666668,-4.666666666666668,2,6,-4,18,70,-52,1,1,0,19,60,-41,0,0,0,14.6,15.3,-0.7000000000000011,25.8,29.48,-3.68,10.94,11.05,-0.1100000000000012,13.8,17.2,-3.3999999999999986,13.17,14.97,-1.8000000000000007,22.0,19.07,2.93,0.0,17.5,-17.5,17.0,18.666666666666668,-1.666666666666668
Urban Studies,deep neural network,"As an urban planner, I want to use a deep neural network to predict the impact of urban design and policy interventions on the built environment and community health.","As an urban planner, I aim to leverage a sophisticated neural network to forecast the effect of urban design and policy interventions on the built environment and public health. The network will analyze various factors such as land use patterns, transportation systems, and community engagement initiatives to predict their impact on air quality, noise pollution, and access to green spaces. By employing this approach, I hope to inform evidence-based decision-making and create more livable and sustainable urban environments.",166,527,-361,2,5,-3,134,434,-300,2,11,-9,0,0,0,28,77,-49,29,78,-49,4.758620689655173,5.769230769230769,-1.0106100795755966,1,3,-2,29.0,26.0,3.0,2,11,-9,27,73,-46,1,2,-1,25,61,-36,0,0,0,15.8,15.8,0.0,33.58,28.17,5.409999999999997,11.06,12.42,-1.3599999999999994,15.5,18.7,-3.1999999999999997,10.51,15.67,-5.16,17.12,19.12,-2.0,0.0,16.7,-16.7,18.5,18.666666666666668,-0.1666666666666678
Radiology,information processing language,"As a radiologist, I want to use information processing language to develop algorithms for analyzing medical imaging features and clinical outcomes from electronic health records, in order to develop more accurate diagnostic and treatment plans for various medical conditions.","As a radiologist, I want to utilize natural language processing techniques to analyze electronic health records (EHRs) and medical imaging features, in order to develop more accurate diagnostic and treatment plans for various medical conditions. This involves using information processing algorithms to extract relevant information from EHRs and medical imaging features, and then using machine learning techniques to identify patterns and relationships between this information and clinical outcomes. By leveraging these techniques, I aim to improve the accuracy of diagnoses and treatments, and ultimately enhance patient care.",275,629,-354,2,11,-9,232,522,-290,3,10,-7,0,0,0,38,86,-48,39,87,-48,6.076923076923077,6.241379310344827,-0.1644562334217507,1,3,-2,39.0,29.0,10.0,3,10,-7,37,80,-43,1,2,-1,33,64,-31,0,0,0,24.4,19.3,5.099999999999998,-10.42,8.2,-18.62,13.26,11.97,1.2899999999999991,26.7,22.5,4.199999999999999,18.11,18.87,-0.7600000000000016,28.93,21.26,7.669999999999998,0.0,19.9,-19.9,34.5,23.166666666666668,11.333333333333332
Nephrology,neocognitron,"As a nephrologist, I want to use neocognitron to recognize and classify medical images related to kidney diseases, so that I can better diagnose and treat renal disorders.","As a nephrologist, I need a tool that can analyze and categorize medical pictures associated with renal illnesses in order to more accurately diagnose and treat renal conditions. Neocognitron is the ideal technology for this task because it can recognize patterns in the images and classify them into various categories. By using neocognitron, I can quickly and precisely identify the type of kidney disease present in a patient's medical images, allowing me to provide more effective treatment and improve patient outcomes.",171,524,-353,3,5,-2,138,432,-294,3,7,-4,0,0,0,27,80,-53,28,81,-53,5.142857142857143,5.481481481481482,-0.3386243386243386,1,3,-2,28.0,27.0,1.0,3,7,-4,25,76,-51,2,2,0,24,64,-40,0,0,0,16.6,16.2,0.4000000000000021,26.14,27.15,-1.009999999999998,11.79,11.21,0.5799999999999983,16.8,17.9,-1.099999999999998,12.25,14.34,-2.09,22.63,20.18,2.4499999999999997,0.0,18.2,-18.2,22.0,20.5,1.5
Education,bidirectional recurrent neural network,An educator wants to develop a bidirectional recurrent neural network that can predict student performance based on past academic records and social factors.,"Develop a bidirectional recurrent neural network (BRNN) to predict student performance based on past academic records and social factors. The BRNN will be trained on large datasets of historical student data, including academic records and social indicators such as socioeconomic status, family dynamics, and extracurricular activities. The model will be able to learn the complex relationships between these factors and student performance, allowing for more accurate predictions and tailored interventions.",157,508,-351,1,11,-10,133,419,-286,1,9,-8,0,0,0,22,69,-47,23,70,-47,5.869565217391305,6.271428571428571,-0.4018633540372667,1,3,-2,23.0,23.33333333333333,-0.3333333333333321,1,9,-8,22,65,-43,0,2,-2,23,55,-32,0,0,0,15.8,15.9,-0.0999999999999996,22.75,22.45,0.3000000000000007,15.08,12.24,2.84,17.7,19.8,-2.1000000000000014,16.83,18.63,-1.8000000000000007,19.63,19.03,0.5999999999999979,0.0,17.9,-17.9,17.5,18.33333333333333,-0.8333333333333321
