reshaped_column,origin,total_characters,uppercase_characters,lowercase_characters,special_characters,numbers,blanks,number_of_words,average_length_of_words,number_of_propositions,average_length_of_propositions,punctuation_characters,lowercase_words,uppercase_words,vocabulary_richness,number_of_urls,flesch_kincaid_grade_level,flesch_reading_ease,dale_chall_readability,automated_readability_index,coleman_liau_index,gunning_fog,smog_index,linsear_write_index
"As a bioinformatics researcher, I aim to create a conversational AI system that can converse with biologists in everyday language and offer automated assistance for tasks such as gene expression analysis, drug discovery, and protein structure prediction.",Paraphrased,254,4,210,4,0,36,37,5.891891891891892,1,37.0,4,34,2,34,0,21.3,8.54,13.58,24.8,16.84,24.53,0.0,28.5
" As a bioinformatics researcher, I want to develop a conversational AI system that can communicate with biologists in natural language and provide automated support for tasks such as gene expression analysis, drug discovery, and protein structure prediction.",LLM,258,4,213,4,0,37,37,5.972972972972973,1,37.0,4,34,2,34,0,21.3,8.54,14.43,25.2,17.3,26.69,0.0,29.5
"As a bioinformatics specialist, I want to use discourse relation analysis to understand the flow of information in scientific articles and identify the most relevant information for specific biological questions.",Original,212,2,179,2,0,29,30,6.1,1,30.0,2,28,1,27,0,20.9,-1.28,11.97,22.3,18.29,26.67,0.0,28.0
"As a bioinformatics specialist, I aim to utilize Discourse Relation Analysis to comprehend the flow of information within scientific articles and identify the most critical knowledge for addressing specific biological queries.",Paraphrased,226,5,189,2,0,30,31,6.32258064516129,1,31.0,2,26,1,29,0,21.3,-2.3,14.34,23.8,19.62,29.17,0.0,28.5
" As a bioinformatics specialist, I want to use discourse relation analysis to comprehend the flow of information in scientific articles and identify the most relevant information for specific biological questions.",LLM,213,2,179,2,0,30,30,6.1,1,30.0,2,28,1,27,0,20.9,-1.28,12.49,22.3,18.29,28.0,0.0,28.0
"As a medical imaging specialist, I want to use elastic matching to register magnetic resonance imaging (MRI) scans of the brain and spinal cord, to improve the accuracy of diagnosis and treatment of neurological disorders such as multiple sclerosis.",Original,249,5,201,5,0,38,39,5.410256410256411,1,39.0,5,36,2,31,0,20.9,14.97,12.86,23.6,13.94,26.88,0.0,30.5
"As a medical imaging specialist, I need an automated tool to register MRI scans of the brain and spinal cord, enhancing the accuracy of diagnosis and treatment of neurological disorders like multiple sclerosis. Elastic matching can help align the images perfectly, ensuring that any subtle changes are identified and addressed.",Paraphrased,327,6,267,5,0,49,50,5.56,2,25.0,5,46,2,44,0,15.4,29.18,13.09,17.3,14.68,21.2,0.0,19.5
" As a medical imaging specialist, I want to leverage elastic matching to align magnetic resonance imaging (MRI) scans of the brain and spinal cord, improving the accuracy of diagnosis and treatment of neurological disorders such as multiple sclerosis.",LLM,251,5,203,5,0,38,38,5.605263157894737,1,38.0,5,35,2,31,0,20.5,15.99,13.83,24.0,15.04,26.78,0.0,30.0
"As a bioinformatics researcher, I want to use embedding approaches to represent biological molecules and genomic data as continuous vectors, so that I can apply machine learning techniques to analyze and classify these data.",Original,224,3,185,3,0,33,34,5.617647058823529,1,34.0,3,31,2,29,0,20.1,11.59,12.75,22.0,15.39,25.36,0.0,27.0
"As a bioinformatics researcher, I desire to utilize embedding methods to represent biological molecules and genomic data as continuous vectors, enabling me to employ machine learning algorithms for analyzing and categorizing these data.",Paraphrased,236,2,199,3,0,32,33,6.181818181818182,1,33.0,3,31,1,29,0,23.2,-12.79,13.89,24.2,18.63,25.32,0.0,26.5
" As a bioinformatics researcher, I want to leverage embedding techniques to represent biological molecules and genomic data as continuous vectors, enabling me to apply machine learning algorithms to analyze and classify these data.",LLM,231,2,193,3,0,33,33,6.0,1,33.0,3,31,1,28,0,20.9,4.14,13.89,23.3,17.59,25.32,0.0,26.5
"As a biologist, I want to use entity linking to automatically connect information from different sources, such as gene databases and scientific publications, so that I can better understand the relationships between different biological concepts.",Original,246,3,205,4,0,34,35,6.057142857142857,1,35.0,4,32,2,31,0,22.8,-6.36,11.24,24.6,17.76,23.14,0.0,28.5
"As a biologist, I want to leverage entity linking to automate the process of connecting data from various sources, including gene databases and scientific publications, so that I can gain a deeper understanding of the relationships between different biological concepts.",Paraphrased,270,3,224,4,0,39,40,5.775,1,40.0,4,37,2,35,0,23.6,-2.97,13.52,25.8,16.26,27.0,0.0,32.0
" As a biologist, I want to leverage entity linking to automatically connect information from diverse sources, such as gene databases and scientific publications, so that I can better comprehend the relationships between different biological concepts.",LLM,250,3,208,4,0,35,35,6.142857142857143,1,35.0,4,32,2,32,0,22.8,-6.36,12.59,25.0,18.29,24.29,0.0,27.5
"As an evolutionary biologist, I want to use evolutionary learning algorithms to simulate the process of natural selection and understand how genetic variation and environmental factors contribute to the evolution of different species.",Original,234,2,198,2,0,32,33,6.121212121212121,1,33.0,2,31,1,27,0,22.1,-4.33,12.45,23.9,18.46,26.53,0.0,30.5
"As an evolutionary biologist, I aim to leverage evolutionary learning algorithms to mimic the dynamics of natural selection in a virtual environment. By analyzing the interplay between genetic variation and environmental factors, I hope to gain insights into how these factors shape the evolution of distinct species.",Paraphrased,317,4,263,4,0,46,47,5.76595744680851,2,23.5,4,43,2,40,0,17.2,13.78,11.86,17.5,15.96,21.31,0.0,19.25
" As a computational biologist, I want to use evolutionary learning algorithms to simulate the process of natural selection and comprehend how genetic variation and environmental factors contribute to the evolution of diverse species.. Based on the following metrics: diff_total_characters: 83, diff_uppercase_characters: 2, diff_lowercase_characters: -65, diff_special_characters: -2, diff_numbers: 0, diff_blanks:",LLM,414,3,328,27,7,49,49,7.448979591836735,2,24.5,27,41,1,43,0,19.9,-4.16,14.52,25.9,24.2,24.49,0.0,21.75
