Domain,Machine Learning Task,User Story,par llava,llm_total_characters,llm_uppercase_characters,llm_lowercase_characters,llm_special_characters,llm_numbers,llm_blanks,llm_number_of_words,llm_average_length_of_words,llm_number_of_propositions,llm_average_length_of_propositions,llm_punctuation_characters,llm_lowercase_words,llm_uppercase_words,llm_vocabulary_richness,llm_number_of_urls,llm_flesch_kincaid_grade_level,llm_flesch_reading_ease,llm_dale_chall_readability,llm_automated_readability_index,llm_coleman_liau_index,llm_gunning_fog,llm_smog_index,llm_linsear_write_index
Computer Networks,supervised learning,"As a network administrator, I want to use supervised learning to analyze network data and predict network failures or security breaches, so that I can improve network reliability and security.","As an IT professional, I wish to employ machine learning algorithms for the purpose of examining network-related information in order to anticipate network disruptions or cyberattacks. This would allow me to enhance the dependability and safety of the network. ",261,5,213,4,0,39,39,5.6923076923076925,2,19.5,4,35,2,34,0,14.4,26.3,10.27,15.1,15.14,17.03,0.0,14.25
Health,data augmentation,"As a healthcare provider, I want to use data augmentation techniques to generate additional training data for machine learning models used in disease diagnosis and treatment outcome prediction, so that the models can be more accurate and generalize better across different patient populations and regions.","As a healthcare professional, it is desired to utilize data augmentation methods to produce extra training data for machine learning systems employed in diagnosing illnesses and predicting treatment outcomes, with the goal of enhancing the precision and versatility of these models for various patient demographics and geographical locations. ",343,1,291,3,0,48,48,6.145833333333333,1,48.0,3,47,0,41,0,26.7,-11.09,14.57,31.5,18.87,29.2,0.0,36.0
Computer Networks,backpropagation,A network engineer is using machine learning to detect anomalies in network traffic. They are training a neural network using backpropagation to improve the accuracy of the anomaly detection model.,A tech expert is employing artificial intelligence techniques to pinpoint irregularities in internet traffic. They are refining a learning system through backpropagation for enhancing the precision of the model that identifies unusual activities on the network. ,262,2,222,2,0,36,36,6.277777777777778,2,18.0,2,34,1,33,0,16.2,10.91,13.74,17.1,18.5,20.53,0.0,15.0
Health,sentence generation,"As a healthcare provider, I want to use sentence generation to automatically generate patient education materials, to improve patient outcomes and standardize documentation.","As a medical professional, I need an automated tool that can create educational materials for patients using sentence generation. This would enhance patient results and ensure consistency in recording information. ",214,3,178,3,0,30,30,6.133333333333334,2,15.0,3,27,1,30,0,15.0,13.95,12.8,14.9,17.1,16.67,0.0,11.5
Economics,reinforcement learning,"As an economist, I want to use reinforcement learning to develop more accurate models of market dynamics and behavior.","As a market analyst, I desire to implement reinforcement learning techniques to create more precise models of economic patterns and actions. ",141,2,116,2,0,21,21,5.714285714285714,1,21.0,2,19,1,20,0,15.0,24.78,12.95,16.0,15.32,16.02,0.0,14.5
Urban Studies,computational linguistics,"As an urban planner, I want to use computational linguistics to analyze news articles and social media posts to understand how residents feel about proposed changes to the city's transportation infrastructure.","As a city planner, I would like to use computational linguistics to examine news reports and social media updates in order to gauge the sentiment of residents regarding suggested alterations to the urban transportation network. ",228,2,189,2,0,35,35,5.514285714285714,1,35.0,2,33,1,31,0,19.3,19.03,13.04,22.0,14.98,24.29,0.0,26.5
Political Science,latent dirichlet allocation,"As a political scientist, I want to use latent Dirichlet allocation to identify latent topics in political speeches related to foreign policy, so that I can better understand political discourse and identify potential areas of disagreement.","As a researcher in the field of political science, my objective is to employ Latent Dirichlet Allocation (LDA) to uncover underlying themes within political speeches that pertain to foreign policy. By doing so, I hope to gain a deeper understanding of political discourse and potentially identify points of contention among politicians or parties. ",348,9,280,6,0,53,53,5.566037735849057,2,26.5,6,46,2,45,0,16.0,27.66,12.99,18.1,14.63,17.39,0.0,18.75
Sport,classification method,"As a sports analyst, I want to use classification methods to classify different types of player performance, so that I can better predict game outcomes.","As an analyst, my objective is to utilize classification techniques in order to categorize various aspects of a player's performance in the context of sports. This will enable me to accurately forecast the results of games. ",224,2,182,4,0,36,36,5.222222222222222,2,18.0,4,34,0,30,0,12.7,36.28,11.99,12.2,12.06,14.98,0.0,12.5
Literature,c4.5 algorithm,"As a literary scholar, I want to use the C4.5 algorithm to analyze patterns in literary texts and identify themes, motifs, and other literary elements.","As a literature enthusiast, I need a tool that can help me analyze different literary elements such as themes, motifs, and patterns within literary texts using the C4.5 algorithm. ",180,3,141,5,2,29,29,5.206896551724138,2,15.0,5,26,2,26,0,17.0,25.12,12.7,17.6,12.49,19.88,0.0,22.5
News,factorization method,"As a journalist or news analyst, I want to use factorization methods to analyze news data and identify key factors affecting news coverage and public opinion, so that I can provide better news analysis and insights.","As a journalist or news analyst, my goal is to employ factorization techniques to examine news data and determine the primary factors influencing news coverage and public sentiment. By doing so, I aim to offer enhanced news analysis and valuable insights. ",256,3,208,4,0,41,41,5.2439024390243905,2,20.5,4,38,1,34,0,13.6,33.75,11.2,13.5,12.59,17.96,0.0,15.25
Social Media,embedding approach,"As a social media analyst, I want to use an embedding approach to represent user profiles and their interests based on their social media activity and interactions, in order to recommend personalized content and advertisements.","As a social media analyst, I need to employ an embedding method to depict user accounts and their inclinations derived from their social media engagements and communications, so as to suggest tailored material and advertising. ",227,2,187,3,0,35,35,5.485714285714286,1,35.0,3,33,1,27,0,20.5,10.57,13.04,21.9,14.63,22.0,0.0,24.5
Cardiology,backpropagation,"A cardiologist is using machine learning to predict the risk of heart disease in patients based on various factors such as age, gender, and lifestyle. They are training a neural network using backpropagation to improve the accuracy of the risk prediction model.","A medical professional specializing in cardiology is employing artificial intelligence to forecast the likelihood of heart disease in individuals by considering aspects like age, sex, and behavioral patterns. To enhance the precision of this risk estimation model, they are using a neural network trained with backpropagation. ",327,2,274,5,0,46,46,6.108695652173913,2,23.0,5,44,1,41,0,18.2,5.83,13.7,18.8,17.82,21.37,0.0,18.5
Nephrology,fully connected layer,"As a nephrologist, I want to use fully connected layers to predict kidney outcomes based on large datasets of patient kidney data, so that I can better diagnose and treat kidney disease.","As a medical professional specializing in kidney function, I would like to utilize fully-connected neural networks to forecast the results of kidney examinations using extensive collections of patient data, thereby enabling me to more accurately identify and address kidney issues. ",282,2,236,4,0,40,40,6.05,1,40.0,4,38,1,35,0,23.6,-2.97,14.31,27.1,17.82,25.0,0.0,29.0
Movies,multi-class classification,"As a movie producer, I want to use multi-class classification to classify different types of movie genres based on their characteristics and audience appeal, in order to develop more effective marketing and distribution strategies.","As a filmmaker, I need to utilize a multi-class classification technique to group movies into various genres based on their distinct features and attractiveness to the audience, so that I can create more efficient promotional and distribution plans. ",250,3,205,4,0,38,38,5.578947368421052,1,38.0,4,35,2,33,0,20.5,15.99,12.59,23.9,15.04,23.62,0.0,28.0
Linguistics,string kernel,"As a linguist, I want to use string kernel methods to analyze patterns in language data, such as word frequencies and grammatical constructions, and identify common linguistic themes and trends, such as the emergence of new words and language families, in order to develop more accurate models of language acquisition and processing and improve natural language processing systems.","As a linguist, I desire to implement string kernel methods for examining language data patterns including word frequencies and grammatical structures to detect common linguistic motifs and tendencies, such as the advent of novel words and linguistic families. This will enable me to create more precise models for language acquisition and processing, enhancing natural language processing systems' performance. ",411,3,344,6,0,58,58,6.086206896551724,2,29.0,6,55,1,48,0,18.1,16.66,13.24,21.8,18.0,20.57,0.0,22.0
Pharmacology,multi-class classification,"As a pharmacologist, I want to use multi-class classification to classify different types of drugs based on their molecular and cellular targets, in order to develop more effective drug therapies and improve patient outcomes.","As a healthcare professional specializing in pharmacology, my goal is to harness the power of multi-class classification techniques to accurately categorize various drugs according to their molecular and cellular targets. This will enable me to create better treatment strategies and ultimately enhance patient care. ",317,2,267,4,0,44,44,6.204545454545454,2,22.0,4,42,0,40,0,16.6,15.31,12.62,18.8,18.16,18.8,0.0,17.0
Computer Networks,reservoir computing,"As a network engineer, I want to use reservoir computing to analyze network data and identify key factors that contribute to network performance and security, so that we can design better network systems.","As a network professional, my goal is to harness the power of reservoir computing in order to evaluate network data and pinpoint essential elements that affect both the efficiency and safety of networks. This would enable us to create more effective network structures in the future. ",284,2,233,3,0,46,46,5.173913043478261,2,23.0,3,44,0,37,0,13.4,39.67,10.61,14.4,12.65,15.29,0.0,15.0
Sociology,neural gas,"As a sociologist, I want to use neural gas to analyze and classify social data, such as survey responses and interview transcripts, so that I can better understand social structures and social change.","As a researcher in the field of sociology, I am looking to employ neural gas algorithms to scrutinize and categorize social data sets, including surveys and transcripts of interviews, with the aim of gaining deeper insights into the intricacies of social structures and the dynamics of societal change. ",303,2,249,4,0,48,48,5.3125,1,48.0,4,46,1,37,0,24.4,5.84,13.25,27.6,13.94,26.7,0.0,33.0
Radiology,policy iteration,"As a radiologist, I want to use policy iteration to optimize patient treatment plans by developing a policy that considers factors such as medical imaging results, patient medical history, and treatment effectiveness.","As a healthcare professional specializing in radiology, I would like to utilize the policy iteration technique to enhance patient care by creating an optimal plan for treating patients based on their medical history, medical imaging outcomes, and the effectiveness of treatments. ",280,2,233,4,0,41,41,5.829268292682927,1,41.0,4,39,1,38,0,22.8,4.48,13.37,26.5,16.84,25.18,0.0,31.5
Linguistics,representation learning,"As a linguist, I want to use representation learning to analyze language data and identify key features that are predictive of language acquisition and usage, so that we can design better language education and translation systems.","As a researcher in language, my goal is to utilize representation learning techniques to investigate and recognize critical elements that contribute to the understanding and proficiency in a particular language. By doing this, I hope to improve our ability to develop efficient and accurate language education and translation tools. ",333,3,277,4,0,49,49,5.795918367346939,2,24.5,4,46,1,40,0,16.4,21.23,11.62,18.1,16.13,22.04,0.0,19.75
Literature,named entity recognition,"As a literary critic, I want to use named entity recognition to automatically identify and classify literary works and authors mentioned in literary analysis and criticism, so that I can better understand literary trends and analyze the cultural significance of different works.","As a scholar focused on literature, it would be helpful for me to have automated tools like named entity recognition to categorize and recognize literary figures and their works referenced within literary analyses. This way, I could more efficiently study literary patterns and the cultural relevance of these texts. ",317,3,261,4,0,49,49,5.469387755102041,2,24.5,4,46,1,44,0,15.2,29.69,11.62,16.6,14.28,18.78,0.0,18.75
Library,neural network,"As a librarian, I want to use neural networks to analyze and predict book demand and popularity, so that I can improve book collection and availability for readers.","As a library staff member, I desire to employ artificial intelligence in the form of neural networks to study and forecast the desire for books among readers. This will enable me to enhance the quality and accessibility of my library's book collection. ",253,3,204,4,0,42,42,5.023809523809524,2,21.0,4,39,1,35,0,11.5,50.16,10.32,12.7,11.31,13.16,0.0,13.0
Dermatology,fss-svm,"As a dermatologist, I want to use FSS-SVM to select the most important dermatological features from large datasets of patient skin data, so that I can better diagnose and treat skin conditions.",Dermatologists wish to employ FSS-SVM technology to identify key dermatological characteristics in extensive collections of patient skin data. This advanced feature selection technique enables them to enhance their diagnostic and therapeutic capabilities for a variety of skin ailments. ,287,8,238,3,0,38,38,6.552631578947368,2,19.0,3,35,1,34,0,17.8,1.43,14.14,18.9,20.25,20.23,0.0,15.5
Information Systems,pre-trained language model,"As an information systems analyst, I want to use a pre-trained language model to analyze system logs and user feedback, to identify system performance issues and user behavior patterns, and to use this information to develop more effective system design and troubleshooting strategies.","As a data scientist, I want to leverage a pre-existing natural language processing model to examine system logs and user input in order to recognize performance problems within the system and pinpoint common user behaviors. By utilizing this information, I can create improved system designs and more efficient troubleshooting methods. ",336,4,277,5,0,50,50,5.72,2,25.0,5,46,2,41,0,16.6,20.72,13.72,18.0,15.61,19.6,0.0,18.5
Library,neuromorphic engineering,"As a librarian, I want to explore the use of neuromorphic engineering in developing tools for more efficient cataloging and organization of library materials, so that we can improve access to information and knowledge.","As a library professional, my goal is to investigate the potential benefits of incorporating neuromorphic engineering into our processes of organizing and cataloging library resources. This would enable us to streamline our efforts and enhance the ease with which users can locate and access desired materials. Ultimately, this technology has the potential to revolutionize the way we manage and share information within the realm of libraries and knowledge management. ",470,3,393,5,0,69,69,5.811594202898551,3,23.0,5,66,0,53,0,15.8,22.75,11.87,17.4,16.31,18.48,16.7,17.166666666666668
Sport,conversational understanding,"As a sports organization, I want to use conversational understanding to develop a chatbot that can provide real-time updates on scores, schedules, and player statistics.","As an organization in the sports industry, we aim to create a chatbot that utilizes natural language processing to deliver current scoreboards, timetables, and athlete statistics instantaneously using conversational understanding. ",231,1,196,4,0,30,30,6.7,1,30.0,4,29,0,29,0,20.9,-1.28,14.6,25.1,21.42,24.0,0.0,24.0
Pediatrics,stochastic semantic analysis,"As a pediatrician, I want to use stochastic semantic analysis to analyze patterns in child health data and identify common trends in child health outcomes, in order to improve preventive care and early intervention for childhood illnesses.","As a pediatrician, I want to apply probabilistic semantic methods to examine trends in children's health data to detect commonalities among child health results, aiming to enhance primary prevention and early identification of childhood diseases. ",247,2,206,4,0,35,35,6.057142857142857,1,35.0,4,33,1,31,0,21.7,2.11,13.49,24.6,17.76,23.14,0.0,25.5
Sociology,natural language semantics,"As a sociologist, I want to use natural language semantics to analyze social media posts and other online content, so that I can understand the underlying attitudes and beliefs that shape public opinion on social issues.","As a researcher in social sciences, I desire to utilize the semantic analysis of natural language to delve into the sentiments and ideologies present in digital media and various online materials. This will allow me to decipher the dynamics behind societal perceptions on pressing matters. ",290,3,239,3,0,45,45,5.444444444444445,2,22.5,3,42,1,39,0,14.4,31.72,12.12,15.4,14.22,19.67,0.0,17.25
Music,feature sets,"As a musician, I want to use feature sets to group music data by genre and rhythm, so that I can better understand musical trends and inform my own compositions.","As a musician, I desire to employ feature sets for categorizing musical information according to genre and rhythm in order to gain insights into musical patterns and influence my creative work. ",194,2,159,2,0,31,31,5.258064516129032,1,31.0,2,29,1,27,0,17.7,23.09,12.31,18.8,13.41,20.14,0.0,22.5
Nephrology,perceptron,"As a nephrologist, I want to use perceptron to classify kidney disease based on patient health data to inform treatment plans and predict disease progression.","As a doctor specializing in kidney diseases, I would like to use perceptron technology to analyze the medical information of my patients and categorize their conditions. This information will help me make informed decisions about their treatments and anticipate the development of their kidney diseases. ",304,3,253,3,0,45,45,5.7555555555555555,2,22.5,3,42,1,37,0,15.6,23.26,10.37,16.9,16.02,18.78,0.0,17.25
Demography,novelty detection,"As a demographer, I want to use novelty detection to identify new demographic trends and patterns, so that we can better understand the dynamics of population change.","As an analyst studying population trends, I would like to implement a system for detecting new patterns in demographic data, allowing me to stay informed about emerging changes in the population. This would help us analyze and interpret the factors influencing demographics more effectively. ",292,3,241,4,0,44,44,5.636363636363637,2,22.0,4,41,1,40,0,14.2,32.22,11.9,16.1,14.91,18.8,0.0,17.0
Urban Studies,n-grams,"As an urban planner, I want to use n-grams to analyze patterns in urban development and land use, so that I can better understand how cities evolve over time and make recommendations for sustainable urban planning.","As a city planner, I need to utilize the concept of n-grams to examine trends in urban growth and land allocation. This information will help me comprehend how cities develop over time, enabling me to propose strategies for environmentally responsible urban planning. ",268,3,218,5,0,42,42,5.380952380952381,2,21.0,5,39,1,38,0,12.7,41.7,12.2,14.4,13.23,15.07,0.0,14.0
Pharmacology,classification method,"As a pharmacologist, I want to use classification methods to classify different types of drugs and their effects, so that I can develop targeted treatment plans.","As a professional in pharmacology, it is my goal to employ classification techniques to categorize various medications and their associated effects. By doing so, I aim to create tailored treatment options that are specifically designed for each individual's unique needs. ",272,3,224,5,0,40,40,5.8,2,20.0,5,37,1,38,0,15.8,17.34,12.52,15.9,15.66,17.0,0.0,14.5
Literature,unsupervised clustering,"As a literary critic, I want to use unsupervised clustering to identify groups of literary works with similar themes and study their relationship to patterns of literary analysis and interpretation.","As a literary analyst, I would like to employ an unsupervised method to group together literary pieces that share common themes for the purpose of examining how these motifs correspond with existing critical interpretations and analyses in literature. ",252,2,210,2,0,38,38,5.631578947368421,1,38.0,2,36,1,36,0,20.5,15.99,12.59,24.1,15.68,24.67,0.0,30.0
Medicine,liquid state machine,"As a medical researcher, I want to use liquid state machines to analyze and predict the efficacy of drugs and treatments based on various factors, such as dosage, patient demographics, and disease progression, allowing for better decisions about drug development and clinical trials.","As a medical professional, I desire to harness the power of liquid state machines in order to study the effects of different drug dosages, patient characteristics, and stages of diseases on the efficacy of treatments. This capability would enable me to make more informed choices regarding drug development and clinical trials. ",328,3,269,5,0,51,51,5.431372549019608,2,25.5,5,48,1,42,0,15.6,28.67,11.4,16.9,13.93,16.47,0.0,17.25
Social Media,explicit semantic analysis,"As a social media analyst, I want to use explicit semantic analysis to identify sentiment and trends on social media platforms, so that I can improve social media engagement and better understand user behavior.","As a social media analyst, I need an effective way to analyze the sentiments and trends in social media posts, in order to enhance user engagement and gain insights into their behavior. ",186,2,149,3,0,32,32,4.8125,1,32.0,3,30,1,27,0,17.0,30.54,11.64,17.2,10.69,20.3,0.0,22.0
Cardiology,elman network,"As a cardiologist, I want to use Elman networks to predict which patients are most at risk of developing heart disease based on their medical history, lifestyle factors, and genetic information. I also want to use Elman networks to model the progression of heart disease and predict the effectiveness of different treatments.","As a cardiologist, I wish to utilize Elman networks to forecast which patients have a higher likelihood of developing heart diseases by taking into consideration their medical history, lifestyle factors, and genetic information. Additionally, I want to employ Elman networks to simulate the development of heart disease and predict the efficacy of various treatments. ",368,6,302,6,0,54,54,5.814814814814815,2,27.0,6,48,2,42,0,18.5,10.23,12.29,19.4,16.08,19.69,0.0,20.0
Transportation,computational linguistics,"As a transportation analyst, I want to use computational linguistics to analyze social media data and understand how people are discussing transportation issues in different regions.","As an analyst responsible for examining transportation matters, it is my desire to apply computational linguistic techniques to the examination of social media posts in order to comprehend the diverse ways that transportation challenges are addressed in various geographical areas. ",282,1,239,2,0,40,40,6.05,1,40.0,2,39,0,35,0,23.6,-2.97,13.91,27.1,18.11,26.0,0.0,31.0
Radiology,supervised deep networks,"As a radiologist, I want to use supervised deep networks to detect and classify anomalies in medical images such as tumors and fractures.","As a specialist in medical imaging analysis, I desire to employ supervised learning models built on deep neural networks for the purpose of identifying and categorizing abnormalities in radiographic images like tumors and fractures. ",233,2,195,2,0,34,34,5.852941176470588,1,34.0,2,32,1,32,0,21.3,3.13,13.68,23.1,16.89,23.01,0.0,25.0
Economics,elbot,"As an economist, I want to use Elbot to analyze and forecast economic trends and outcomes, in order to inform economic policy decisions.","As a financial analyst, I desire to leverage Elbot's capabilities for analyzing and predicting economic patterns and results. This information will assist me in guiding policymaking choices. ",191,4,156,4,0,27,27,6.074074074074074,2,13.5,4,23,1,26,0,14.5,15.47,13.08,13.9,16.52,17.25,0.0,10.75
Sociology,lifelong machine learning,"As a sociologist, I want to use lifelong machine learning to continuously improve my sociological models and theories and adapt them to changing social trends and patterns, in order to provide more accurate and insightful analysis of social phenomena and trends for use in social science research and other applications.","As a sociologist, I would like to employ continuous lifelong machine learning to enhance the accuracy and insightfulness of my sociological models, theories, and trends analysis by adapting them to evolving social patterns and trends. This improvement will be beneficial for both social science research and other relevant applications. ",337,3,280,5,0,49,49,5.877551020408164,2,24.5,5,46,1,43,0,16.4,21.23,12.26,18.5,16.54,18.78,0.0,17.75
Transportation,cnn,"As a transportation engineer, I want to use CNNs to classify different types of traffic patterns based on traffic camera footage, so that I can better understand traffic flows and develop targeted traffic management strategies.","As an engineer specializing in transportation, my goal is to employ the use of Convolutional Neural Networks (CNNs) for the classification of various roadway conditions as observed through traffic surveillance cameras. Through this method, I aim to gain a deeper understanding of traffic patterns and subsequently devise effective traffic management tactics tailored to these specific conditions. ",397,9,326,6,0,56,56,6.089285714285714,2,28.0,6,49,1,47,0,17.8,17.68,12.36,21.3,17.7,19.77,0.0,21.0
Biology,speech synthesis,"A team of bioacoustics researchers is using speech synthesis technology to study the vocalizations of non-human animals, such as birds and whales. The machine learning algorithms are trained to synthesize animal sounds, allowing the researchers to better understand the acoustic communication systems of different species.","Researchers in the field of bioacoustics are utilizing speech synthesis technology to examine the vocalizations made by non-human animals like birds and whales. By training machine learning algorithms on animal sounds, these scientists can gain a deeper understanding of the intricate acoustic communication systems that exist within various species. ",351,2,296,4,0,49,49,6.163265306122449,2,24.5,4,47,0,45,0,16.4,21.23,13.55,19.8,18.28,20.41,0.0,19.75
Psychology,pattern recognition,"As a psychologist, I want to use pattern recognition to identify patterns in patient behavior data and predict patient outcomes to inform treatment plans.","As a psychologist, I wish to analyze patterns in a patient's behavior data using pattern recognition techniques, so that I can accurately predict their outcomes and develop tailored treatment plans based on these predictions. ",226,3,185,4,0,34,34,5.647058823529412,1,34.0,4,31,2,32,0,18.9,20.05,14.15,22.2,15.39,21.84,0.0,24.0
Social Media,tokenization,"As a social media marketer, I want to tokenize user comments to understand sentiment towards a product.","As a professional in social media marketing, I aim to analyze the emotions surrounding a product by breaking down user comments into tokens or smaller parts for sentimental evaluation. ",185,2,152,2,0,29,29,5.379310344827586,1,29.0,2,27,1,28,0,18.1,16.66,13.79,18.4,14.11,19.88,0.0,20.5
Political Science,feature extraction,"As a political scientist, I want to use feature extraction to identify and extract meaningful features from political data, such as voting patterns and political affiliation, so that we can better understand and analyze political systems.","As a researcher in politics, I desire to utilize feature extraction techniques to isolate and retrieve significant attributes from political information, including voting habits and political connections, in order to enhance our comprehension and study of political structures. ",278,2,234,4,0,38,38,6.315789473684211,1,38.0,4,36,1,31,0,22.8,-0.94,13.42,27.3,19.33,23.62,0.0,29.0
Library,multinomial logistic regression,"As a librarian, I want to use multinomial logistic regression to predict user preferences and needs based on library usage data and user characteristics to enhance access and discovery for library users.","As a librarian, I would like to utilize multinomial logistic regression in order to forecast the preferences and requirements of library users by examining their behavior within the library and their individual features. This will help improve the overall user experience by facilitating easier access and discovery for library patrons. ",337,3,281,3,0,50,50,5.74,2,25.0,3,47,1,41,0,16.6,20.72,11.82,18.1,15.96,20.4,0.0,19.0
Social Networks,recurrent network,"As a social network, I want to use a recurrent network to predict user connections and social network dynamics, based on historical data and social network interactions, so that I can improve the social network experience for my users.","As a platform specializing in social interactions, we aim to leverage a recurrent neural network (RNN) to forecast user relationships and the overall evolution of the social network over time. This analysis will be derived from past experiences and social media activity. By utilizing this technology, our goal is to optimize the user experience on our network. ",362,6,292,7,0,57,57,5.350877192982456,3,19.0,7,53,1,45,0,13.1,35.27,10.67,13.3,13.05,16.02,14.6,13.5
Movies,keyword spotting,"As a movie producer, I want to use keyword spotting to identify specific themes and elements in movie scripts, so that I can develop more engaging and successful movies.","As a filmmaker, I want to implement keyword spotting technology to analyze movie scripts and highlight key themes or elements, allowing me to create more captivating and profitable films by identifying the most effective storylines and plot devices. ",250,2,207,3,0,38,38,5.578947368421052,1,38.0,3,36,1,34,0,20.5,15.99,13.83,23.9,15.21,25.73,0.0,29.0
Movies,dependency parsing,"As a film analyst, I want to use dependency parsing to analyze movie scripts and identify narrative patterns.","As someone who analyzes films, I would like to utilize dependency parsing to examine movie scripts in order to detect recurring narrative structures. ",150,2,123,2,0,23,23,5.521739130434782,1,23.0,2,21,1,21,0,13.4,39.67,12.33,16.1,14.51,17.9,0.0,16.5
Literature,representation learning,"As a literary scholar, I want to use representation learning to analyze literary data and identify key features that are predictive of literary success, so that we can design better literary analysis tools and publishing strategies.","As an expert in literature, I desire to apply the technique of representation learning on literary data in order to detect critical characteristics that influence the popularity of literature. This will allow us to develop more efficient literary analysis tools and enhance our publishing tactics. ",298,3,247,3,0,45,45,5.622222222222222,2,22.5,3,42,1,39,0,16.8,14.8,11.77,16.3,15.26,18.78,0.0,17.75
