Domain,Machine Learning Task,User Story,par phi3:medium,llm_total_characters,llm_uppercase_characters,llm_lowercase_characters,llm_special_characters,llm_numbers,llm_blanks,llm_number_of_words,llm_average_length_of_words,llm_number_of_propositions,llm_average_length_of_propositions,llm_punctuation_characters,llm_lowercase_words,llm_uppercase_words,llm_vocabulary_richness,llm_number_of_urls,llm_flesch_kincaid_grade_level,llm_flesch_reading_ease,llm_dale_chall_readability,llm_automated_readability_index,llm_coleman_liau_index,llm_gunning_fog,llm_smog_index,llm_linsear_write_index
Computer Networks,supervised learning,"As a network administrator, I want to use supervised learning to analyze network data and predict network failures or security breaches, so that I can improve network reliability and security.","As an IT professional responsible for managing networks, my objective is to utilize supervised learning techniques to examine network information in order to foresee potential breakdowns or cyber attacks, thereby enhancing the dependability and safety of our network infrastructure.",282,3,238,3,0,38,39,6.256410256410256,1,39.0,3,37,1,36,0,24.4,-10.42,14.07,27.6,19.16,26.88,0.0,30.5
Health,data augmentation,"As a healthcare provider, I want to use data augmentation techniques to generate additional training data for machine learning models used in disease diagnosis and treatment outcome prediction, so that the models can be more accurate and generalize better across different patient populations and regions.","As a medical professional, my goal is to implement data enrichment methods to create extra training datasets for ML algorithms utilized in identifying illnesses and forecasting theracheological outcomes, ensuring improved precision and broader applicability among diverse patient groups and geographical locations.",314,3,268,3,0,40,41,6.682926829268292,1,41.0,3,39,1,38,0,26.4,-20.91,16.07,30.5,21.95,30.06,0.0,34.5
Computer Networks,backpropagation,A network engineer is using machine learning to detect anomalies in network traffic. They are training a neural network using backpropagation to improve the accuracy of the anomaly detection model.,"A specialist in networking employs artificial intelligence techniques for identifying irregularities within data flows. By applying the method of error correction in their deep learning architecture, they aim to enhance the precision of their system that pinpoints network abnormalities.",287,2,244,3,0,38,39,6.384615384615385,2,19.5,3,37,1,35,0,16.8,9.38,13.92,18.4,19.32,19.08,0.0,15.25
Health,sentence generation,"As a healthcare provider, I want to use sentence generation to automatically generate patient education materials, to improve patient outcomes and standardize documentation.","As a medical professional, my goal is to utilize automated sentence creation technology for the production of educational resources tailored to patients in order to enhance their treatment results while ensaving consistency across record-keeping practices.",256,1,218,3,0,34,35,6.3428571428571425,1,35.0,3,34,0,33,0,21.7,2.11,13.49,25.9,19.62,23.14,0.0,26.5
Economics,reinforcement learning,"As an economist, I want to use reinforcement learning to develop more accurate models of market dynamics and behavior.","As a financial analyst, my goal is to employ reinforcement learning techniques for creating enhanced predictive models that better capture the complexities of economic patterns and consumer actions.",198,1,168,2,0,27,28,6.107142857142857,1,28.0,2,27,0,28,0,17.8,17.68,14.05,21.3,18.05,21.2,0.0,21.0
Urban Studies,computational linguistics,"As an urban planner, I want to use computational linguistics to analyze news articles and social media posts to understand how residents feel about proposed changes to the city's transportation infrastructure.","From the perspective of a city planner, employing computational language analysis on news content and online discussions will help in gauging public sentiment towards planned modifications in urban transit systems.",214,1,182,2,0,29,30,6.166666666666667,1,30.0,2,29,0,29,0,18.5,15.65,13.02,22.6,18.69,21.33,0.0,22.0
Political Science,latent dirichlet allocation,"As a political scientist, I want to use latent Dirichlet allocation to identify latent topics in political speeches related to foreign policy, so that I can better understand political discourse and identify potential areas of disagreement.","As an expert in political science, my aim is to employ latent Dirichlete allocation techniques for the purpose of uncovering concealed themes within foreign policy-focused speeches. This will enable me to gain a deeper insight into political conversations and pinpoint possible points of contention.",299,3,249,4,0,43,44,5.818181818181818,2,22.0,4,41,0,41,0,15.4,23.77,13.34,17.0,15.95,13.35,0.0,14.5
Sport,classification method,"As a sports analyst, I want to use classification methods to classify different types of player performance, so that I can better predict game outcomes.","As an expert in athletic analysis, my objective is to apply categorization techniques for sorting various levels of athlete performances, enabling me to improve the accuracy of forecasting match results.",203,1,170,3,0,29,30,5.8,1,30.0,3,29,0,28,0,18.5,15.65,13.55,20.9,16.37,22.67,0.0,23.0
Literature,c4.5 algorithm,"As a literary scholar, I want to use the C4.5 algorithm to analyze patterns in literary texts and identify themes, motifs, and other literary elements.","As an expert in literature analysis, my objective is to employ the C4.5 algorithm for examining recurring patterns within written works while detecting central ideas, repeated symbols or concepts, and additional aspects of literary significance.",245,2,202,5,2,34,35,6.0285714285714285,2,18.0,5,33,1,35,0,14.8,19.87,14.88,15.7,16.59,19.57,0.0,14.25
News,factorization method,"As a journalist or news analyst, I want to use factorization methods to analyze news data and identify key factors affecting news coverage and public opinion, so that I can provide better news analysis and insights.","As a media professional such as a journalist or an analyst, my aim is to leverage factorization techniques for examining news content, pinpointing the primary elements influencing both news reporting and societal viewpoints, ultimately enhancing my capacity to deliver more informed commentary and perspectives.",311,1,263,4,0,43,44,6.090909090909091,1,44.0,4,43,0,38,0,25.2,-7.03,14.07,29.3,18.41,33.05,0.0,39.0
Social Media,embedding approach,"As a social media analyst, I want to use an embedding approach to represent user profiles and their interests based on their social media activity and interactions, in order to recommend personalized content and advertisements.","As a specialist in analyzing social media data, I aim to implement an embedding methodology that encapsulates users' online behavioral patterns and preferences derived from their engagement within the platform. This will facilitate the delivery of custom-tailored suggestions and targeted advertisements tailored to individual user profiles.",341,3,288,5,0,45,46,6.434782608695652,2,23.0,5,43,1,43,0,18.2,5.83,14.05,20.4,19.73,22.24,0.0,19.5
Cardiology,backpropagation,"A cardiologist is using machine learning to predict the risk of heart disease in patients based on various factors such as age, gender, and lifestyle. They are training a neural network using backpropagation to improve the accuracy of the risk prediction model.","** A medical professional specializing in cardiac care utilizes machine learning algorithms to assess potential heart disease risk among patients by analyzing factors such as age, sex, and lifestyle choices. They optimize a neural network model using backpropagation techniques to increase the accuracy of their predictive tool for heart health risks.**",353,2,293,8,0,50,51,5.9411764705882355,3,17.333333333333332,8,48,1,48,0,15.4,29.18,13.72,19.6,17.24,18.0,0.0,17.75
Nephrology,fully connected layer,"As a nephrologist, I want to use fully connected layers to predict kidney outcomes based on large datasets of patient kidney data, so that I can better diagnose and treat kidney disease.","As an expert in renal medicine, my aim is to employ deep learning techniques involving dense neural networks for forecasting renal health prognoses utilizing expansive repositories of medical records pertaining to renal patients, enabling more accurate identification and management of nephrological ailments.",309,1,264,3,0,41,42,6.380952380952381,1,42.0,3,41,0,38,0,23.2,3.47,14.74,29.6,20.21,27.28,0.0,32.0
Movies,multi-class classification,"As a movie producer, I want to use multi-class classification to classify different types of movie genres based on their characteristics and audience appeal, in order to develop more effective marketing and distribution strategies.","As an individual responsible for producing films, my objective is to employ multi-label categorization techniques to distinguish between various film genres according to their attributes and viewer attraction, with the aim of crafting superior promotional and dissemination plans.",280,1,238,4,0,37,38,6.394736842105263,1,38.0,4,37,0,35,0,24.0,-9.4,14.66,27.7,19.79,27.83,0.0,32.0
Linguistics,string kernel,"As a linguist, I want to use string kernel methods to analyze patterns in language data, such as word frequencies and grammatical constructions, and identify common linguistic themes and trends, such as the emergence of new words and language families, in order to develop more accurate models of language acquisition and processing and improve natural language processing systems.","As a language expert, I aim to employ string kernel techniques for examining patterns within language data, including word counts and sentence structures, to pinpoint prevalent linguistic motifs and shifts like the rise of novel terms and language categories. This will assist in creating more precise models related to learning and interpreting languages as well as enhancing systems that deal with natural language processing.",428,3,357,5,0,63,64,5.703125,2,32.0,5,61,1,54,0,17.0,30.54,12.87,21.4,15.97,19.05,0.0,21.0
Pharmacology,multi-class classification,"As a pharmacologist, I want to use multi-class classification to classify different types of drugs based on their molecular and cellular targets, in order to develop more effective drug therapies and improve patient outcomes.","As an expert in medicinal chemistry, my aim is to employ multiclass categorization techniques for identifying various drug classes by analyzing their specific molecular and cell-based interactions. This will help create enhanced therapeutic treatments and enhance the well-being of patients.",291,2,245,5,0,39,40,6.3,2,20.0,5,38,0,39,0,15.8,17.34,13.31,18.2,18.56,18.0,0.0,15.5
Computer Networks,reservoir computing,"As a network engineer, I want to use reservoir computing to analyze network data and identify key factors that contribute to network performance and security, so that we can design better network systems.","As an expert in networking, my goal is to leverage the potential of reservoir computing for examining network data thoroughly and pinpointing significant elements influencing both network effectiveness and safety. This approach will empower us to devise enhanced and optimized network infrastructures.",301,2,255,3,0,41,42,6.190476190476191,2,21.0,3,40,0,37,0,16.2,16.32,12.57,18.2,18.22,20.78,0.0,17.0
Sociology,neural gas,"As a sociologist, I want to use neural gas to analyze and classify social data, such as survey responses and interview transcripts, so that I can better understand social structures and social change.","As an investigator of society, my goal is to apply the neural gas technique for the evaluation and categorization of societal information sources like questionnaire feedback and recorded dialogues, enabling me to gain deeper insights into the dynamics of community frameworks and transformations within them.",308,1,260,3,0,44,45,5.866666666666666,1,45.0,3,44,0,38,0,24.4,0.42,13.59,28.7,17.25,27.78,0.0,33.5
Radiology,policy iteration,"As a radiologist, I want to use policy iteration to optimize patient treatment plans by developing a policy that considers factors such as medical imaging results, patient medical history, and treatment effectiveness.","As an expert in diagnostic imaging, my objective is to refine patient care strategies through the application of policy iteration methods. This will involve formulating a strategy that integrates elements like imaging find surveys, individual health backgrounds, and prior treatment outcomes for optimal results.",312,2,262,5,0,43,44,6.113636363636363,2,22.0,5,42,0,44,0,16.6,15.31,13.34,18.3,17.52,18.8,0.0,16.5
Linguistics,representation learning,"As a linguist, I want to use representation learning to analyze language data and identify key features that are predictive of language acquisition and usage, so that we can design better language education and translation systems.","As an expert in linguistics, my aim is to utilize representation learning for examining language datasets in order to pinpoint crucial attributes indicative of language learning and application. This will enable us to develop more effective tools for language instruction and translation services.",297,2,250,3,0,42,43,5.930232558139535,2,21.5,3,41,0,35,0,14.0,32.73,11.68,17.3,16.71,16.97,0.0,15.25
Literature,named entity recognition,"As a literary critic, I want to use named entity recognition to automatically identify and classify literary works and authors mentioned in literary analysis and criticism, so that I can better understand literary trends and analyze the cultural significance of different works.","As an expert evaluating literature, my aim is to employ named entity recognition technology for effortlessly pinpointing and categorizing references to specific literary creations and their originators within critical discussions and scholarly critiques. This approach will enhance my comprehension of evolving patterns in the realm of literature while also facilituting an evaluation of the societal importance encompassed by various compositions.",448,2,384,3,0,59,60,6.483333333333333,2,30.0,3,58,0,52,0,22.1,-9.74,14.07,24.1,20.61,27.33,0.0,27.0
Library,neural network,"As a librarian, I want to use neural networks to analyze and predict book demand and popularity, so that I can improve book collection and availability for readers.","As an individual responsible for managing library resources, my goal is to employ artificial intelligence in the form of neural networks for evaluating and forecasting the interest levels and desirability of books. This approach will enable me to enhance the selection and accessibility of our book collection to better meet the needs of readers.",346,2,288,3,0,53,54,5.425925925925926,2,27.0,3,52,0,43,0,17.4,18.69,11.7,17.6,14.16,19.69,0.0,19.5
Dermatology,fss-svm,"As a dermatologist, I want to use FSS-SVM to select the most important dermatological features from large datasets of patient skin data, so that I can better diagnose and treat skin conditions.","As a skincare specialist, my goal is to employ the FSS-SVM technique for identifying key dermatological characteristics within vast collections of individuals' epidermal information, which will enhance my ability to accurpertly detect and manage cutaneous disorders.",266,7,219,5,0,35,36,6.416666666666667,1,36.0,5,34,1,34,0,23.2,-7.37,15.07,26.8,19.74,27.73,0.0,30.0
Information Systems,pre-trained language model,"As an information systems analyst, I want to use a pre-trained language model to analyze system logs and user feedback, to identify system performance issues and user behavior patterns, and to use this information to develop more effective system design and troubleshooting strategies.","As an IS analyst, my aim is to leverage an existing linguistic model for examining system records and customer comments. This will help me pinpoint any problems with the system's operation as well as patterns in user conduct. With this insight, I can formulate superior methods for designing systems and resolving issues that may arise.",336,6,270,6,0,54,55,5.127272727272727,3,18.333333333333332,6,50,2,47,0,11.6,44.44,11.43,11.9,11.84,13.87,13.0,12.166666666666666
Library,neuromorphic engineering,"As a librarian, I want to explore the use of neuromorphic engineering in developing tools for more efficient cataloging and organization of library materials, so that we can improve access to information and knowledge.","As an archivist, my aim is to investigate how neuromorphic technology could be applied to create better systems for organizing and categorizing library resources, ultimately enhancing the availability of data and insights.",222,1,187,3,0,31,32,5.96875,1,32.0,3,31,0,30,0,21.7,-3.31,12.63,22.7,17.42,24.05,0.0,25.0
Sport,conversational understanding,"As a sports organization, I want to use conversational understanding to develop a chatbot that can provide real-time updates on scores, schedules, and player statistics.","As an entity in charge of sports management, our goal is to implement natural language processing capabilities for creating a virtual assistant capable of delivering live information about game results, event timings, and athlete performance data.",247,1,207,4,0,35,36,5.888888888888889,1,36.0,4,35,0,35,0,22.1,1.1,13.76,24.3,16.84,28.84,0.0,31.0
Pediatrics,stochastic semantic analysis,"As a pediatrician, I want to use stochastic semantic analysis to analyze patterns in child health data and identify common trends in child health outcomes, in order to improve preventive care and early intervention for childhood illnesses.","As an expert in children's health, my goal is to utilize probabilistic methods of meaning extraction to examine child wellness data patterns, pinpoint frequent tendencies in the results of young patients' health status, with the aim of enhancing proactive measures and early treatment for sickly kids.",301,1,249,6,0,45,46,5.565217391304348,1,46.0,6,45,0,41,0,21.2,24.79,13.81,27.8,15.1,22.75,0.0,28.0
Sociology,natural language semantics,"As a sociologist, I want to use natural language semantics to analyze social media posts and other online content, so that I can understand the underlying attitudes and beliefs that shape public opinion on social issues.","As an investigator of society, my goal is to utilize natural language understanding techniques in examining digital communications like social media messages and web-based material. This will allow me to decipher the fundamental thoughts and convictions influencing collective perspectives on societal concerns.",311,2,264,4,0,41,42,6.428571428571429,2,21.0,4,40,0,40,0,17.4,7.86,13.33,19.4,19.43,22.69,0.0,18.0
Music,feature sets,"As a musician, I want to use feature sets to group music data by genre and rhythm, so that I can better understand musical trends and inform my own compositions.","As an artist, I aim to utilize categorization techniques to organize musical information based on style and tempo, enabling me to gain inscriptions of prevailing musical patterns and inspire my personal songwriting.",215,2,179,3,0,31,32,5.75,1,32.0,3,30,1,28,0,18.1,22.08,13.12,21.7,16.14,22.8,0.0,25.0
Nephrology,perceptron,"As a nephrologist, I want to use perceptron to classify kidney disease based on patient health data to inform treatment plans and predict disease progression.","As an expert in kidney disorders, my aim is to employ the perceptron algorithm for categorizing renal diseases using medical records of patients as a means to guide therapsy approaches and forecast the development of such conditions.",233,1,194,2,0,36,37,5.324324324324325,1,37.0,2,36,0,33,0,20.1,17.0,13.15,22.1,13.88,24.53,0.0,27.5
Demography,novelty detection,"As a demographer, I want to use novelty detection to identify new demographic trends and patterns, so that we can better understand the dynamics of population change.","As an expert in studying populations, my goal is to employ methods for detecting fresh shifts and tendencies within demographic data, enabling a deeper comprehension of how our society evolves over time.",203,1,168,3,0,31,32,5.375,1,32.0,3,31,0,32,0,17.0,30.54,13.12,19.9,13.94,20.3,0.0,22.0
Urban Studies,n-grams,"As an urban planner, I want to use n-grams to analyze patterns in urban development and land use, so that I can better understand how cities evolve over time and make recommendations for sustainable urban planning.","As a city designer, my objective is to employ n-gram analysis techniques for examining trends related to the growth of metropolitan areas and their utilization, enabling me to gain insights into urban progression through different eras while formulating eco-friendly strategies for future urban development.",307,1,258,5,0,43,44,6.0,1,44.0,5,43,0,40,0,24.0,1.44,14.43,28.8,17.77,26.69,0.0,33.0
Pharmacology,classification method,"As a pharmacologist, I want to use classification methods to classify different types of drugs and their effects, so that I can develop targeted treatment plans.","As a specialist in drug studies, my aim is to employ categorization techniques for identifying various medication categories and impacts, enabling me to create specific therapertive strategies.",193,1,163,3,0,26,27,6.185185185185185,1,27.0,3,26,0,26,0,18.5,10.23,14.33,21.2,18.22,22.65,0.0,21.5
Literature,unsupervised clustering,"As a literary critic, I want to use unsupervised clustering to identify groups of literary works with similar themes and study their relationship to patterns of literary analysis and interpretation.","As an evaluator of literature, my goal is to employ unguided classification techniques in order to discover clusters of written pieces that share common motifs and investigate how these groupings correlate with trends within the realm of literary critique and exposition.",271,1,228,2,0,40,41,5.634146341463414,1,41.0,2,40,0,37,0,21.6,12.94,12.99,25.6,16.03,24.2,0.0,29.5
Medicine,liquid state machine,"As a medical researcher, I want to use liquid state machines to analyze and predict the efficacy of drugs and treatments based on various factors, such as dosage, patient demographics, and disease progression, allowing for better decisions about drug development and clinical trials.","As an investigator in medical studies, I aim to utilize liquid state networks for evaluating and forecasting the effectiveness of medications and therapies by considering multiple aspects like dosage levels, demographic data of patients, and stages of disease advancement, which will facilitate enhanced decision-making regarding drug creation and clinical experimentation.",373,2,316,6,0,49,50,6.48,1,50.0,6,48,1,45,0,28.7,-21.58,15.59,34.1,20.5,32.8,0.0,41.0
Social Media,explicit semantic analysis,"As a social media analyst, I want to use explicit semantic analysis to identify sentiment and trends on social media platforms, so that I can improve social media engagement and better understand user behavior.","As an expert in analyzing social networks, my goal is to employ explicit semantic evaluation techniques for discerning opinions and patterns within various online community channels. This will assist me in enhancing interactions across these platforms and gaining deeper insnsticts into the actions of their users.",314,2,264,3,0,45,46,5.8478260869565215,2,23.0,3,44,0,44,0,14.6,31.21,13.7,17.6,16.54,17.03,0.0,16.0
Cardiology,elman network,"As a cardiologist, I want to use Elman networks to predict which patients are most at risk of developing heart disease based on their medical history, lifestyle factors, and genetic information. I also want to use Elman networks to model the progression of heart disease and predict the effectiveness of different treatments.","As a heart specialist, my aim is to leverage Elman networks for forecasting patients' susceptibility to cardiovascular illness by analyzing their health history, lifestyle habits, and hereditary data. Additionally, I intend to employ Elnmann networks to simulate the advancement of heart-related ailments while determining the potential success rate of various therapeutic options.",381,5,317,8,0,51,52,6.346153846153846,2,26.0,8,47,1,46,0,19.3,2.79,13.12,21.5,18.92,21.94,0.0,21.0
Transportation,computational linguistics,"As a transportation analyst, I want to use computational linguistics to analyze social media data and understand how people are discussing transportation issues in different regions.","As an expert examining travel patterns, my aim is to employ techniques from natural language processing for the interpretation of conversations on digital platforms, with a focus on gaining insights into regional dialogues about mobility-related concerns.",255,1,215,4,0,35,36,6.111111111111111,1,36.0,4,35,0,35,0,22.1,1.1,14.19,25.3,18.11,25.51,0.0,27.0
Radiology,supervised deep networks,"As a radiologist, I want to use supervised deep networks to detect and classify anomalies in medical images such as tumors and fractures.","As a healthcare professional specializing in imaging analysis, my objective is to leverage the power of supervised learning with deep neural networks for identifying and categorizing irregularities within diagnostic scans, including malignancies like tumors or structural issues such as bone fractures.",302,1,258,3,0,40,41,6.390243902439025,1,41.0,3,40,0,40,0,25.2,-12.45,14.53,29.2,20.26,27.13,0.0,31.5
Economics,elbot,"As an economist, I want to use Elbot to analyze and forecast economic trends and outcomes, in order to inform economic policy decisions.","As a professional in economics, my objective is to leverage Elbot for the purpose of examining and predicting future patterns and results within the economy, ultimately guiding informed policymaking choices.",207,2,173,3,0,29,30,5.933333333333334,1,30.0,3,28,0,28,0,19.7,7.19,14.6,21.5,17.13,22.67,0.0,23.0
Sociology,lifelong machine learning,"As a sociologist, I want to use lifelong machine learning to continuously improve my sociological models and theories and adapt them to changing social trends and patterns, in order to provide more accurate and insightful analysis of social phenomena and trends for use in social science research and other applications.","As an expert in the field of sociology, I seek to employ ongoing machine learning techniques that progressively refine my sociological frameworks and concepts while adjusting to evolving societal shifts and behaviors, thereby enhancing precision and depth in examining social trends for application in academic research as well as various other domains.",353,2,297,3,0,51,52,5.8076923076923075,1,52.0,3,50,1,45,0,27.1,-6.69,14.72,31.9,16.96,30.8,0.0,39.0
Transportation,cnn,"As a transportation engineer, I want to use CNNs to classify different types of traffic patterns based on traffic camera footage, so that I can better understand traffic flows and develop targeted traffic management strategies.","As an expert in transport engineering, my goal is to utilize Convolutional Neural Networks (CNNs) for identifying various traffic trends through the analysis of video data captured by traffic cameras. This approach will enable me to gain deeper insnights into vehicular movement and formulate precise strategies for managing traffic efficiently.",345,8,283,5,0,49,50,5.92,2,25.0,5,44,0,46,0,16.6,20.72,13.72,19.0,16.77,17.2,0.0,17.0
Biology,speech synthesis,"A team of bioacoustics researchers is using speech synthesis technology to study the vocalizations of non-human animals, such as birds and whales. The machine learning algorithms are trained to synthesize animal sounds, allowing the researchers to better understand the acoustic communication systems of different species.","Bioacoustics experts employ speech synthesis tools to analyze communications between various non-human creatures like avians and cetaceans. They utilize machine learning models trained to recreate animal vocalizations, enhancing their comprehension of distinctive acoustic communication methods across different species.",320,2,277,4,0,37,38,7.447368421052632,2,19.0,4,36,0,37,0,16.6,9.89,15.38,23.2,25.29,18.13,0.0,16.0
Psychology,pattern recognition,"As a psychologist, I want to use pattern recognition to identify patterns in patient behavior data and predict patient outcomes to inform treatment plans.","As an expert in psychology, my objective is to utilize pattern analysis techniques for detecting recurring behaviors within patients' data sets, enabling me to forecast potential results which can guide the development of therapertient care strategies.""""""",255,1,212,7,0,35,36,6.111111111111111,2,18.5,7,35,0,35,0,20.9,9.56,14.63,25.3,17.65,24.4,0.0,27.0
Social Media,tokenization,"As a social media marketer, I want to tokenize user comments to understand sentiment towards a product.","As a digital marketing specialist for social platforms, my goal is to break down consumer feedback into smaller parts in order to analyze their emotions and opinions about an item.",180,1,148,2,0,29,30,5.033333333333333,1,30.0,2,29,0,29,0,15.0,41.03,11.97,17.3,12.14,17.33,0.0,19.0
Political Science,feature extraction,"As a political scientist, I want to use feature extraction to identify and extract meaningful features from political data, such as voting patterns and political affiliation, so that we can better understand and analyze political systems.","As an expert in political analysis, my aim is to leverage feature extraction techniques for discerning significant attributes from datasets related to politics, including electoral trends and party alignment, ultimately enabling a deeper comprehension and examination of governmental structures.",295,1,252,4,0,38,39,6.589743589743589,1,39.0,4,38,0,37,0,24.4,-10.42,15.29,29.1,20.95,27.91,0.0,31.5
Library,multinomial logistic regression,"As a librarian, I want to use multinomial logistic regression to predict user preferences and needs based on library usage data and user characteristics to enhance access and discovery for library users.","As an archivist, my objective is to employ multinomial logistic regression techniques in forecasting the interests and requirements of patrons by analyzing their interactions with the library and personal attributes, thereby improving ease of access and exploration within the library environment.",297,1,253,3,0,40,41,6.2682926829268295,1,41.0,3,40,0,35,0,24.0,-3.99,14.14,28.6,19.57,30.06,0.0,34.5
Social Networks,recurrent network,"As a social network, I want to use a recurrent network to predict user connections and social network dynamics, based on historical data and social network interactions, so that I can improve the social network experience for my users.","As an online community platform, we aim to employ a sequential model to forecast relationships and changes within the social landscape by analyzing past records and current engagements. This will enable us to enhance user engagement on our site.",245,2,202,3,0,38,39,5.3076923076923075,2,19.5,3,37,0,36,0,12.1,43.22,12.7,13.3,13.05,13.95,0.0,12.75
Movies,keyword spotting,"As a movie producer, I want to use keyword spotting to identify specific themes and elements in movie scripts, so that I can develop more engaging and successful movies.","As an individual responsible for creating films, my aim is to utilize the technique of keyword detection within screenplays to pinpoint distinct motifs and components. This approach will assist me in crafting captivating and triumphant cinematic productions.",258,2,217,3,0,36,37,6.0,2,18.5,3,35,0,35,0,14.0,27.32,13.52,16.1,17.06,16.05,0.0,13.25
Movies,dependency parsing,"As a film analyst, I want to use dependency parsing to analyze movie scripts and identify narrative patterns.","In my role as a cinema evaluator, it is crucial for me to leverage dependency parsing techniques in order to dissect screenplay content and recognize storytelling structures.",174,1,145,2,0,26,27,5.481481481481482,1,27.0,2,26,0,25,0,16.2,27.15,13.16,17.9,14.39,18.21,0.0,18.5
