Domain,Machine Learning Task,User Story,par gemma:7b,llm_total_characters,llm_uppercase_characters,llm_lowercase_characters,llm_special_characters,llm_numbers,llm_blanks,llm_number_of_words,llm_average_length_of_words,llm_number_of_propositions,llm_average_length_of_propositions,llm_punctuation_characters,llm_lowercase_words,llm_uppercase_words,llm_vocabulary_richness,llm_number_of_urls,llm_flesch_kincaid_grade_level,llm_flesch_reading_ease,llm_dale_chall_readability,llm_automated_readability_index,llm_coleman_liau_index,llm_gunning_fog,llm_smog_index,llm_linsear_write_index
Pediatrics,stochastic semantic analysis,"As a pediatrician, I want to use stochastic semantic analysis to analyze patterns in child health data and identify common trends in child health outcomes, in order to improve preventive care and early intervention for childhood illnesses.","Pediatricians want to analyze child health data using a statistical technique called stochastic semantic analysis to uncover patterns and trends in childhood health outcomes, with the aim of enhancing preventive care and early intervention for illnesses.",254,1,216,2,0,35,36,6.083333333333333,1,36.0,2,35,0,33,0,20.9,9.56,13.32,25.2,18.29,26.62,0.0,29.0
Sociology,natural language semantics,"As a sociologist, I want to use natural language semantics to analyze social media posts and other online content, so that I can understand the underlying attitudes and beliefs that shape public opinion on social issues.","**

Sociologists can use natural language processing to analyze online content to uncover public attitudes and beliefs on social issues.",136,1,112,3,0,20,20,5.8,1,20.0,3,18,0,19,0,16.6,9.89,13.72,16.8,17.23,20.23,0.0,16.0
Music,feature sets,"As a musician, I want to use feature sets to group music data by genre and rhythm, so that I can better understand musical trends and inform my own compositions.",Musicians can categorize music data based on genre and rhythm using feature sets to analyze musical trends and inspire their compositions.,138,1,116,1,0,20,21,5.619047619047619,1,21.0,1,20,0,20,0,13.8,33.24,15.2,15.5,15.03,17.92,0.0,15.5
Nephrology,perceptron,"As a nephrologist, I want to use perceptron to classify kidney disease based on patient health data to inform treatment plans and predict disease progression.",Nephrologists can utilize perceptron to categorize kidney disease based on patient medical records to guide treatment strategies and anticipate disease advancement.,164,1,142,1,0,20,21,6.857142857142857,1,21.0,1,20,0,19,0,16.2,16.32,15.2,21.4,22.22,19.83,0.0,16.5
Demography,novelty detection,"As a demographer, I want to use novelty detection to identify new demographic trends and patterns, so that we can better understand the dynamics of population change.","**

To better track population shifts, we need a tool to detect unusual patterns in demographic data.",101,1,79,4,0,17,17,4.9411764705882355,1,17.0,4,15,0,16,0,11.9,38.32,11.34,11.3,11.42,13.9,0.0,11.5
Urban Studies,n-grams,"As an urban planner, I want to use n-grams to analyze patterns in urban development and land use, so that I can better understand how cities evolve over time and make recommendations for sustainable urban planning.",Urban planners need to analyze patterns in urban development and land use using n-grams to track how cities evolve and make sustainable planning recommendations.,161,1,135,2,0,23,24,5.75,1,24.0,2,23,0,21,0,13.8,38.66,13.38,17.7,15.9,16.27,0.0,16.0
Pharmacology,classification method,"As a pharmacologist, I want to use classification methods to classify different types of drugs and their effects, so that I can develop targeted treatment plans.","Pharmacologists need classification tools to categorize drugs and their impacts, enabling the creation of tailored treatment strategies.",136,1,117,2,0,16,17,7.0588235294117645,1,17.0,2,16,0,17,0,14.6,20.38,14.7,20.3,22.68,13.86,0.0,11.5
Literature,unsupervised clustering,"As a literary critic, I want to use unsupervised clustering to identify groups of literary works with similar themes and study their relationship to patterns of literary analysis and interpretation.",Literary critics can use unsupervised clustering to categorize books with shared thematic elements and explore their connections to analytical approaches.,154,1,133,1,0,19,20,6.75,1,20.0,1,19,0,19,0,18.2,0.42,14.89,20.4,21.58,26.0,0.0,19.0
Medicine,liquid state machine,"As a medical researcher, I want to use liquid state machines to analyze and predict the efficacy of drugs and treatments based on various factors, such as dosage, patient demographics, and disease progression, allowing for better decisions about drug development and clinical trials.","Medical researchers need liquid state machines to evaluate drug effectiveness and treatment outcomes based on dose, patient characteristics, and disease progression.",165,1,141,3,0,20,21,6.904761904761905,1,21.0,3,20,0,20,0,16.2,16.32,15.96,21.6,21.93,17.92,0.0,15.5
Social Media,explicit semantic analysis,"As a social media analyst, I want to use explicit semantic analysis to identify sentiment and trends on social media platforms, so that I can improve social media engagement and better understand user behavior.","**

To enhance social media engagement and track user behavior, I need a tool that can analyze social media data using explicit semantic analysis to determine sentiment and identify trends.",189,2,153,4,0,30,30,5.3,1,30.0,4,27,1,26,0,18.1,16.66,13.79,18.9,14.28,24.01,0.0,24.0
Cardiology,elman network,"As a cardiologist, I want to use Elman networks to predict which patients are most at risk of developing heart disease based on their medical history, lifestyle factors, and genetic information. I also want to use Elman networks to model the progression of heart disease and predict the effectiveness of different treatments.","Cardiologists can utilize Elman networks to assess the risk of heart disease in patients, using their medical records, lifestyle habits, and genetic data as input. Additionally, these networks can be employed to track the progression of heart disease and assess the efficacy of treatment options.",296,3,243,6,0,44,45,5.6,2,22.5,6,42,0,34,0,13.2,40.18,12.47,16.2,14.74,14.33,0.0,14.25
Transportation,computational linguistics,"As a transportation analyst, I want to use computational linguistics to analyze social media data and understand how people are discussing transportation issues in different regions.",Analysts can utilize computational linguistics to analyze social media conversations related to transportation to assess public sentiment and concerns across different geographical areas.,187,1,163,1,0,22,23,7.173913043478261,1,23.0,1,22,0,21,0,21.7,-19.56,15.08,23.8,24.37,24.85,0.0,21.5
Radiology,supervised deep networks,"As a radiologist, I want to use supervised deep networks to detect and classify anomalies in medical images such as tumors and fractures.",Radiologists need supervised AI models to identify and categorize anomalies in medical images like tumors and fractures.,120,3,100,1,0,16,17,6.117647058823529,1,17.0,1,15,1,16,0,15.8,11.92,14.7,15.9,17.57,18.56,0.0,13.5
Economics,elbot,"As an economist, I want to use Elbot to analyze and forecast economic trends and outcomes, in order to inform economic policy decisions.",Economists can use Elbot to study and anticipate economic changes to guide policy decisions.,92,2,76,1,0,13,14,5.642857142857143,1,14.0,1,12,0,13,0,12.3,31.89,12.23,12.1,14.43,19.89,0.0,12.0
Sociology,lifelong machine learning,"As a sociologist, I want to use lifelong machine learning to continuously improve my sociological models and theories and adapt them to changing social trends and patterns, in order to provide more accurate and insightful analysis of social phenomena and trends for use in social science research and other applications.","Sociologists can use machine learning to refine their models and theories over time, ensuring they remain relevant to evolving social trends and providing deeper understanding of social phenomena.",196,1,166,2,0,27,28,6.035714285714286,1,28.0,2,27,0,25,0,18.9,9.22,12.92,21.0,17.58,21.2,0.0,21.0
Transportation,cnn,"As a transportation engineer, I want to use CNNs to classify different types of traffic patterns based on traffic camera footage, so that I can better understand traffic flows and develop targeted traffic management strategies.",Transportation engineers want to use convolutional neural networks to categorize traffic patterns from camera footage to optimize traffic flow and develop targeted management strategies.,186,1,161,1,0,23,24,6.791666666666667,1,24.0,1,23,0,21,0,18.6,4.82,14.7,22.6,22.17,22.93,0.0,20.0
Biology,speech synthesis,"A team of bioacoustics researchers is using speech synthesis technology to study the vocalizations of non-human animals, such as birds and whales. The machine learning algorithms are trained to synthesize animal sounds, allowing the researchers to better understand the acoustic communication systems of different species.","Researchers are using AI to create realistic recordings of animal vocalizations, enhancing their understanding of the communication methods of birds and whales.",160,3,134,2,0,21,22,6.318181818181818,1,22.0,2,20,1,20,0,16.6,15.31,14.06,19.3,18.85,17.89,0.0,17.0
Psychology,pattern recognition,"As a psychologist, I want to use pattern recognition to identify patterns in patient behavior data and predict patient outcomes to inform treatment plans.",Psychologists can utilize pattern recognition to uncover patterns in patient behavior data and forecast patient outcomes to guide treatment strategies.,151,1,130,1,0,19,20,6.6,1,20.0,1,19,0,18,0,15.8,17.34,14.89,19.7,20.71,16.0,0.0,14.0
Social Media,tokenization,"As a social media marketer, I want to tokenize user comments to understand sentiment towards a product.","**

To analyze sentiment, I need to break down user comments into individual words or phrases.",94,2,72,4,0,16,16,4.875,1,16.0,4,13,1,15,0,11.5,39.33,11.75,10.6,10.72,14.0,0.0,11.0
Political Science,feature extraction,"As a political scientist, I want to use feature extraction to identify and extract meaningful features from political data, such as voting patterns and political affiliation, so that we can better understand and analyze political systems.","**

Political scientists need a method to extract significant features from political data to gain deeper insights into voting behavior and political affiliations.",163,1,136,3,0,23,23,6.086956521739131,1,23.0,3,21,0,20,0,19.0,-1.63,13.34,19.5,18.85,17.89,0.0,18.5
Library,multinomial logistic regression,"As a librarian, I want to use multinomial logistic regression to predict user preferences and needs based on library usage data and user characteristics to enhance access and discovery for library users.","Librarians aim to utilize machine learning to analyze library usage data and user characteristics in order to better understand user preferences and needs, ultimately improving library access and discovery.",206,1,175,2,0,28,29,6.137931034482759,1,29.0,2,28,0,23,0,20.5,-0.27,12.7,22.0,18.52,21.26,0.0,22.5
Social Networks,recurrent network,"As a social network, I want to use a recurrent network to predict user connections and social network dynamics, based on historical data and social network interactions, so that I can improve the social network experience for my users.","**

To enhance user experience, we aim to utilize recurrent networks to forecast future user connections and network behavior based on past data and social interactions.",169,1,138,4,0,26,26,5.5,1,26.0,4,24,0,22,0,16.6,20.72,14.35,18.0,15.26,18.0,0.0,18.0
Movies,keyword spotting,"As a movie producer, I want to use keyword spotting to identify specific themes and elements in movie scripts, so that I can develop more engaging and successful movies.","Movie producers want to leverage keyword spotting technology to uncover dominant themes and story elements within movie scripts, enabling them to create more captivating and commercially successful films.",204,1,174,2,0,27,28,6.321428571428571,1,28.0,2,27,0,24,0,17.8,17.68,14.61,22.3,19.27,22.63,0.0,22.0
Movies,dependency parsing,"As a film analyst, I want to use dependency parsing to analyze movie scripts and identify narrative patterns.",Analysts can utilize dependency parsing to uncover narrative structures in movie scripts.,89,1,76,1,0,11,12,6.5,1,12.0,1,11,0,12,0,12.7,25.46,14.76,15.2,19.07,18.13,0.0,9.0
Literature,representation learning,"As a literary scholar, I want to use representation learning to analyze literary data and identify key features that are predictive of literary success, so that we can design better literary analysis tools and publishing strategies.",Literary scholars want to analyze literature using machine learning to discover features that influence literary success.,121,1,104,1,0,15,16,6.625,1,16.0,1,15,0,14,0,16.6,4.47,13.31,17.8,20.47,16.4,0.0,14.0
Computer Vision,text mining,"As a computer vision researcher, I want to mine image data to analyze image content and context to inform computer vision research and application.","**

The researcher desires to extract meaningful insights from image data to enhance computer vision understanding and advancements.",132,1,110,3,0,18,18,6.333333333333333,1,18.0,3,16,0,17,0,14.6,20.38,15.63,18.7,20.3,16.21,0.0,13.0
Political Science,classifier chain,"As a political scientist, I want to use a classifier chain to predict different types of political outcomes, taking into account the interactions between multiple factors, such as public opinion and media coverage, so that I can better understand political dynamics.","**

Political scientists need a classifier chain tool to forecast various political outcomes, considering the interconnectedness of factors like public sentiment and media reporting.",182,1,153,4,0,24,24,6.583333333333333,1,24.0,4,22,0,23,0,20.5,-11.1,13.02,22.4,21.88,23.11,0.0,21.0
Social Work,tree algorithms,"As a social worker, I want to use tree algorithms to analyze patient data and identify factors that influence mental health outcomes.",Social workers can utilize tree-based algorithms to explore patient records and uncover factors impacting mental well-being.,124,1,105,3,0,15,16,6.8125,1,16.0,3,15,0,16,0,14.3,21.4,16.27,18.6,20.88,13.9,0.0,12.0
Demography,decision boundary,"As a demographer, I need to identify the decision boundary for a population segmentation model to analyze demographic trends.","**

Analysts need to determine the criteria that separate different population segments in order to study demographic patterns.",127,1,105,3,0,18,18,6.055555555555555,1,18.0,3,16,0,17,0,15.8,11.92,10.98,17.3,18.62,18.56,0.0,16.0
Social Networks,part-of-speech,"As a social network researcher, I want to use part-of-speech tagging to analyze messages exchanged between users to identify patterns in communication.",Researchers want to analyze social network messages using part-of-speech tagging to uncover communication patterns.,115,1,98,3,0,13,14,7.285714285714286,1,14.0,3,13,0,13,0,14.7,14.97,15.61,19.9,23.13,14.17,0.0,9.0
Computer Vision,support vector regression,"As a computer vision researcher, I want to use Support Vector Regression (SVR) to predict the performance of object detection and recognition algorithms based on various visual features such as color, texture, and shape so that I can optimize algorithm design and improve accuracy.","**

Researchers want to use SVR to forecast the efficiency of object detection and recognition algorithms based on visual features like color, texture, and shape to optimize algorithm development for improved accuracy.",218,4,177,5,0,32,32,5.8125,1,32.0,5,29,1,29,0,18.9,14.63,13.83,22.3,17.18,22.72,0.0,24.0
Psychology,graph mining,"As a psychologist, I want to use graph mining to analyze social networks and identify factors that contribute to mental health, so that I can develop more effective interventions and treatment plans.",Psychologists can use graph mining to understand social network patterns and uncover factors related to mental health for better interventions.,143,1,122,1,0,19,20,6.2,1,20.0,1,19,0,19,0,15.8,17.34,13.31,17.8,18.39,16.0,0.0,15.0
Transportation,multiword expressions,"As a transportation engineer, I want to extract multiword expressions from social media data related to traffic to analyze traffic patterns.","**

Transportation engineers need to analyze traffic patterns by extracting meaningful phrases from social media data related to traffic.",137,1,114,3,0,19,19,6.2105263157894735,1,19.0,3,17,0,18,0,16.2,10.91,15.06,18.5,19.49,20.53,0.0,15.5
Literature,value iteration,"As a literary critic, I want to use value iteration to optimize the allocation of literary resources and improve access to literature, so as to promote literacy and cultural understanding.",Literary critics aim to enhance literacy and cultural understanding by efficiently allocating literary resources using value iteration.,135,1,117,1,0,16,17,7.0,1,17.0,1,16,0,16,0,20.5,-21.93,14.7,20.0,22.68,23.27,0.0,16.5
Information Systems,sentence extraction,"As an information systems analyst, I want to use sentence extraction to automatically identify key information from user feedback, to quickly identify common issues and areas for improvement in software and enhance user experience.",Analysts can automatically extract important statements from user feedback to pinpoint software issues and improve user experience.,131,1,113,1,0,16,17,6.764705882352941,1,17.0,1,16,0,16,0,17.0,3.46,13.77,18.9,21.34,13.86,0.0,12.5
