Domain,Machine Learning Task,User Story,par gemma:2b,llm_total_characters,llm_uppercase_characters,llm_lowercase_characters,llm_special_characters,llm_numbers,llm_blanks,llm_number_of_words,llm_average_length_of_words,llm_number_of_propositions,llm_average_length_of_propositions,llm_punctuation_characters,llm_lowercase_words,llm_uppercase_words,llm_vocabulary_richness,llm_number_of_urls,llm_flesch_kincaid_grade_level,llm_flesch_reading_ease,llm_dale_chall_readability,llm_automated_readability_index,llm_coleman_liau_index,llm_gunning_fog,llm_smog_index,llm_linsear_write_index
Computer Networks,supervised learning,"As a network administrator, I want to use supervised learning to analyze network data and predict network failures or security breaches, so that I can improve network reliability and security.","As a network administrator, I want to use AI algorithms to identify potential network threats and predict when a system might fail, enabling me to proactively improve network security and reliability.",200,4,163,3,0,30,31,5.483870967741935,1,31.0,3,28,2,25,0,18.9,14.63,11.8,19.9,14.57,21.43,0.0,22.5
Health,data augmentation,"As a healthcare provider, I want to use data augmentation techniques to generate additional training data for machine learning models used in disease diagnosis and treatment outcome prediction, so that the models can be more accurate and generalize better across different patient populations and regions.","As a healthcare provider, I aim to employ data augmentation techniques to generate supplemental training data for machine learning models that contribute to improved disease diagnosis and treatment outcome prediction. This will enhance the model's accuracy and adaptability across diverse patient populations and geographic regions.",332,3,281,4,0,44,45,6.4,2,22.5,4,42,1,40,0,16.8,14.8,14.23,20.0,19.61,17.89,0.0,16.25
Computer Networks,backpropagation,A network engineer is using machine learning to detect anomalies in network traffic. They are training a neural network using backpropagation to improve the accuracy of the anomaly detection model.,The network engineer is using machine learning to identify unusual patterns in network traffic. They are building a neural network using backpropagation to refine the accuracy of this pattern recognition system.,211,2,177,2,0,30,31,5.838709677419355,2,15.5,2,29,0,26,0,12.9,30.36,11.54,13.8,15.89,12.65,0.0,10.75
Health,sentence generation,"As a healthcare provider, I want to use sentence generation to automatically generate patient education materials, to improve patient outcomes and standardize documentation.","As a healthcare provider, I want to utilize natural language processing (NLP) to create patient education materials in a consistent and standardized format, enabling me to improve patient outcomes and streamline my documentation process.",237,5,194,5,0,33,34,6.0,1,34.0,5,31,2,29,0,20.1,11.59,13.68,23.8,17.24,21.84,0.0,24.0
Economics,reinforcement learning,"As an economist, I want to use reinforcement learning to develop more accurate models of market dynamics and behavior.","As an economist, I aim to create sophisticated models using machine learning to simulate and analyze market behavior and dynamics.",130,2,107,2,0,19,20,5.55,1,20.0,2,18,1,18,0,15.8,17.34,12.52,14.7,14.33,20.0,0.0,16.0
Urban Studies,computational linguistics,"As an urban planner, I want to use computational linguistics to analyze news articles and social media posts to understand how residents feel about proposed changes to the city's transportation infrastructure.","As an urban planner, I want to utilize computational linguistics to delve into news articles and social media posts to glean insights into the sentiments and opinions of residents regarding proposed changes to the city's transportation infrastructure.",251,2,210,3,0,36,37,5.8108108108108105,1,37.0,3,35,1,31,0,20.1,17.0,14.43,24.4,16.55,23.45,0.0,26.5
Political Science,latent dirichlet allocation,"As a political scientist, I want to use latent Dirichlet allocation to identify latent topics in political speeches related to foreign policy, so that I can better understand political discourse and identify potential areas of disagreement.","As a political scientist, I want to analyze political speeches related to foreign policy by identifying latent topics using a latent Dirichlet allocation approach. This will help me understand the structure and dynamics of political discourse and identify potential areas of disagreement or debate.",298,4,248,3,0,43,44,5.795454545454546,2,22.0,3,40,1,37,0,16.6,15.31,12.62,16.9,15.95,18.8,0.0,18.0
Sport,classification method,"As a sports analyst, I want to use classification methods to classify different types of player performance, so that I can better predict game outcomes.","As a sports analyst, I want to develop machine learning models that can identify the different performance characteristics of players and predict the outcome of sporting events.",177,2,147,2,0,26,27,5.592592592592593,1,27.0,2,25,1,25,0,16.2,27.15,12.58,18.4,15.03,18.21,0.0,19.5
Literature,c4.5 algorithm,"As a literary scholar, I want to use the C4.5 algorithm to analyze patterns in literary texts and identify themes, motifs, and other literary elements.","As a literary scholar, I want to apply the C4.5 algorithm to analyze patterns in literary texts and discover the core themes, motifs, and other literary elements that shape the narrative and meaning of the text.",211,3,166,5,2,35,36,4.888888888888889,2,18.5,5,33,2,28,0,10.3,53.21,11.55,10.6,9.97,12.76,0.0,13.0
News,factorization method,"As a journalist or news analyst, I want to use factorization methods to analyze news data and identify key factors affecting news coverage and public opinion, so that I can provide better news analysis and insights.","As a journalist or news analyst, I want to use mathematical techniques to identify key factors influencing news coverage and public perception, enabling me to offer more insightful and comprehensive news analysis.",213,2,177,3,0,31,32,5.6875,1,32.0,3,30,1,27,0,19.3,13.62,11.64,21.4,15.73,25.3,0.0,26.0
Social Media,embedding approach,"As a social media analyst, I want to use an embedding approach to represent user profiles and their interests based on their social media activity and interactions, in order to recommend personalized content and advertisements.","As a social media analyst, I want to create an embedding model that represents users based on their social media interactions and activities, allowing me to recommend personalized content and advertisements tailored to their interests.",235,2,196,3,0,34,35,5.742857142857143,1,35.0,3,33,1,29,0,20.5,10.57,13.49,23.1,16.14,25.43,0.0,27.5
Cardiology,backpropagation,"A cardiologist is using machine learning to predict the risk of heart disease in patients based on various factors such as age, gender, and lifestyle. They are training a neural network using backpropagation to improve the accuracy of the risk prediction model.",A machine learning model is being developed to assess the risk of heart disease based on various demographic and lifestyle factors. The model is trained using a backpropagation algorithm to optimize its accuracy in predicting the risk of heart disease.,252,2,209,2,0,39,40,5.325,2,20.0,2,38,1,31,0,13.5,34.26,11.73,13.7,13.34,16.0,0.0,14.0
Nephrology,fully connected layer,"As a nephrologist, I want to use fully connected layers to predict kidney outcomes based on large datasets of patient kidney data, so that I can better diagnose and treat kidney disease.","As a nephrologist, I want to develop advanced machine learning models that can predict the risk and progression of kidney disease by analyzing large datasets of patient data.",174,2,143,2,0,27,28,5.25,1,28.0,2,26,1,27,0,14.2,43.06,12.92,17.3,13.06,16.91,0.0,18.0
Movies,multi-class classification,"As a movie producer, I want to use multi-class classification to classify different types of movie genres based on their characteristics and audience appeal, in order to develop more effective marketing and distribution strategies.","As a movie producer, I want to use machine learning to identify and categorize movie genres based on their content and audience demographics, enabling me to create targeted marketing campaigns and distribution strategies that align with audience preferences.",258,2,216,3,0,37,38,5.815789473684211,1,38.0,3,36,1,32,0,20.5,15.99,13.0,25.0,16.6,24.67,0.0,29.0
Linguistics,string kernel,"As a linguist, I want to use string kernel methods to analyze patterns in language data, such as word frequencies and grammatical constructions, and identify common linguistic themes and trends, such as the emergence of new words and language families, in order to develop more accurate models of language acquisition and processing and improve natural language processing systems.","As a linguist, I want to employ string kernel methods to investigate patterns and commonalities within language data, including word frequencies, grammatical constructions, and emerging linguistic trends. This will contribute to the development of improved language models for acquiring and processing natural language, enhancing the accuracy of language acquisition models, and advancing natural language processing techniques.",428,3,362,8,0,55,56,6.660714285714286,2,28.0,8,53,1,44,0,20.1,0.76,12.92,23.9,20.83,22.63,0.0,23.0
Pharmacology,multi-class classification,"As a pharmacologist, I want to use multi-class classification to classify different types of drugs based on their molecular and cellular targets, in order to develop more effective drug therapies and improve patient outcomes.","As a pharmacologist, I want to use machine learning algorithms to classify drugs based on their molecular and cellular targets, to develop more effective drug therapies and improve patient outcomes.",198,2,164,3,0,29,30,5.633333333333334,1,30.0,3,28,1,27,0,17.4,24.11,13.02,20.1,15.39,22.67,0.0,23.0
Computer Networks,reservoir computing,"As a network engineer, I want to use reservoir computing to analyze network data and identify key factors that contribute to network performance and security, so that we can design better network systems.","As a network engineer, I want to leverage reservoir computing to analyze and understand network data to identify key factors impacting the performance and security of our network infrastructure. This will enable us to create more efficient and robust network systems.",267,3,221,3,0,40,41,5.536585365853658,2,20.5,3,38,1,33,0,13.6,33.75,11.2,14.9,14.39,16.0,0.0,15.25
Sociology,neural gas,"As a sociologist, I want to use neural gas to analyze and classify social data, such as survey responses and interview transcripts, so that I can better understand social structures and social change.","As a sociologist, I want to use machine learning to analyze and classify social data, such as survey responses and interview transcripts, to gain insights into social structures and social change.",196,2,160,4,0,30,31,5.354838709677419,1,31.0,4,29,1,24,0,16.6,31.55,11.29,19.3,13.65,18.85,0.0,20.5
Radiology,policy iteration,"As a radiologist, I want to use policy iteration to optimize patient treatment plans by developing a policy that considers factors such as medical imaging results, patient medical history, and treatment effectiveness.","As a radiologist, I want to create a policy that analyzes medical imaging results, patient medical history, and treatment outcomes to develop personalized treatment plans.",171,2,141,4,0,24,25,5.88,1,25.0,4,23,1,21,0,17.8,12.26,13.09,18.8,16.19,19.6,0.0,20.5
Linguistics,representation learning,"As a linguist, I want to use representation learning to analyze language data and identify key features that are predictive of language acquisition and usage, so that we can design better language education and translation systems.","As a linguist, I aim to leverage representation learning techniques to identify and analyze key features in language data, which will be instrumental in developing more effective language education and translation systems.",222,2,186,3,0,31,32,5.96875,1,32.0,3,30,1,28,0,19.3,13.62,12.63,22.7,17.42,22.8,0.0,24.0
Literature,named entity recognition,"As a literary critic, I want to use named entity recognition to automatically identify and classify literary works and authors mentioned in literary analysis and criticism, so that I can better understand literary trends and analyze the cultural significance of different works.","As a literary critic, I want to use machine learning to automatically identify and categorize literary works and authors mentioned in literary analysis and criticism. This will allow me to gain a better understanding of literary trends and cultural significance, aiding me in my analysis of literary works.",306,3,252,4,0,47,48,5.395833333333333,2,24.0,4,45,1,34,0,16.2,21.74,10.09,16.0,13.81,17.1,0.0,19.0
Library,neural network,"As a librarian, I want to use neural networks to analyze and predict book demand and popularity, so that I can improve book collection and availability for readers.","As a librarian, I aim to leverage artificial intelligence to develop predictive models that assess book demand and popularity, enabling me to optimize book collection and accessibility for readers.",197,2,164,3,0,28,29,5.827586206896552,1,29.0,3,27,1,25,0,20.5,-0.27,13.24,20.5,16.49,24.01,0.0,23.5
Dermatology,fss-svm,"As a dermatologist, I want to use FSS-SVM to select the most important dermatological features from large datasets of patient skin data, so that I can better diagnose and treat skin conditions.","As a dermatologist, I want to use machine learning to select the most important dermatological features from large datasets of patient skin data, so that I can better diagnose and treat skin conditions.",202,3,164,3,0,32,33,5.151515151515151,1,33.0,3,30,2,30,0,17.3,29.52,9.58,19.3,12.66,18.05,0.0,21.5
Information Systems,pre-trained language model,"As an information systems analyst, I want to use a pre-trained language model to analyze system logs and user feedback, to identify system performance issues and user behavior patterns, and to use this information to develop more effective system design and troubleshooting strategies.","As an information systems analyst, I want to utilize a pre-trained language model to analyze system logs and user feedback, enabling me to identify and address potential performance issues and user behavior patterns, ultimately contributing to the development of more efficient and effective system design and troubleshooting strategies.",337,2,283,5,0,47,48,6.041666666666667,1,48.0,5,46,1,39,0,25.6,-2.63,14.9,31.0,18.06,30.03,0.0,37.0
Library,neuromorphic engineering,"As a librarian, I want to explore the use of neuromorphic engineering in developing tools for more efficient cataloging and organization of library materials, so that we can improve access to information and knowledge.","As a librarian, I want to explore the potential of neuromorphic engineering to develop innovative solutions for more efficient and intuitive library cataloging and organization, enhancing access to information and fostering greater knowledge discovery.",252,2,214,3,0,33,34,6.4411764705882355,1,34.0,3,32,1,30,0,23.6,-13.8,14.15,25.9,20.14,31.25,0.0,32.0
Sport,conversational understanding,"As a sports organization, I want to use conversational understanding to develop a chatbot that can provide real-time updates on scores, schedules, and player statistics.","As a sports organization, I want to develop a chatbot that can engage with users through natural language and provide real-time updates on scores, schedules, and player statistics.",180,2,146,5,0,27,28,5.464285714285714,1,28.0,5,26,1,26,0,15.4,34.6,11.79,18.3,13.7,16.91,0.0,19.0
Pediatrics,stochastic semantic analysis,"As a pediatrician, I want to use stochastic semantic analysis to analyze patterns in child health data and identify common trends in child health outcomes, in order to improve preventive care and early intervention for childhood illnesses.","As a pediatrician, I want to use statistical analysis to identify patterns and trends in child health data to improve prevention and early intervention for childhood illnesses.",176,2,146,2,0,26,27,5.555555555555555,1,27.0,2,25,1,24,0,17.4,18.69,10.82,18.3,14.8,21.17,0.0,20.5
Sociology,natural language semantics,"As a sociologist, I want to use natural language semantics to analyze social media posts and other online content, so that I can understand the underlying attitudes and beliefs that shape public opinion on social issues.","As a sociologist, I aim to leverage natural language processing techniques to analyze social media discourse and other online content, enabling me to comprehend the underlying sentiments and beliefs shaping public opinion on social issues.",239,2,200,3,0,34,35,5.857142857142857,1,35.0,3,33,1,31,0,20.5,10.57,13.94,23.7,16.78,22.0,0.0,24.5
Music,feature sets,"As a musician, I want to use feature sets to group music data by genre and rhythm, so that I can better understand musical trends and inform my own compositions.","As a musician, I want to organize music data by genre and rhythm to gain insights into musical trends and enhance my compositional process.",139,2,112,2,0,23,24,4.833333333333333,1,24.0,2,22,1,22,0,12.7,47.12,12.06,13.3,10.57,16.27,0.0,16.0
Nephrology,perceptron,"As a nephrologist, I want to use perceptron to classify kidney disease based on patient health data to inform treatment plans and predict disease progression.","As a nephrologist, I want to use a machine learning algorithm to classify kidney disease based on patient health data, which will help me make informed treatment decisions and predict the progression of kidney disease.",218,2,179,3,0,34,35,5.257142857142857,1,35.0,3,33,1,32,0,16.9,35.95,11.69,20.8,13.3,19.71,0.0,22.5
Demography,novelty detection,"As a demographer, I want to use novelty detection to identify new demographic trends and patterns, so that we can better understand the dynamics of population change.","As a demographer, I want to use machine learning algorithms to identify emerging demographic patterns and trends, which will help us better understand the dynamics of population growth and migration.",199,2,165,3,0,29,30,5.666666666666667,1,30.0,3,28,1,28,0,17.4,24.11,11.44,20.3,15.62,21.33,0.0,23.0
Urban Studies,n-grams,"As an urban planner, I want to use n-grams to analyze patterns in urban development and land use, so that I can better understand how cities evolve over time and make recommendations for sustainable urban planning.","As an urban planner, I want to explore the dynamics of urban development and land use by analyzing sequences of N-grams to uncover patterns and trends. This will help me generate insightful insights into the evolution of cities over time, enabling me to propose effective strategies for sustainable urban planning.",314,4,256,5,0,49,50,5.3,2,25.0,5,46,1,41,0,14.2,37.64,12.14,16.0,13.18,17.2,0.0,17.0
Pharmacology,classification method,"As a pharmacologist, I want to use classification methods to classify different types of drugs and their effects, so that I can develop targeted treatment plans.","As a pharmacologist, I want to develop methods to automatically classify drugs based on their chemical and biological properties, enabling me to create personalized treatment plans tailored to each patient's specific needs.",223,2,186,4,0,31,32,6.0,1,32.0,4,30,1,29,0,20.5,5.16,14.6,22.8,17.42,24.05,0.0,25.0
Literature,unsupervised clustering,"As a literary critic, I want to use unsupervised clustering to identify groups of literary works with similar themes and study their relationship to patterns of literary analysis and interpretation.","As a literary critic, I want to explore the hidden relationships between literary works by using unsupervised clustering to identify groups based on their thematic similarities.",177,2,148,2,0,25,26,5.846153846153846,1,26.0,2,24,1,24,0,18.2,11.25,12.82,19.1,16.48,21.17,0.0,21.0
Medicine,liquid state machine,"As a medical researcher, I want to use liquid state machines to analyze and predict the efficacy of drugs and treatments based on various factors, such as dosage, patient demographics, and disease progression, allowing for better decisions about drug development and clinical trials.","As a medical researcher, I want to use advanced liquid state machines to analyze and predict the efficacy of drugs and treatments by considering various factors such as dosage, patient demographics, and disease progression.",223,2,184,4,0,33,34,5.588235294117647,1,34.0,4,32,1,30,0,18.9,20.05,13.68,21.9,15.04,21.84,0.0,24.0
Social Media,explicit semantic analysis,"As a social media analyst, I want to use explicit semantic analysis to identify sentiment and trends on social media platforms, so that I can improve social media engagement and better understand user behavior.","As a social media analyst, I want to analyze the sentiment and trends of social media content to enhance social media engagement and understand user behavior effectively.",170,2,140,2,0,26,27,5.333333333333333,1,27.0,2,25,1,21,0,17.4,18.69,11.99,17.2,13.52,19.69,0.0,20.5
Cardiology,elman network,"As a cardiologist, I want to use Elman networks to predict which patients are most at risk of developing heart disease based on their medical history, lifestyle factors, and genetic information. I also want to use Elman networks to model the progression of heart disease and predict the effectiveness of different treatments.","As a cardiologist, I want to develop Elman networks to identify patients at high risk of cardiovascular disease based on their medical records, lifestyle habits, and genetic factors. Additionally, I aim to create Elman networks to model the progression of heart disease and predict the effectiveness of various treatments.",322,6,262,6,0,48,49,5.591836734693878,2,24.5,6,43,2,38,0,15.2,29.69,12.59,17.1,14.74,17.96,0.0,17.25
Transportation,computational linguistics,"As a transportation analyst, I want to use computational linguistics to analyze social media data and understand how people are discussing transportation issues in different regions.","As a transportation analyst, I want to apply computational linguistics to analyze social media data and identify how people discuss transportation-related issues and concerns across different geographic regions.",211,2,179,3,0,27,28,6.571428571428571,1,28.0,3,26,1,26,0,21.3,-7.71,14.05,23.5,20.48,22.63,0.0,23.0
Radiology,supervised deep networks,"As a radiologist, I want to use supervised deep networks to detect and classify anomalies in medical images such as tumors and fractures.","As a radiologist, I want to use AI to automatically detect and classify abnormalities in medical images, such as tumors and fractures.",134,4,106,3,0,21,22,5.136363636363637,1,22.0,3,19,2,19,0,16.6,15.31,11.9,13.8,11.72,17.89,0.0,16.0
Economics,elbot,"As an economist, I want to use Elbot to analyze and forecast economic trends and outcomes, in order to inform economic policy decisions.","As an economist, I want to utilize Elbot to assess and predict economic trends and outcomes, enabling informed economic policy decisions.",137,3,111,3,0,20,21,5.571428571428571,1,21.0,3,18,1,18,0,13.8,33.24,13.7,15.3,14.21,16.02,0.0,15.5
Sociology,lifelong machine learning,"As a sociologist, I want to use lifelong machine learning to continuously improve my sociological models and theories and adapt them to changing social trends and patterns, in order to provide more accurate and insightful analysis of social phenomena and trends for use in social science research and other applications.","As a sociologist, I want to develop a machine learning model that continuously learns and adapts to changing social trends and patterns, enabling me to create more accurate and insightful sociological models and theories that can be used in social science research and other applications.",288,2,239,3,0,44,45,5.4222222222222225,1,45.0,3,43,1,36,0,23.2,8.88,13.24,26.6,14.7,25.11,0.0,30.5
Transportation,cnn,"As a transportation engineer, I want to use CNNs to classify different types of traffic patterns based on traffic camera footage, so that I can better understand traffic flows and develop targeted traffic management strategies.","As a transportation engineer, I want to use machine learning algorithms to classify and analyze different types of traffic patterns captured by traffic cameras, enabling me to gain insights into traffic flow and develop effective strategies for traffic management.",264,2,221,3,0,38,39,5.794871794871795,1,39.0,3,37,1,33,0,20.9,14.97,12.05,25.3,16.49,22.78,0.0,28.5
Biology,speech synthesis,"A team of bioacoustics researchers is using speech synthesis technology to study the vocalizations of non-human animals, such as birds and whales. The machine learning algorithms are trained to synthesize animal sounds, allowing the researchers to better understand the acoustic communication systems of different species.",A team of researchers is using speech synthesis technology to create recordings of vocalizations from different species of animals. They are training machine learning algorithms to convert these recordings into realistic sounds that can be used to understand the communication systems of these animals.,302,2,255,2,0,43,44,5.886363636363637,2,22.0,2,42,1,36,0,14.2,32.22,10.83,17.3,16.59,15.16,0.0,16.0
Psychology,pattern recognition,"As a psychologist, I want to use pattern recognition to identify patterns in patient behavior data and predict patient outcomes to inform treatment plans.","As a psychologist, I want to be able to identify patterns in patient behavior data so that I can predict how patients will behave in the future and develop more effective treatment plans.",187,3,150,2,0,32,33,4.696969696969697,1,33.0,2,30,2,30,0,16.2,37.98,11.49,17.2,10.22,19.26,0.0,21.5
Social Media,tokenization,"As a social media marketer, I want to tokenize user comments to understand sentiment towards a product.","> As a social media marketer, I want to convert user comments into a sentiment measure to understand the overall positive or negative sentiment towards a product.",162,2,131,3,0,26,27,5.037037037037037,1,27.0,3,24,1,23,0,15.8,28.17,11.61,16.2,12.71,15.02,0.0,18.5
Political Science,feature extraction,"As a political scientist, I want to use feature extraction to identify and extract meaningful features from political data, such as voting patterns and political affiliation, so that we can better understand and analyze political systems.","As a political scientist, I aim to leverage feature extraction techniques to identify and extract relevant features from political datasets, enabling me to gain deeper insights into political systems and their dynamics.",219,2,183,3,0,31,32,5.875,1,32.0,3,30,1,27,0,19.3,13.62,13.12,22.3,16.84,20.3,0.0,24.0
Library,multinomial logistic regression,"As a librarian, I want to use multinomial logistic regression to predict user preferences and needs based on library usage data and user characteristics to enhance access and discovery for library users.","As a librarian, I want to build a predictive model that can analyze library usage data and user characteristics to identify patterns and predict user preferences and needs, enabling me to optimize library services and resources to better serve library users.",258,2,213,3,0,40,41,5.317073170731708,1,41.0,3,39,1,31,0,21.6,12.94,12.6,24.1,14.0,23.23,0.0,27.5
Social Networks,recurrent network,"As a social network, I want to use a recurrent network to predict user connections and social network dynamics, based on historical data and social network interactions, so that I can improve the social network experience for my users.","As a social network, I want to build a model that predicts how users will connect and interact with each other over time, based on past data and how users engage with each other on the platform.",194,2,153,3,0,36,37,4.27027027027027,1,37.0,3,35,1,29,0,14.2,59.3,9.31,17.2,7.61,15.88,0.0,19.5
Movies,keyword spotting,"As a movie producer, I want to use keyword spotting to identify specific themes and elements in movie scripts, so that I can develop more engaging and successful movies.","As a movie producer, I want to use AI tools to identify and analyze specific themes and elements in movie scripts, enabling me to create more compelling and audience-oriented movies.",182,4,145,4,0,29,30,5.1,1,30.0,4,27,2,25,0,15.0,41.03,12.49,17.6,12.14,21.33,0.0,21.0
Movies,dependency parsing,"As a film analyst, I want to use dependency parsing to analyze movie scripts and identify narrative patterns.","As a film analyst, I want to use a dependency parsing tool to analyze movie scripts and extract the narrative patterns within them.",131,2,105,2,0,22,23,4.739130434782608,1,23.0,2,21,1,21,0,12.3,48.13,10.96,12.4,9.99,16.16,0.0,15.5
Literature,representation learning,"As a literary scholar, I want to use representation learning to analyze literary data and identify key features that are predictive of literary success, so that we can design better literary analysis tools and publishing strategies.","As a literary scholar, I want to use machine learning to analyze literary data and identify features that can help predict the success of a literary piece, enabling the development of more effective literary analysis tools and publishing strategies.",249,2,206,3,0,38,39,5.410256410256411,1,39.0,3,37,1,31,0,20.9,14.97,12.05,23.6,14.23,22.78,0.0,29.5
Computer Vision,text mining,"As a computer vision researcher, I want to mine image data to analyze image content and context to inform computer vision research and application.","As a computer vision researcher, I aim to extract meaningful information from the visual content I analyze to enhance the advancement of computer vision research and development.",178,3,147,2,0,26,27,5.62962962962963,1,27.0,2,24,2,22,0,17.4,18.69,12.58,18.6,15.26,19.69,0.0,20.5
Political Science,classifier chain,"As a political scientist, I want to use a classifier chain to predict different types of political outcomes, taking into account the interactions between multiple factors, such as public opinion and media coverage, so that I can better understand political dynamics.","As a political scientist, I aim to build a predictive model that utilizes a chain of classifiers to identify and analyze different political outcomes. This model should leverage interactions between various factors, such as public opinion and media coverage, to gain a deeper understanding of political dynamics.",312,3,258,5,0,46,47,5.659574468085107,2,23.5,5,44,1,36,0,16.0,22.24,11.19,17.0,15.21,18.76,0.0,18.75
Social Work,tree algorithms,"As a social worker, I want to use tree algorithms to analyze patient data and identify factors that influence mental health outcomes.","As a social worker, I want to use algorithms to analyze patient data and identify patterns that contribute to the development and progression of mental health issues.",166,2,136,2,0,26,27,5.185185185185185,1,27.0,2,25,1,24,0,15.0,35.61,11.99,16.5,12.65,19.69,0.0,19.5
Demography,decision boundary,"As a demographer, I need to identify the decision boundary for a population segmentation model to analyze demographic trends.","As a demographer, I need to determine the threshold or boundary that separates different demographic segments within a population for a segmentation model to analyze demographic trends.",185,2,155,2,0,26,27,5.888888888888889,1,27.0,2,25,1,23,0,18.5,10.23,12.58,19.8,16.71,21.17,0.0,22.5
Social Networks,part-of-speech,"As a social network researcher, I want to use part-of-speech tagging to analyze messages exchanged between users to identify patterns in communication.","As a social network researcher, I want to use part-of-speech tagging to analyze the content of messages exchanged between users to identify patterns in communication.",166,2,136,4,0,24,25,5.68,1,25.0,4,23,1,23,0,14.2,37.64,12.46,17.8,15.03,14.8,0.0,15.5
