Domain,Machine Learning Task,User Story,par llama2,original_total_characters,llm_total_characters,original_uppercase_characters,llm_uppercase_characters,original_lowercase_characters,llm_lowercase_characters,original_special_characters,llm_special_characters,original_numbers,llm_numbers,original_blanks,llm_blanks,original_number_of_words,llm_number_of_words,original_average_length_of_words,llm_average_length_of_words,original_number_of_propositions,llm_number_of_propositions,original_average_length_of_propositions,llm_average_length_of_propositions,original_punctuation_characters,llm_punctuation_characters,original_lowercase_words,llm_lowercase_words,original_uppercase_words,llm_uppercase_words,original_vocabulary_richness,llm_vocabulary_richness,original_number_of_urls,llm_number_of_urls,original_flesch_kincaid_grade_level,llm_flesch_kincaid_grade_level,original_flesch_reading_ease,llm_flesch_reading_ease,original_dale_chall_readability,llm_dale_chall_readability,original_automated_readability_index,llm_automated_readability_index,original_coleman_liau_index,llm_coleman_liau_index,original_gunning_fog,llm_gunning_fog,original_smog_index,llm_smog_index,original_linsear_write_index,llm_linsear_write_index
Computer Networks,supervised learning,"As a network administrator, I want to use supervised learning to analyze network data and predict network failures or security breaches, so that I can improve network reliability and security.","As a networking professional, I seek to leverage machine learning algorithms to scrutinize network data and foresee potential faults or cyber threats. By doing so, I aim to enhance network dependability and security.",192,216,3,4,157,176,3,4,0,0,29,32,30,33,5.433333333333334,5.575757575757576,1,2,30.0,16.5,3,4,27,29,2,2,24,28,0,0,19.7,12.1,7.19,37.81,10.91,12.59,19.1,13.1,14.23,14.03,18.67,15.08,0.0,0.0,21.0,11.75
Health,data augmentation,"As a healthcare provider, I want to use data augmentation techniques to generate additional training data for machine learning models used in disease diagnosis and treatment outcome prediction, so that the models can be more accurate and generalize better across different patient populations and regions.","As a healthcare provider, I aim to leverage data augmentation strategies to supplement the existing training data for machine learning models employed in disease diagnosis and treatment outcome prediction. By doing so, these models will become more proficient and adaptable across various patient populations and geographic locations.",305,334,2,3,256,281,3,4,0,0,44,46,45,47,5.8,6.127659574468085,1,2,45.0,23.5,3,4,43,44,1,1,40,42,0,0,23.2,16.0,8.88,22.24,12.89,13.2,28.4,19.2,16.84,18.05,25.11,17.91,0.0,0.0,31.5,16.75
Computer Networks,backpropagation,A network engineer is using machine learning to detect anomalies in network traffic. They are training a neural network using backpropagation to improve the accuracy of the anomaly detection model.,"A tech expert is leveraging artificial intelligence to identify unusual patterns in internet data. By utilizing machine learning algorithms like backpropagation, they are enhancing the accuracy of their anomaly detection model to better detect and address potential issues in the network.",197,288,2,2,164,243,2,3,0,0,29,40,30,41,5.6,6.048780487804878,2,2,15.0,20.5,2,3,28,39,1,1,24,38,0,0,12.7,16.0,30.87,16.83,11.22,13.51,12.4,17.3,14.2,17.4,10.0,20.88,0.0,0.0,8.5,16.75
Health,sentence generation,"As a healthcare provider, I want to use sentence generation to automatically generate patient education materials, to improve patient outcomes and standardize documentation.","To enhance patient care and streamline documentation processes, as a healthcare professional, I seek to leverage natural language processing (NLP) techniques to automate the creation of patient education materials. By doing so, I aim to improve patient understanding and adherence to treatment plans, while also promoting consistency in medical records.",173,353,2,7,146,289,3,8,0,0,22,49,23,50,6.565217391304348,6.08,1,2,23.0,25.0,3,8,21,45,1,3,20,42,0,0,19.3,16.6,-2.64,20.72,12.33,12.77,21.0,19.7,20.31,17.35,21.37,20.4,0.0,0.0,18.5,19.0
Economics,reinforcement learning,"As an economist, I want to use reinforcement learning to develop more accurate models of market dynamics and behavior.","As a knowledgeable expert in economics, I aim to leverage reinforcement learning techniques to create advanced models that better capture the intricacies of market behavior and dynamics.",118,186,2,2,96,156,2,2,0,0,18,26,19,27,5.2631578947368425,5.925925925925926,1,1,19.0,27.0,2,2,17,25,1,1,18,26,0,0,13.1,17.4,35.27,18.69,11.23,13.16,12.8,20.0,12.65,16.95,20.23,19.69,0.0,0.0,15.5,19.5
Urban Studies,computational linguistics,"As an urban planner, I want to use computational linguistics to analyze news articles and social media posts to understand how residents feel about proposed changes to the city's transportation infrastructure.","As a planner, I aim to leverage natural language processing techniques to examine news articles and social media updates to gauge how locals feel about potential alterations to the metropolitan area's transportation system.",209,223,2,2,174,186,3,3,0,0,30,32,31,33,5.774193548387097,5.787878787878788,1,1,31.0,33.0,3,3,29,31,1,1,28,30,0,0,17.7,18.5,23.09,21.06,12.81,13.89,21.2,22.3,16.26,16.37,21.43,22.9,0.0,0.0,23.5,24.5
Political Science,latent dirichlet allocation,"As a political scientist, I want to use latent Dirichlet allocation to identify latent topics in political speeches related to foreign policy, so that I can better understand political discourse and identify potential areas of disagreement.","As an expert in political science, I aim to apply Latent Dirichlet Allocation (LDA) to analyze the hidden themes present in political speeches on foreign policy matters, allowing me to gain a deeper comprehension of political rhetoric and pinpoint areas of contention.",240,268,4,8,198,214,3,5,0,0,35,41,36,42,5.694444444444445,5.404761904761905,1,1,36.0,42.0,3,5,32,36,2,2,29,36,0,0,22.1,22.0,1.1,11.93,12.0,13.61,23.4,25.0,15.85,14.29,23.29,22.51,0.0,0.0,30.0,29.0
Sport,classification method,"As a sports analyst, I want to use classification methods to classify different types of player performance, so that I can better predict game outcomes.","As an analytics expert, I aim to employ categorization techniques to differentiate various aspects of athlete performance, allowing me to more accurately forecast the results of games.",152,184,3,2,122,153,3,3,0,0,24,26,25,27,5.12,5.851851851851852,1,1,25.0,27.0,3,3,22,25,2,1,23,24,0,0,14.2,18.5,37.64,10.23,10.56,13.75,15.2,19.6,12.02,16.31,16.4,21.17,0.0,0.0,17.5,20.5
Literature,c4.5 algorithm,"As a literary scholar, I want to use the C4.5 algorithm to analyze patterns in literary texts and identify themes, motifs, and other literary elements.","As an expert in literary analysis, I require a sophisticated tool like the C4.5 algorithm to uncover intricate patterns and themes within literary works. This helps me better understand the underlying structure and meaning of these texts, allowing for more nuanced interpretations and analyses.",151,294,3,4,117,240,5,5,2,2,24,43,25,44,5.08,5.704545454545454,2,3,13.0,15.0,5,5,22,40,2,2,21,40,0,0,9.3,11.4,50.33,39.63,11.84,12.62,8.7,12.8,10.14,14.55,13.0,14.06,0.0,14.1,8.75,11.0
News,factorization method,"As a journalist or news analyst, I want to use factorization methods to analyze news data and identify key factors affecting news coverage and public opinion, so that I can provide better news analysis and insights.","To examine news content and pinpoint influential variables impacting news reporting and public sentiment, a journalist or media analyst might apply factorization techniques. By doing this, they can offer more in-depth news evaluation and understanding.",215,252,3,2,174,211,3,5,0,0,35,34,36,35,5.0,6.228571428571429,1,2,36.0,17.5,3,5,33,33,2,0,29,31,0,0,18.5,14.8,26.48,19.87,11.56,12.63,20.1,16.7,11.85,17.75,23.29,18.43,0.0,0.0,26.0,13.75
Social Media,embedding approach,"As a social media analyst, I want to use an embedding approach to represent user profiles and their interests based on their social media activity and interactions, in order to recommend personalized content and advertisements.","As a social media expert, I seek to utilize an embedding technique to depict user profiles and their preferences through analyzing their social media engagement and connections. This enables me to suggest tailored content and ads, fostering a more satisfying user experience.",227,275,2,3,188,227,3,4,0,0,34,41,35,42,5.514285714285714,5.571428571428571,1,2,35.0,21.0,3,4,33,39,1,1,28,33,0,0,20.5,13.8,10.57,33.24,12.59,12.57,22.0,15.3,14.81,14.5,24.29,16.02,0.0,0.0,26.5,14.5
Cardiology,backpropagation,"A cardiologist is using machine learning to predict the risk of heart disease in patients based on various factors such as age, gender, and lifestyle. They are training a neural network using backpropagation to improve the accuracy of the risk prediction model.","A medical professional is leveraging machine learning techniques to develop a more precise model for assessing an individual's likelihood of experiencing heart disease based on a range of variables, including age, gender, and lifestyle habits. They are utilizing a neural network training method called backpropagation to refine the model's accuracy.",261,350,2,2,214,292,4,7,0,0,41,49,42,50,5.238095238095238,6.02,2,2,21.0,25.0,4,7,40,48,1,1,35,45,0,0,12.7,16.6,41.7,20.72,11.82,14.35,13.8,19.4,12.53,17.12,13.16,19.6,0.0,0.0,13.0,18.5
Nephrology,fully connected layer,"As a nephrologist, I want to use fully connected layers to predict kidney outcomes based on large datasets of patient kidney data, so that I can better diagnose and treat kidney disease.","As a nephrologist, I aim to leverage fully connected layers to forecast kidney outcomes by analyzing vast datasets of patient kidney data. This enables me to more accurately diagnose and treat kidney disease, ultimately improving patient health outcomes.",186,254,3,3,149,210,3,4,0,0,31,37,32,38,4.84375,5.7105263157894735,1,2,32.0,19.0,3,4,29,35,2,1,28,33,0,0,14.6,13.1,47.46,35.27,11.14,12.06,17.4,15.0,10.86,15.26,16.55,14.97,0.0,0.0,19.0,13.0
Movies,multi-class classification,"As a movie producer, I want to use multi-class classification to classify different types of movie genres based on their characteristics and audience appeal, in order to develop more effective marketing and distribution strategies.","As a film producer, I aim to leverage multi-class classification to categorize movies into various genres according to their distinct features and appeal to specific audiences, with the ultimate goal of devising more informed marketing and distribution plans.",231,259,2,2,192,216,4,4,0,0,33,37,34,38,5.823529411764706,5.842105263157895,1,1,34.0,38.0,4,4,32,36,1,1,30,34,0,0,20.1,21.7,11.59,7.53,12.29,13.42,23.0,25.1,16.43,16.6,24.19,26.78,0.0,0.0,28.0,31.0
Linguistics,string kernel,"As a linguist, I want to use string kernel methods to analyze patterns in language data, such as word frequencies and grammatical constructions, and identify common linguistic themes and trends, such as the emergence of new words and language families, in order to develop more accurate models of language acquisition and processing and improve natural language processing systems.","As a linguist, I aim to leverage string kernel techniques to examine patterns within language data, including word frequency and grammatical structures. By identifying recurring themes and trends, such as the evolution of new words and language families, I can refine models of language acquisition and processing, ultimately enhancing natural language processing systems.",381,372,2,4,316,309,6,7,0,0,57,52,58,53,5.586206896551724,6.037735849056604,1,2,58.0,26.5,6,7,56,49,1,2,42,43,0,0,27.1,17.2,4.15,19.2,13.05,12.99,33.9,20.3,15.39,17.29,31.48,20.41,0.0,0.0,42.0,20.25
Pharmacology,multi-class classification,"As a pharmacologist, I want to use multi-class classification to classify different types of drugs based on their molecular and cellular targets, in order to develop more effective drug therapies and improve patient outcomes.","As a pharmacologist, I aim to utilize multi-class classification to categorize various medications according to their molecular and cellular targets. This enables the development of more potent drug treatments and enhances patient outcomes.",225,240,2,3,186,201,4,4,0,0,33,32,34,33,5.647058823529412,6.303030303030303,1,2,34.0,16.5,4,4,32,30,1,1,31,30,0,0,20.1,15.6,11.59,12.43,12.75,13.55,22.2,16.5,15.39,18.27,23.01,17.51,0.0,0.0,27.0,13.25
Computer Networks,reservoir computing,"As a network engineer, I want to use reservoir computing to analyze network data and identify key factors that contribute to network performance and security, so that we can design better network systems.","To optimize network performance and security, as a network engineer, I seek to leverage the power of reservoir computing to analyze network data and isolate crucial elements that influence overall system efficiency and protection. By gaining insight into these key factors, we can create more robust and reliable networks.",204,322,2,3,167,266,3,5,0,0,32,48,33,49,5.212121212121212,5.591836734693878,1,2,33.0,24.5,3,5,31,46,1,1,26,42,0,0,18.5,16.4,21.06,21.23,11.02,12.59,19.6,17.1,13.01,14.86,20.47,17.96,0.0,0.0,23.5,17.75
Sociology,neural gas,"As a sociologist, I want to use neural gas to analyze and classify social data, such as survey responses and interview transcripts, so that I can better understand social structures and social change.","As an analyst, I aim to leverage neural networks to examine and categorize large datasets pertaining to human behavior, such as survey results and transcripts of interviews. By doing so, I hope to gain deeper insights into the intricate patterns and dynamics that underlie social structures and how they evolve over time.",200,321,3,4,161,261,4,5,0,0,32,51,33,52,5.090909090909091,5.1923076923076925,1,2,33.0,26.0,4,5,30,48,2,2,26,44,0,0,17.3,13.4,29.52,45.09,10.54,12.21,19.0,16.0,12.14,12.6,19.26,17.32,0.0,0.0,22.5,17.5
Radiology,policy iteration,"As a radiologist, I want to use policy iteration to optimize patient treatment plans by developing a policy that considers factors such as medical imaging results, patient medical history, and treatment effectiveness.","As a medical professional, I aim to employ policy iteration to enhance patient care by creating an optimal treatment plan that takes into account various factors, including diagnostic imaging findings, a patient's past health records, and the efficacy of potential treatments.",217,276,2,2,180,228,4,6,0,0,31,40,32,41,5.8125,5.7560975609756095,1,1,32.0,41.0,4,6,30,39,1,1,25,39,0,0,21.7,22.8,-3.31,4.48,12.13,14.14,21.9,26.2,16.31,16.15,22.8,27.13,0.0,0.0,27.0,31.5
Linguistics,representation learning,"As a linguist, I want to use representation learning to analyze language data and identify key features that are predictive of language acquisition and usage, so that we can design better language education and translation systems.","As an expert in linguistics, I aim to leverage representation learning techniques to analyze language-related data and identify patterns that are indicative of language acquisition and usage. By gaining a deeper understanding of these patterns, we can develop more effective language education and translation systems.",231,318,2,3,191,266,3,5,0,0,35,44,36,45,5.444444444444445,6.088888888888889,1,2,36.0,22.5,3,5,34,42,1,1,30,40,0,0,19.7,16.8,18.02,14.8,11.56,12.47,22.2,18.5,14.4,17.7,22.18,19.67,0.0,0.0,25.0,17.25
Literature,named entity recognition,"As a literary critic, I want to use named entity recognition to automatically identify and classify literary works and authors mentioned in literary analysis and criticism, so that I can better understand literary trends and analyze the cultural significance of different works.","As a literary scholar, I aim to employ natural language processing techniques, specifically named entity recognition, to automatically identify and categorize literary pieces and creators referred to in academic critiques and analyses. This enables me to gain deeper insights into literary movements and evaluate the cultural relevance of diverse works.",278,353,3,3,231,296,3,5,0,0,41,49,42,50,5.642857142857143,6.08,1,2,42.0,25.0,3,5,39,47,2,1,34,42,0,0,24.4,17.8,-5.0,12.26,12.11,13.72,26.1,19.7,15.91,17.7,27.28,20.4,0.0,0.0,37.0,20.0
Library,neural network,"As a librarian, I want to use neural networks to analyze and predict book demand and popularity, so that I can improve book collection and availability for readers.","As an information professional, I desire to employ sophisticated computing models to evaluate and forecast the appeal and demand of literary works, allowing me to enhance the diversity and accessibility of our catalogue for patrons.",164,232,3,2,131,193,3,3,0,0,27,34,28,35,4.892857142857143,5.6571428571428575,1,1,28.0,35.0,3,3,25,33,2,1,23,29,0,0,15.4,21.7,34.6,2.11,10.66,13.49,15.6,22.7,10.8,15.62,18.34,25.43,0.0,0.0,19.0,27.5
Dermatology,fss-svm,"As a dermatologist, I want to use FSS-SVM to select the most important dermatological features from large datasets of patient skin data, so that I can better diagnose and treat skin conditions.","As a healthcare professional specializing in dermatology, I aim to leverage the power of FSS-SVM to extract and prioritize crucial dermatological information from vast repositories of patient skin data. This enables me to provide more accurate diagnoses and effective treatments for various skin conditions.",193,307,9,9,149,251,4,4,0,0,31,43,32,44,5.0625,6.0,1,2,32.0,22.0,4,4,28,40,3,2,29,39,0,0,15.8,16.6,39.0,15.31,10.16,13.34,18.4,17.8,11.96,17.0,17.8,19.71,0.0,0.0,21.0,17.0
Information Systems,pre-trained language model,"As an information systems analyst, I want to use a pre-trained language model to analyze system logs and user feedback, to identify system performance issues and user behavior patterns, and to use this information to develop more effective system design and troubleshooting strategies.","As an IT professional, I desire to utilize a pre-trained language model to examine system logs and user feedback, in order to uncover any performance problems or recurring patterns in user behavior. By analyzing this data, I can create more efficient system designs and troubleshooting methods.",285,294,2,6,236,237,5,6,0,0,42,45,43,46,5.651162790697675,5.413043478260869,1,2,43.0,23.0,5,6,41,41,1,3,31,39,0,0,22.4,14.6,10.91,31.21,13.48,12.67,26.7,15.6,15.68,13.64,25.57,17.03,0.0,0.0,31.5,16.0
Library,neuromorphic engineering,"As a librarian, I want to explore the use of neuromorphic engineering in developing tools for more efficient cataloging and organization of library materials, so that we can improve access to information and knowledge.","As an information manager, I aim to investigate the application of brain-inspired engineering in creating resources for enhanced cataloging and organization of library materials, which will lead to better accessibility of knowledge and information.",218,248,2,2,180,209,3,4,0,0,33,33,34,34,5.4411764705882355,6.323529411764706,1,1,34.0,34.0,3,4,32,32,1,1,31,30,0,0,20.1,23.6,11.59,-13.8,11.36,11.36,21.2,25.3,14.34,19.33,24.19,24.19,0.0,0.0,26.0,29.0
Sport,conversational understanding,"As a sports organization, I want to use conversational understanding to develop a chatbot that can provide real-time updates on scores, schedules, and player statistics.","As a sports enthusiast, I desire a chatbot that can immediately supply me with the most recent scores, timetables, and player stats. This chatbot should be able to comprehend my queries in a conversational manner, making it simple for me to keep up with my favorite teams and players.",169,284,2,3,138,227,5,6,0,0,24,48,25,49,5.8,4.816326530612245,1,2,25.0,24.5,5,6,23,46,1,1,23,41,0,0,16.6,11.7,20.72,55.07,11.82,9.69,18.4,13.5,15.5,10.22,18.0,13.07,0.0,0.0,18.5,14.25
Pediatrics,stochastic semantic analysis,"As a pediatrician, I want to use stochastic semantic analysis to analyze patterns in child health data and identify common trends in child health outcomes, in order to improve preventive care and early intervention for childhood illnesses.","As a medical professional, I aim to utilize stochastic semantic analysis to examine patterns within health data related to children's well-being. By identifying recurring trends in health outcomes, I can enhance preventative care and timely intervention for illnesses that affect youngsters.",239,291,2,4,198,241,3,6,0,0,36,40,37,41,5.486486486486487,6.121951219512195,1,2,37.0,20.5,3,6,35,37,1,2,30,37,0,0,20.1,16.0,17.0,16.83,11.45,13.51,22.9,17.6,14.69,17.4,24.53,19.91,0.0,0.0,27.5,16.75
Sociology,natural language semantics,"As a sociologist, I want to use natural language semantics to analyze social media posts and other online content, so that I can understand the underlying attitudes and beliefs that shape public opinion on social issues.","As an expert in natural language processing, I aim to employ sophisticated semantic analysis techniques to decipher the latent thoughts and opinions that underlie online discourse, with a particular focus on uncovering the societal attitudes and beliefs that inform public opinion on pressing social issues.",220,307,3,2,179,258,3,3,0,0,35,44,36,45,5.138888888888889,5.844444444444444,1,1,36.0,45.0,3,3,33,43,2,1,31,40,0,0,19.7,24.4,18.02,0.42,11.56,14.99,20.8,28.6,12.66,17.13,21.07,27.78,0.0,0.0,25.0,33.5
Music,feature sets,"As a musician, I want to use feature sets to group music data by genre and rhythm, so that I can better understand musical trends and inform my own compositions.","As an artist, you aim to categorize musical pieces according to their style and beat for a deeper comprehension of the art form's evolution and creative inspiration.",161,165,3,1,126,135,3,3,0,0,29,26,30,27,4.4,5.148148148148148,1,1,30.0,27.0,3,3,27,26,2,0,27,25,0,0,13.8,13.8,49.49,44.07,10.39,11.41,14.3,16.3,8.25,12.25,16.0,19.69,0.0,0.0,19.0,19.5
Nephrology,perceptron,"As a nephrologist, I want to use perceptron to classify kidney disease based on patient health data to inform treatment plans and predict disease progression.","As an expert in nephrology, I aim to leverage machine learning algorithms, specifically the perceptron model, to analyze health data from patients and accurately identify patterns that can help me develop personalized treatment plans and forecast the progression of kidney diseases.",158,282,2,2,130,236,2,4,0,0,24,40,25,41,5.36,5.902439024390244,1,1,25.0,41.0,2,4,23,39,1,1,22,38,0,0,13.0,22.8,46.1,4.48,13.09,14.14,16.3,26.9,13.64,17.25,16.4,26.16,0.0,0.0,16.5,30.5
Demography,novelty detection,"As a demographer, I want to use novelty detection to identify new demographic trends and patterns, so that we can better understand the dynamics of population change.","As a demographer, I aim to employ novelty detection techniques to uncover emerging demographic shifts and patterns, allowing us to improve our comprehension of population changes and their underlying dynamics.",166,209,2,2,135,175,3,3,0,0,26,29,27,30,5.185185185185185,6.0,1,1,27.0,30.0,3,3,25,28,1,1,26,27,0,0,16.2,19.7,27.15,7.19,10.24,13.55,16.5,21.8,12.42,17.53,21.17,25.33,0.0,0.0,21.5,25.0
Urban Studies,n-grams,"As an urban planner, I want to use n-grams to analyze patterns in urban development and land use, so that I can better understand how cities evolve over time and make recommendations for sustainable urban planning.","As an urban planner, I seek to employ language models (n-grams) to identify patterns in the growth and use of cities over time, allowing me to provide informed recommendations for sustainable urban planning.",214,207,3,2,172,167,4,6,0,0,35,32,36,33,4.972222222222222,5.303030303030303,1,1,36.0,33.0,4,6,33,31,2,1,31,30,0,0,17.3,16.2,34.94,37.98,10.69,12.93,20.0,20.0,11.5,13.01,18.84,18.05,0.0,0.0,23.0,20.5
Pharmacology,classification method,"As a pharmacologist, I want to use classification methods to classify different types of drugs and their effects, so that I can develop targeted treatment plans.","As a pharmacologist, I aim to employ classification techniques to group various medications and their consequences. By doing so, I can create customized treatment plans tailored to individual patients' needs.",161,208,3,4,130,170,3,5,0,0,25,29,26,30,5.230769230769231,5.966666666666667,1,2,26.0,15.0,3,5,23,26,2,2,24,27,0,0,14.6,12.7,36.63,30.87,11.61,12.8,16.2,14.2,12.71,15.77,18.09,15.33,0.0,0.0,19.0,11.0
Literature,unsupervised clustering,"As a literary critic, I want to use unsupervised clustering to identify groups of literary works with similar themes and study their relationship to patterns of literary analysis and interpretation.","As an expert in literature, I aim to utilize unsupervised clustering techniques to uncover hidden patterns and groupings within a collection of literary works. By analyzing these clusters, I hope to gain insights into the recurring themes and motifs that emerge across different texts, and explore how they relate to existing frameworks of literary analysis and interpretation.",198,377,2,4,165,312,2,5,0,0,29,56,30,57,5.633333333333334,5.631578947368421,1,2,30.0,28.5,2,5,28,53,1,2,24,48,0,0,18.5,16.8,15.65,25.63,11.97,12.53,20.1,19.3,15.62,15.15,22.67,19.12,0.0,0.0,25.0,20.75
