Domain,Machine Learning Task,User Story,par llama3,llm_total_characters,llm_uppercase_characters,llm_lowercase_characters,llm_special_characters,llm_numbers,llm_blanks,llm_number_of_words,llm_average_length_of_words,llm_number_of_propositions,llm_average_length_of_propositions,llm_punctuation_characters,llm_lowercase_words,llm_uppercase_words,llm_vocabulary_richness,llm_number_of_urls,llm_flesch_kincaid_grade_level,llm_flesch_reading_ease,llm_dale_chall_readability,llm_automated_readability_index,llm_coleman_liau_index,llm_gunning_fog,llm_smog_index,llm_linsear_write_index
Social Media,embedding approach,"As a social media analyst, I want to use an embedding approach to represent user profiles and their interests based on their social media activity and interactions, in order to recommend personalized content and advertisements.","""As a social media analyst, I want to leverage user behavior data from social media platforms to create unique profile representations that reflect individual users' preferences and inclinations, enabling me to suggest tailored content and ads for each user.""",259,2,213,6,0,38,39,5.666666666666667,2,20.0,6,37,1,34,0,20.9,14.97,14.48,24.8,15.27,21.75,0.0,25.5
Cardiology,backpropagation,"A cardiologist is using machine learning to predict the risk of heart disease in patients based on various factors such as age, gender, and lifestyle. They are training a neural network using backpropagation to improve the accuracy of the risk prediction model.","""A medical expert is applying AI techniques to forecast the likelihood of cardiovascular disease in individuals by analyzing key indicators like age, sex, and personal habits. The goal is to refine a predictive model using an iterative learning approach.""",255,4,207,6,0,38,39,5.564102564102564,3,13.333333333333334,6,36,2,36,0,14.4,26.3,13.51,14.5,14.1,18.06,0.0,14.75
Nephrology,fully connected layer,"As a nephrologist, I want to use fully connected layers to predict kidney outcomes based on large datasets of patient kidney data, so that I can better diagnose and treat kidney disease.","As a nephrologist, I need a predictive model using neural networks to analyze vast amounts of patient kidney data, enabling more accurate diagnoses and effective treatments for kidney diseases.",193,2,160,3,0,28,29,5.689655172413793,1,29.0,3,27,1,27,0,17.0,25.12,14.88,19.9,15.73,19.88,0.0,20.5
Movies,multi-class classification,"As a movie producer, I want to use multi-class classification to classify different types of movie genres based on their characteristics and audience appeal, in order to develop more effective marketing and distribution strategies.","As a film producer, I need a way to categorize movies into distinct groups based on their features and audience appeal, so that I can create targeted promotional plans and delivery tactics for each genre.",204,3,164,3,0,34,35,4.857142857142857,1,35.0,3,32,2,32,0,16.9,35.95,12.14,19.0,10.98,20.86,0.0,23.5
Linguistics,string kernel,"As a linguist, I want to use string kernel methods to analyze patterns in language data, such as word frequencies and grammatical constructions, and identify common linguistic themes and trends, such as the emergence of new words and language families, in order to develop more accurate models of language acquisition and processing and improve natural language processing systems.","As a linguist, I want to apply string kernel methods to uncover patterns and relationships within linguistic data, including word frequencies and grammatical structures, to identify recurring themes and trends that can inform more precise models of language learning and processing, ultimately enhancing natural language understanding.",335,2,283,5,0,45,46,6.304347826086956,1,46.0,5,44,1,40,0,26.0,-9.06,15.19,31.2,19.57,29.7,0.0,36.0
Pharmacology,multi-class classification,"As a pharmacologist, I want to use multi-class classification to classify different types of drugs based on their molecular and cellular targets, in order to develop more effective drug therapies and improve patient outcomes.","As a pharmacologist, I want to apply multiple-class classification techniques to categorize various medications based on their biological receptors and mechanisms, with the goal of creating more targeted treatments and enhancing patient well-being.",248,2,209,5,0,32,33,6.545454545454546,1,33.0,5,31,1,31,0,23.2,-12.79,13.41,25.9,20.37,27.75,0.0,29.5
Computer Networks,reservoir computing,"As a network engineer, I want to use reservoir computing to analyze network data and identify key factors that contribute to network performance and security, so that we can design better network systems.","As a network engineer, I need to apply reservoir computing to network data analysis in order to uncover influential variables impacting network reliability and security, thus enabling us to create more effective network architectures.",234,2,196,3,0,33,34,5.911764705882353,1,34.0,3,32,1,28,0,22.5,-5.34,13.22,23.4,17.07,24.19,0.0,27.0
Sociology,neural gas,"As a sociologist, I want to use neural gas to analyze and classify social data, such as survey responses and interview transcripts, so that I can better understand social structures and social change.","As a researcher, I need a tool to process and categorize social information like surveys and interviews, allowing me to gain insights into societal patterns and transformations.",177,2,146,3,0,26,27,5.592592592592593,1,27.0,3,25,1,23,0,16.2,27.15,11.99,18.4,14.8,19.69,0.0,19.5
Radiology,policy iteration,"As a radiologist, I want to use policy iteration to optimize patient treatment plans by developing a policy that considers factors such as medical imaging results, patient medical history, and treatment effectiveness.","As a radiologist, I need a decision-making tool to improve patient care by creating a personalized treatment plan that takes into account relevant medical information and treatment outcomes.",190,2,158,3,0,27,28,5.821428571428571,1,28.0,3,26,1,25,0,18.9,9.22,11.23,20.0,16.13,21.2,0.0,21.0
Linguistics,representation learning,"As a linguist, I want to use representation learning to analyze language data and identify key features that are predictive of language acquisition and usage, so that we can design better language education and translation systems.","""As a linguist, I aim to leverage representation learning for analyzing linguistic patterns and pinpointing crucial indicators of language development and application, ultimately informing the creation of more effective language instruction and translation tools.""",264,2,224,5,0,33,34,6.794117647058823,2,17.5,5,32,1,30,0,22.5,-5.34,14.15,27.6,21.88,27.72,0.0,29.0
Literature,named entity recognition,"As a literary critic, I want to use named entity recognition to automatically identify and classify literary works and authors mentioned in literary analysis and criticism, so that I can better understand literary trends and analyze the cultural significance of different works.","""I'm a literary expert seeking to leverage AI-powered text analysis to quickly extract and categorize mentions of books and writers from critical reviews and essays. This will enable me to grasp shifting literary themes and evaluate the cultural impact of various works.""",271,4,220,6,0,41,42,5.476190476190476,3,14.333333333333334,6,39,0,35,0,12.7,41.7,14.08,14.9,13.63,15.07,0.0,14.5
Library,neural network,"As a librarian, I want to use neural networks to analyze and predict book demand and popularity, so that I can improve book collection and availability for readers.","I want to leverage AI-driven insights to forecast book trends and optimize library collections, ensuring the right books are readily available to meet reader interests.",168,3,138,3,0,24,25,5.76,1,25.0,3,23,1,23,0,14.2,37.64,12.46,18.2,15.73,18.0,0.0,17.5
Dermatology,fss-svm,"As a dermatologist, I want to use FSS-SVM to select the most important dermatological features from large datasets of patient skin data, so that I can better diagnose and treat skin conditions.","""As a dermatologist, I need a reliable method to identify key factors in patient skin data, enabling me to make more accurate diagnoses and develop effective treatment plans.""",175,2,141,5,0,27,28,5.285714285714286,2,14.5,5,26,1,26,0,16.6,26.14,12.92,17.5,12.65,21.2,0.0,21.0
Information Systems,pre-trained language model,"As an information systems analyst, I want to use a pre-trained language model to analyze system logs and user feedback, to identify system performance issues and user behavior patterns, and to use this information to develop more effective system design and troubleshooting strategies.","As a systems expert, I aim to leverage AI-driven insights from pre-trained language models to dissect log data and user opinions, pinpointing system glitches and user behaviors, then apply these findings to craft more efficient system designs and debugging approaches.",268,4,219,6,0,39,40,5.725,1,40.0,6,37,1,34,0,20.1,22.42,14.7,25.6,15.68,21.0,0.0,25.0
Library,neuromorphic engineering,"As a librarian, I want to explore the use of neuromorphic engineering in developing tools for more efficient cataloging and organization of library materials, so that we can improve access to information and knowledge.","As a librarian, I'd like to leverage neuromorphic technology to enhance our cataloging and organizing processes, thereby facilitating easier discovery and access to library resources.",183,2,153,4,0,24,25,6.36,1,25.0,4,23,0,22,0,20.1,-4.67,13.72,21.0,18.98,24.4,0.0,21.5
Sport,conversational understanding,"As a sports organization, I want to use conversational understanding to develop a chatbot that can provide real-time updates on scores, schedules, and player statistics.","As a sports organization, we need a chatbot capable of understanding natural language to deliver live score reports, schedule information, and detailed player stats in real-time.",178,1,147,5,0,25,26,5.884615384615385,1,26.0,5,25,0,25,0,17.0,19.71,12.21,19.3,16.02,19.63,0.0,20.0
Pediatrics,stochastic semantic analysis,"As a pediatrician, I want to use stochastic semantic analysis to analyze patterns in child health data and identify common trends in child health outcomes, in order to improve preventive care and early intervention for childhood illnesses.","As a pediatrician, I aim to leverage advanced statistical techniques to uncover hidden insights in child health data, pinpointing recurring patterns that inform proactive measures and swift interventions for better managing childhood diseases.",243,2,206,3,0,32,33,6.393939393939394,1,33.0,3,31,1,32,0,19.7,12.6,13.41,25.2,19.85,21.68,0.0,23.5
Sociology,natural language semantics,"As a sociologist, I want to use natural language semantics to analyze social media posts and other online content, so that I can understand the underlying attitudes and beliefs that shape public opinion on social issues.","As a researcher, I need to leverage linguistic analysis techniques to study online discourse and uncover hidden sentiments and convictions influencing public opinions on various social topics.",192,2,162,2,0,26,27,6.148148148148148,1,27.0,2,25,1,25,0,17.4,18.69,13.75,21.0,18.22,21.17,0.0,20.5
Music,feature sets,"As a musician, I want to use feature sets to group music data by genre and rhythm, so that I can better understand musical trends and inform my own compositions.","As a musician, I want to categorize music data using feature sets, grouping it by genre and rhythm, to gain insights into popular styles and rhythms, which will help me create new music that resonates with audiences.",216,2,173,5,0,36,37,4.864864864864865,1,37.0,5,35,1,34,0,16.5,42.38,12.3,20.0,10.75,19.12,0.0,22.5
Nephrology,perceptron,"As a nephrologist, I want to use perceptron to classify kidney disease based on patient health data to inform treatment plans and predict disease progression.","""As a medical specialist, I need a machine learning tool to analyze patient health information and categorize individuals with kidney disease for optimal treatment planning and predicting future outcomes.""",205,2,171,4,0,28,29,6.103448275862069,2,15.0,4,27,1,27,0,19.3,8.2,13.79,21.8,17.94,22.63,0.0,22.5
Demography,novelty detection,"As a demographer, I want to use novelty detection to identify new demographic trends and patterns, so that we can better understand the dynamics of population change.","As a demographer, I need to leverage novelty detection tools to uncover emerging demographic insights and patterns, in order to gain a deeper understanding of how populations evolve over time.",192,2,158,3,0,29,30,5.433333333333334,1,30.0,3,28,1,27,0,17.4,24.11,12.49,19.1,14.23,21.33,0.0,22.0
Urban Studies,n-grams,"As an urban planner, I want to use n-grams to analyze patterns in urban development and land use, so that I can better understand how cities evolve over time and make recommendations for sustainable urban planning.","As an urban planner, I need to uncover hidden trends in city growth and land usage using n-gram analysis, enabling me to grasp urban evolution and provide informed suggestions for eco-friendly urban development.",211,2,172,5,0,32,33,5.424242424242424,1,33.0,5,31,1,29,0,17.3,29.52,13.89,20.6,13.88,19.26,0.0,21.5
Pharmacology,classification method,"As a pharmacologist, I want to use classification methods to classify different types of drugs and their effects, so that I can develop targeted treatment plans.","As a pharmacologist, I need to categorize medications based on their characteristics and outcomes to create personalized therapy strategies.",140,2,118,2,0,18,19,6.421052631578948,1,19.0,2,17,1,18,0,17.8,1.43,12.89,18.3,19.38,20.23,0.0,15.5
Literature,unsupervised clustering,"As a literary critic, I want to use unsupervised clustering to identify groups of literary works with similar themes and study their relationship to patterns of literary analysis and interpretation.","""As a literary expert, I'd like to apply machine learning techniques to categorize literary pieces based on shared themes and analyze how these categories relate to prevailing literary analysis trends.""",202,2,166,5,0,29,30,5.766666666666667,2,15.5,5,28,0,26,0,17.4,24.11,13.55,20.7,15.79,20.0,0.0,23.0
Medicine,liquid state machine,"As a medical researcher, I want to use liquid state machines to analyze and predict the efficacy of drugs and treatments based on various factors, such as dosage, patient demographics, and disease progression, allowing for better decisions about drug development and clinical trials.","As a medical researcher, I want to employ liquid state machine technology to inform and forecast the effectiveness of medications and therapies by considering key variables like dosage, individual characteristics, and treatment outcomes, thereby enabling more informed choices regarding new medication development and trial design.",331,2,280,5,0,44,45,6.377777777777778,1,45.0,5,43,1,41,0,25.6,-8.05,14.99,31.1,19.97,27.78,0.0,33.5
Social Media,explicit semantic analysis,"As a social media analyst, I want to use explicit semantic analysis to identify sentiment and trends on social media platforms, so that I can improve social media engagement and better understand user behavior.","""I'd like to leverage advanced analytics to extract meaningful insights from social media conversations, allowing me to optimize social media interactions and gain a deeper understanding of audience sentiments and behaviors.""",225,1,189,5,0,30,31,6.290322580645161,2,16.0,5,30,0,26,0,21.3,-2.3,13.83,23.7,18.87,25.3,0.0,25.5
Cardiology,elman network,"As a cardiologist, I want to use Elman networks to predict which patients are most at risk of developing heart disease based on their medical history, lifestyle factors, and genetic information. I also want to use Elman networks to model the progression of heart disease and predict the effectiveness of different treatments.","As a cardiologist, I need a predictive tool that uses neural networks to analyze patient data (medical history, lifestyle, and genetics) to identify high-risk individuals for heart disease development and simulate treatment outcomes to inform optimal care plans.",262,2,216,7,0,37,38,5.921052631578948,1,38.0,7,36,1,34,0,22.8,-0.94,14.66,25.5,16.6,25.73,0.0,30.0
Transportation,computational linguistics,"As a transportation analyst, I want to use computational linguistics to analyze social media data and understand how people are discussing transportation issues in different regions.","As a transportation expert, I aim to leverage linguistic analysis tools to decipher online conversations about transportation topics across various geographic areas, gaining insights into regional perspectives and concerns.",223,2,190,3,0,28,29,6.724137931034483,1,29.0,3,27,1,27,0,20.5,-0.27,14.88,24.7,21.71,24.01,0.0,24.5
Radiology,supervised deep networks,"As a radiologist, I want to use supervised deep networks to detect and classify anomalies in medical images such as tumors and fractures.","As a radiologist, I need a reliable AI tool that uses machine learning algorithms to identify and categorize unusual features in medical scans, specifically tumors and bone breaks.",180,4,146,3,0,27,28,5.464285714285714,1,28.0,3,25,2,26,0,17.8,17.68,13.48,18.3,14.1,22.63,0.0,22.0
Economics,elbot,"As an economist, I want to use Elbot to analyze and forecast economic trends and outcomes, in order to inform economic policy decisions.","As an economist, I need to leverage Elbot's capabilities to examine and predict economic patterns and results, ensuring that my insights guide policymakers' decisions effectively.",179,3,147,5,0,24,25,6.2,1,25.0,5,22,1,23,0,18.9,3.8,13.72,20.3,17.82,22.8,0.0,20.5
Sociology,lifelong machine learning,"As a sociologist, I want to use lifelong machine learning to continuously improve my sociological models and theories and adapt them to changing social trends and patterns, in order to provide more accurate and insightful analysis of social phenomena and trends for use in social science research and other applications.","As a sociologist, I want to leverage lifelong machine learning to refine my understanding of social dynamics and adapt my theories to evolving societal patterns, ensuring that my analysis remains accurate and insightful for informing social science research and beyond.",269,2,225,3,0,39,40,5.75,1,40.0,3,38,1,33,0,22.4,5.5,14.31,25.7,16.26,26.0,0.0,30.0
Transportation,cnn,"As a transportation engineer, I want to use CNNs to classify different types of traffic patterns based on traffic camera footage, so that I can better understand traffic flows and develop targeted traffic management strategies.","As a traffic expert, I'd like to leverage deep learning techniques to identify various traffic scenarios from video feed, enabling me to improve my understanding of traffic dynamics and create more effective traffic control plans.",230,2,190,4,0,34,35,5.6,1,35.0,4,33,0,30,0,18.1,27.49,12.59,22.4,15.15,20.86,0.0,23.5
Biology,speech synthesis,"A team of bioacoustics researchers is using speech synthesis technology to study the vocalizations of non-human animals, such as birds and whales. The machine learning algorithms are trained to synthesize animal sounds, allowing the researchers to better understand the acoustic communication systems of different species.","Researchers use AI-powered speech generation to analyze animal vocalizations, mimicking bird and whale calls to decipher species-specific communication methods.",160,3,135,4,0,18,19,7.473684210526316,1,19.0,4,17,0,18,0,17.8,1.43,15.38,23.3,24.83,22.34,0.0,17.5
Psychology,pattern recognition,"As a psychologist, I want to use pattern recognition to identify patterns in patient behavior data and predict patient outcomes to inform treatment plans.","""As a psychologist, I need to analyze behavioral data and detect recurring trends to forecast outcome probabilities, enabling me to develop more effective treatment strategies.""",177,2,146,5,0,24,25,6.12,2,13.0,5,23,1,23,0,17.8,12.26,14.35,19.9,17.35,21.2,0.0,19.5
Social Media,tokenization,"As a social media marketer, I want to tokenize user comments to understand sentiment towards a product.","As a social media marketer, I need to analyze customer opinions expressed in comments about our products to gauge their emotional tone and make informed decisions.",163,2,134,2,0,25,26,5.3076923076923075,1,26.0,2,24,1,25,0,13.4,45.09,12.21,16.6,13.35,15.02,0.0,16.0
Political Science,feature extraction,"As a political scientist, I want to use feature extraction to identify and extract meaningful features from political data, such as voting patterns and political affiliation, so that we can better understand and analyze political systems.","As a political scientist, I'd like to leverage feature extraction techniques to distill insights from political datasets, including voting behaviors and affiliations, to enhance our comprehension and analysis of political structures.",233,2,196,5,0,30,31,6.548387096774194,1,31.0,5,29,0,26,0,21.3,-2.3,13.83,24.9,20.37,22.72,0.0,25.5
Library,multinomial logistic regression,"As a librarian, I want to use multinomial logistic regression to predict user preferences and needs based on library usage data and user characteristics to enhance access and discovery for library users.","As a librarian, I need a predictive model that combines library usage patterns with user information to better understand and meet the unique needs of patrons, ensuring seamless access and discovery of relevant resources.",221,2,183,3,0,33,34,5.529411764705882,1,34.0,3,32,1,31,0,18.9,20.05,13.22,21.6,14.86,20.66,0.0,24.0
Social Networks,recurrent network,"As a social network, I want to use a recurrent network to predict user connections and social network dynamics, based on historical data and social network interactions, so that I can improve the social network experience for my users.","""As a social network, I need to leverage historical data and interaction patterns to forecast relationships and social behaviors using recurrent networks, enabling me to enhance the overall user experience.""",207,2,171,5,0,29,30,5.933333333333334,2,15.5,5,28,1,26,0,19.7,7.19,14.6,21.5,16.78,20.0,0.0,21.0
Movies,keyword spotting,"As a movie producer, I want to use keyword spotting to identify specific themes and elements in movie scripts, so that I can develop more engaging and successful movies.","As a movie producer, I need a tool to automatically detect key concepts and motifs in script content, enabling me to create more captivating films.",147,2,118,3,0,24,25,4.92,1,25.0,3,23,1,23,0,13.0,46.1,11.82,14.2,10.86,14.8,0.0,15.5
Movies,dependency parsing,"As a film analyst, I want to use dependency parsing to analyze movie scripts and identify narrative patterns.","""As a film expert, I need to apply linguistic techniques like dependency parsing to explore the structure of movie scripts and uncover underlying storytelling trends.""",167,2,137,4,0,24,25,5.72,2,13.0,4,23,1,24,0,14.2,37.64,13.09,18.0,15.26,18.0,0.0,17.5
Literature,representation learning,"As a literary scholar, I want to use representation learning to analyze literary data and identify key features that are predictive of literary success, so that we can design better literary analysis tools and publishing strategies.","""As a literary expert, I aim to leverage representation learning to uncover patterns in literary datasets, pinpointing crucial characteristics that forecast future success, thereby enabling the creation of more effective literary analysis tools and informed publishing decisions.""",280,2,236,6,0,36,37,6.594594594594595,2,19.0,6,35,1,34,0,22.4,0.08,15.29,28.1,20.61,24.53,0.0,29.5
Computer Vision,text mining,"As a computer vision researcher, I want to mine image data to analyze image content and context to inform computer vision research and application.","""As a computer vision expert, I aim to extract insights from images to enhance my understanding of visual data and its relevance to advancing computer vision theories and real-world applications.""",196,2,160,5,0,29,30,5.566666666666666,2,15.5,5,28,1,25,0,18.5,15.65,12.49,19.8,14.63,20.0,0.0,23.0
Political Science,classifier chain,"As a political scientist, I want to use a classifier chain to predict different types of political outcomes, taking into account the interactions between multiple factors, such as public opinion and media coverage, so that I can better understand political dynamics.","""As a political scientist, I need to develop an analytical tool that combines the effects of various influencing factors, like public sentiment and media portrayal, to forecast diverse political outcomes, thereby gaining insight into complex political phenomena.""",263,2,218,7,0,36,37,6.135135135135135,2,19.0,7,35,1,34,0,23.6,-8.39,14.01,26.0,17.82,24.53,0.0,29.5
Social Work,tree algorithms,"As a social worker, I want to use tree algorithms to analyze patient data and identify factors that influence mental health outcomes.","As a social worker, I want to leverage tree-based analysis techniques to uncover key drivers of mental health outcome variability in patient data, so I can inform more effective treatment plans.",194,3,157,4,0,30,31,5.290322580645161,1,31.0,4,28,2,29,0,16.6,31.55,13.32,19.0,13.24,17.56,0.0,19.5
Demography,decision boundary,"As a demographer, I need to identify the decision boundary for a population segmentation model to analyze demographic trends.","As a demographer, I require determining the threshold point in a population segmentation model that helps me understand the demographic patterns and make informed decisions about future trends.",193,2,162,2,0,27,28,5.928571428571429,1,28.0,2,26,1,26,0,17.8,17.68,12.92,20.5,17.0,19.77,0.0,21.0
Social Networks,part-of-speech,"As a social network researcher, I want to use part-of-speech tagging to analyze messages exchanged between users to identify patterns in communication.","As a researcher, I aim to apply linguistic analysis to user interactions to uncover underlying communication trends.",116,2,96,2,0,16,17,5.882352941176471,1,17.0,2,15,1,15,0,15.8,11.92,13.77,14.8,15.83,20.92,0.0,14.5
