Domain,Machine Learning Task,User Story,par mistral,llm_total_characters,llm_uppercase_characters,llm_lowercase_characters,llm_special_characters,llm_numbers,llm_blanks,llm_number_of_words,llm_average_length_of_words,llm_number_of_propositions,llm_average_length_of_propositions,llm_punctuation_characters,llm_lowercase_words,llm_uppercase_words,llm_vocabulary_richness,llm_number_of_urls,llm_flesch_kincaid_grade_level,llm_flesch_reading_ease,llm_dale_chall_readability,llm_automated_readability_index,llm_coleman_liau_index,llm_gunning_fog,llm_smog_index,llm_linsear_write_index
Sport,classification method,"As a sports analyst, I want to use classification methods to classify different types of player performance, so that I can better predict game outcomes.","As a sports expert, I desire to apply categorization techniques for distinguishing various levels of player efficiency, enabling me to make more accurate predictions about match results.",186,2,155,3,0,26,27,5.925925925925926,1,27.0,3,25,1,26,0,17.4,18.69,12.58,20.0,16.71,19.69,0.0,19.5
Literature,c4.5 algorithm,"As a literary scholar, I want to use the C4.5 algorithm to analyze patterns in literary texts and identify themes, motifs, and other literary elements.","As an academic specializing in literature, I seek to employ the C4.5 method for discerning recurring patterns within written works of literature, with the goal of discovering underlying themes, motifs, and other literary components.",232,3,188,6,2,33,34,5.852941176470588,2,17.5,6,31,2,31,0,13.5,28.84,12.84,14.6,15.37,17.39,0.0,13.5
News,factorization method,"As a journalist or news analyst, I want to use factorization methods to analyze news data and identify key factors affecting news coverage and public opinion, so that I can provide better news analysis and insights.","As a media professional or opinion researcher, I wish to employ factor analysis techniques on news data in order to discover significant elements influencing news content and the general public's viewpoints. This will enable me to offer more accurate and insightful news analysis and interpretations.",300,3,249,4,0,44,45,5.688888888888889,2,22.5,4,42,1,38,0,15.6,23.26,11.42,16.6,15.5,16.11,0.0,16.75
Social Media,embedding approach,"As a social media analyst, I want to use an embedding approach to represent user profiles and their interests based on their social media activity and interactions, in order to recommend personalized content and advertisements.","As a social media profile analyzer, I need the ability to employ an embedding technique to construct user profiles and their preferences derived from their social media behavior and interactions. This will enable me to suggest tailored content and ads accordingly.",264,3,218,3,0,40,41,5.463414634146342,2,20.5,3,38,1,34,0,13.6,33.75,12.74,14.5,13.98,15.03,0.0,13.75
Cardiology,backpropagation,"A cardiologist is using machine learning to predict the risk of heart disease in patients based on various factors such as age, gender, and lifestyle. They are training a neural network using backpropagation to improve the accuracy of the risk prediction model.","A medical professional specializing in heart conditions is employing machine learning techniques to estimate the likelihood of heart disease in patients, considering aspects like age, sex, and habits. The expert is refining a neural network by implementing backpropagation for better precision in the risk assessment model.",323,2,271,5,0,45,46,6.043478260869565,2,23.0,5,44,1,39,0,15.8,22.75,13.36,18.5,17.41,20.5,0.0,18.0
Nephrology,fully connected layer,"As a nephrologist, I want to use fully connected layers to predict kidney outcomes based on large datasets of patient kidney data, so that I can better diagnose and treat kidney disease.","As a kidney specialist (nephrologist), it is essential for me to utilize fully-connected neural network layers to forecast kidney outcomes by examining extensive databases of patient kidney details. This will empower me to make more accurate diagnoses and provide effective treatment plans for kidney diseases.",310,2,258,6,0,44,45,5.911111111111111,2,22.5,6,43,0,38,0,15.6,23.26,13.17,17.7,16.54,17.89,0.0,16.25
Movies,multi-class classification,"As a movie producer, I want to use multi-class classification to classify different types of movie genres based on their characteristics and audience appeal, in order to develop more effective marketing and distribution strategies.","As a film studio executive, I desire to utilize multi-class categorization to distinguish various movie genre categories based on their distinctive features and audience appeal, aiming to create more targeted marketing and distribution tactics for improved success.",265,2,223,4,0,36,37,6.1891891891891895,1,37.0,4,35,1,34,0,22.4,0.08,14.86,26.2,18.58,25.61,0.0,29.5
Linguistics,string kernel,"As a linguist, I want to use string kernel methods to analyze patterns in language data, such as word frequencies and grammatical constructions, and identify common linguistic themes and trends, such as the emergence of new words and language families, in order to develop more accurate models of language acquisition and processing and improve natural language processing systems.","As a language specialist, I aim to employ string kernel techniques for investigating patterns within linguistic data sets, including word usage statistics and syntactic structures. My goal is to detect recurring linguistic motifs and tendencies, such as the appearance of novel words or linguistic groups, with the purpose of creating more precise models of language learning and processing, thereby enhancing the performance of natural language processing tools.",463,3,387,7,0,66,67,5.925373134328358,2,33.5,7,64,1,54,0,18.7,20.55,13.31,23.3,17.07,21.76,0.0,25.25
Pharmacology,multi-class classification,"As a pharmacologist, I want to use multi-class classification to classify different types of drugs based on their molecular and cellular targets, in order to develop more effective drug therapies and improve patient outcomes.","As a specialist in pharmaceuticals, I aim to utilize multi-category classification techniques for identifying and categorizing diverse categories of medications according to their molecular and cellular impact points. This will facilitate the creation of more efficient drug treatments and enhance patient health outcomes.",322,3,273,4,0,42,43,6.511627906976744,2,21.5,4,40,1,39,0,17.6,7.35,13.88,20.0,19.96,20.69,0.0,17.25
Computer Networks,reservoir computing,"As a network engineer, I want to use reservoir computing to analyze network data and identify key factors that contribute to network performance and security, so that we can design better network systems.","As a network specialist, I aim to employ Reservoir Computing techniques to evaluate network information and pinpoint critical variables impacting network efficiency and security, enabling us to develop more efficient network architectures in the future.",253,4,212,3,0,34,35,6.257142857142857,1,35.0,3,31,1,29,0,22.8,-6.36,13.94,25.6,19.1,26.57,0.0,28.5
Sociology,neural gas,"As a sociologist, I want to use neural gas to analyze and classify social data, such as survey responses and interview transcripts, so that I can better understand social structures and social change.","As a researcher in sociology, I wish to employ Neural Gas method for the categorization and examination of social data, including survey results and interview transcripts. This will aid me in gaining deeper insights into societal frameworks and the dynamics of societal evolution.",280,5,229,4,0,42,43,5.534883720930233,2,21.5,4,38,1,37,0,15.2,24.27,12.41,15.4,14.27,16.04,0.0,15.25
Radiology,policy iteration,"As a radiologist, I want to use policy iteration to optimize patient treatment plans by developing a policy that considers factors such as medical imaging results, patient medical history, and treatment effectiveness.","As a medical professional specializing in radiology, I desire to leverage policy iteration for the purpose of enhancing patient care by creating an optimal treatment strategy. This strategy will take into account variables like diagnostic images, past patient health records, and the efficacy of potential treatments.",317,3,264,5,0,45,46,5.913043478260869,2,23.0,5,43,1,43,0,17.0,14.29,11.99,17.9,16.66,20.5,0.0,18.5
Linguistics,representation learning,"As a linguist, I want to use representation learning to analyze language data and identify key features that are predictive of language acquisition and usage, so that we can design better language education and translation systems.","As a language expert, my goal is to leverage representation learning for the examination of language-related data in order to detect significant traits that may influence language learning and use. This will enable us to develop more effective language teaching tools and translation services.",293,2,244,4,0,43,44,5.681818181818182,2,22.0,4,42,0,38,0,14.2,32.22,11.19,16.3,15.14,16.07,0.0,15.0
Literature,named entity recognition,"As a literary critic, I want to use named entity recognition to automatically identify and classify literary works and authors mentioned in literary analysis and criticism, so that I can better understand literary trends and analyze the cultural significance of different works.","As an analyst of literature, I desire to employ Named Entity Recognition (NER) technology for the purpose of automatically recognizing and categorizing literary compositions and their authors within literary critiques and analysis. This tool will aid me in comprehending the evolution of literary styles, patterns, and trends, as well as allowing me to assess the cultural impact of various works more accurately.",413,9,335,8,0,61,62,5.67741935483871,2,31.0,8,55,2,48,0,18.9,14.63,12.81,20.8,15.5,23.37,0.0,25.0
Library,neural network,"As a librarian, I want to use neural networks to analyze and predict book demand and popularity, so that I can improve book collection and availability for readers.","As a library curator, my goal is to leverage neural network technology for the analysis and forecast of book demands and trends in popularity. This will help me optimize the selection and accessibility of books, enhancing the reading experience for patrons.",257,2,211,4,0,40,41,5.2926829268292686,2,20.5,4,39,0,35,0,13.6,33.75,11.2,13.7,12.88,16.98,0.0,14.75
Dermatology,fss-svm,"As a dermatologist, I want to use FSS-SVM to select the most important dermatological features from large datasets of patient skin data, so that I can better diagnose and treat skin conditions.","As a medical professional specializing in dermatology, I desire to leverage FSS-SVM technology to identify crucial dermatological characteristics within extensive databases of patient skin information. This will enable me to make more accurate diagnoses and provide effective treatment for various skin conditions.",314,9,260,4,0,41,42,6.5,2,21.0,4,38,2,39,0,18.6,-0.61,14.08,19.7,19.84,22.69,0.0,18.0
Information Systems,pre-trained language model,"As an information systems analyst, I want to use a pre-trained language model to analyze system logs and user feedback, to identify system performance issues and user behavior patterns, and to use this information to develop more effective system design and troubleshooting strategies.","As a data analysis expert in the field of information systems, I aim to leverage a prepared language model for the purpose of examining system logs and user responses, with the goal of detecting potential system performance problems and recurring user behavior patterns. The insights gleaned from this analysis will be utilized to design more efficient solutions and streamline troubleshooting processes.",404,3,337,4,0,60,61,5.639344262295082,2,30.5,4,58,1,49,0,17.5,23.6,12.91,20.4,15.62,20.72,0.0,22.25
Library,neuromorphic engineering,"As a librarian, I want to explore the use of neuromorphic engineering in developing tools for more efficient cataloging and organization of library materials, so that we can improve access to information and knowledge.","As a library caretaker, I'm keen on investigating how neuromorphic engineering could be applied to create innovative tools for streamlined classification and arrangement of various library resources. This exploration aims to enhance the availability and dissemination of information and scholarly insights.",306,3,259,4,0,40,41,6.487804878048781,2,20.5,4,38,0,36,0,17.2,8.37,12.74,19.4,19.78,20.88,0.0,16.75
Sport,conversational understanding,"As a sports organization, I want to use conversational understanding to develop a chatbot that can provide real-time updates on scores, schedules, and player statistics.","As a sports association, it is desirable for us to leverage advanced conversation recognition to create a chatbot capable of delivering up-to-the-minute information on game results, timetables, and player performance statistics.",228,1,190,7,0,30,31,6.387096774193548,1,31.0,7,30,0,29,0,20.1,6.17,13.32,24.2,19.04,24.01,0.0,24.5
Pediatrics,stochastic semantic analysis,"As a pediatrician, I want to use stochastic semantic analysis to analyze patterns in child health data and identify common trends in child health outcomes, in order to improve preventive care and early intervention for childhood illnesses.","As a healthcare provider specializing in children's health, it is essential for me to employ stochastic semantic analysis to recognize and interpret recurring patterns within the dataset of child health records. By identifying frequent trends in child health results, I can enhance preventive care strategies and early interventions aimed at combating childhood ailments more effectively.",388,3,326,5,0,54,55,6.072727272727272,2,27.5,5,52,1,50,0,16.4,26.64,13.04,20.9,17.7,20.45,0.0,20.25
Sociology,natural language semantics,"As a sociologist, I want to use natural language semantics to analyze social media posts and other online content, so that I can understand the underlying attitudes and beliefs that shape public opinion on social issues.","As a researcher in sociology, it is important for me to employ natural language analysis techniques to examine social media discourse and various internet content. This will allow me to decipher the prevailing sentiments and values that influence societal viewpoints concerning pressing issues.",294,2,247,3,0,42,43,5.8604651162790695,2,21.5,3,41,0,39,0,16.4,15.81,13.15,16.9,16.3,19.76,0.0,17.25
Music,feature sets,"As a musician, I want to use feature sets to group music data by genre and rhythm, so that I can better understand musical trends and inform my own compositions.","As a creative artist specializing in music, I desire to utilize feature collections to categorize my musical data based on genre and rhythm, facilitating a more comprehensive grasp of prevailing musical patterns and enabling me to make well-informed decisions for my future compositions.",287,2,239,4,0,42,43,5.6976744186046515,1,43.0,4,41,1,37,0,22.4,10.91,13.48,26.9,16.09,25.57,0.0,31.5
Nephrology,perceptron,"As a nephrologist, I want to use perceptron to classify kidney disease based on patient health data to inform treatment plans and predict disease progression.","As a medical specialist focusing on kidney conditions (nephrologist), I wish to employ Perceptron machine learning technique for categorizing kidney diseases using pertinent patient health information. This classification will aid in formulating treatment strategies and forecasting the potential advancement of the disease.",324,4,274,5,0,41,42,6.738095238095238,2,21.0,5,38,1,40,0,17.4,7.86,13.7,20.8,21.12,21.73,0.0,17.5
Demography,novelty detection,"As a demographer, I want to use novelty detection to identify new demographic trends and patterns, so that we can better understand the dynamics of population change.","As a researcher specializing in population statistics, I aim to employ novelty identification techniques to spot emerging demographic tendencies and patterns. This will allow us to gain deeper insights into the evolving nature of population shifts.",248,3,207,3,0,35,36,5.916666666666667,2,18.0,3,33,1,33,0,13.9,27.83,11.99,15.5,16.24,14.98,0.0,13.0
Urban Studies,n-grams,"As an urban planner, I want to use n-grams to analyze patterns in urban development and land use, so that I can better understand how cities evolve over time and make recommendations for sustainable urban planning.","As a city designer, I aim to employ n-gram analysis to discern trends in urban growth and property utilization. This will empower me to grasp the dynamic changes cities undergo throughout their existence, ultimately enabling me to propose eco-friendly strategies for urban development planning.",294,3,242,6,0,43,44,5.704545454545454,2,22.0,6,41,1,39,0,13.1,40.69,14.06,16.4,15.03,17.89,0.0,16.0
Pharmacology,classification method,"As a pharmacologist, I want to use classification methods to classify different types of drugs and their effects, so that I can develop targeted treatment plans.","As a drug researcher, my goal is to employ categorization techniques for distinguishing various drug categories and associated effects. This will enable me to design tailored therapeutic strategies.",198,2,166,3,0,27,28,6.107142857142857,2,14.0,3,26,0,26,0,12.3,31.89,12.79,14.3,16.93,14.17,0.0,9.0
Literature,unsupervised clustering,"As a literary critic, I want to use unsupervised clustering to identify groups of literary works with similar themes and study their relationship to patterns of literary analysis and interpretation.","As a scholarly analyst of literature, I aim to leverage unsupervised classification techniques to pinpoint collections of literary pieces sharing common motifs, enabling me to investigate the correlation between these groups and trends in literary critique and understanding.",275,2,233,3,0,37,38,6.2631578947368425,1,38.0,3,36,1,33,0,22.8,-0.94,14.25,27.1,19.16,25.73,0.0,30.0
Medicine,liquid state machine,"As a medical researcher, I want to use liquid state machines to analyze and predict the efficacy of drugs and treatments based on various factors, such as dosage, patient demographics, and disease progression, allowing for better decisions about drug development and clinical trials.","As a scientist specializing in medicine, I desire to leverage liquid state machines for evaluating and forecasting the effectiveness of medications and therapies considering multiple aspects including dosage level, patient characteristics, and illness advancement stages. This will enable more informed judgments regarding pharmaceutical innovation and trial design.",366,3,312,5,0,46,47,6.808510638297872,2,23.5,5,44,1,44,0,18.4,5.32,14.21,22.4,21.88,22.17,0.0,19.25
Social Media,explicit semantic analysis,"As a social media analyst, I want to use explicit semantic analysis to identify sentiment and trends on social media platforms, so that I can improve social media engagement and better understand user behavior.","As a social media expert, I aim to apply precise semantic analysis techniques to discern sentiments and emerging patterns across various social media outlets. By doing so, I can enhance user engagement levels on these platforms and gain insights into the dynamics of user actions.",280,4,228,4,0,44,45,5.2444444444444445,2,22.5,4,41,2,39,0,13.2,40.18,12.82,14.5,12.94,14.33,0.0,14.25
Cardiology,elman network,"As a cardiologist, I want to use Elman networks to predict which patients are most at risk of developing heart disease based on their medical history, lifestyle factors, and genetic information. I also want to use Elman networks to model the progression of heart disease and predict the effectiveness of different treatments.","Medical Professional (Cardiologist), I need the ability to employ Elman Networks for forecasting patients at highest risk for heart ailments, considering their past health records, lifestyle habits, and genetic data. Additionally, I aim to utilize Elman Networks for simulating the advancement of heart disease and estimating the efficacy of diverse treatment options.",368,10,298,9,0,51,52,6.096153846153846,2,26.0,9,42,2,41,0,17.0,19.71,13.43,20.3,17.35,19.63,0.0,19.0
Transportation,computational linguistics,"As a transportation analyst, I want to use computational linguistics to analyze social media data and understand how people are discussing transportation issues in different regions.","As a specialist in transport analysis, I desire to employ computational language processing techniques to scrutinize social media content and decipher the ways people across various geographic areas are expressing their views on transport-related challenges.",258,2,219,3,0,34,35,6.4,1,35.0,3,33,1,34,0,21.7,2.11,14.4,26.2,19.91,25.43,0.0,27.5
Radiology,supervised deep networks,"As a radiologist, I want to use supervised deep networks to detect and classify anomalies in medical images such as tumors and fractures.","As a medical imaging specialist, my goal is to leverage the power of trained deep learning models to identify and categorize abnormalities like tumors and fractures within various medical images.",195,1,163,2,0,29,30,5.533333333333333,1,30.0,2,29,0,27,0,18.5,15.65,13.02,19.6,15.04,20.0,0.0,22.0
Economics,elbot,"As an economist, I want to use Elbot to analyze and forecast economic trends and outcomes, in order to inform economic policy decisions.","As a financial analyst, I desire to employ Elbot for the assessment and prediction of economic patterns and results, so as to guide decision-making regarding economic policies.",176,3,143,4,0,26,27,5.555555555555555,1,27.0,4,24,1,23,0,17.4,18.69,11.99,18.3,14.39,21.17,0.0,21.5
Sociology,lifelong machine learning,"As a sociologist, I want to use lifelong machine learning to continuously improve my sociological models and theories and adapt them to changing social trends and patterns, in order to provide more accurate and insightful analysis of social phenomena and trends for use in social science research and other applications.","As a researcher in the field of sociology, I desire to leverage continuous lifelong machine learning to consistently enhance my sociological models and hypotheses, allowing them to evolve with shifting societal tendencies and structures. This adaptation aims to produce more precise and enlightening analysis of social occurrences and trends, which can then be applied in social science studies and various other related areas.",427,3,357,5,0,62,63,5.7936507936507935,2,31.5,5,60,1,53,0,19.1,14.12,13.22,21.6,16.43,21.49,0.0,22.75
Transportation,cnn,"As a transportation engineer, I want to use CNNs to classify different types of traffic patterns based on traffic camera footage, so that I can better understand traffic flows and develop targeted traffic management strategies.","As a traffic flow analyst, I aim to leverage Convolutional Neural Networks (CNNs) for categorizing various traffic scenarios derived from traffic cam recordings. This will aid me in gaining insights into traffic dynamics and enable the creation of tailored traffic administration plans.",286,9,231,5,0,41,42,5.833333333333333,2,21.0,5,35,1,38,0,15.0,24.78,12.57,16.5,15.84,15.07,0.0,14.0
Biology,speech synthesis,"A team of bioacoustics researchers is using speech synthesis technology to study the vocalizations of non-human animals, such as birds and whales. The machine learning algorithms are trained to synthesize animal sounds, allowing the researchers to better understand the acoustic communication systems of different species.","A group of experts in bioacoustics employs artificial speech generation for investigating the various vocalizations exhibited by non-human creatures, like birds and whales. By training machine learning models to replicate these animal noises, the researchers can gain deeper insights into the unique acoustic communication mechanisms that different species employ.",364,2,309,5,0,48,49,6.448979591836735,2,24.5,5,47,1,46,0,17.6,12.77,13.87,21.2,19.85,17.15,0.0,18.25
Psychology,pattern recognition,"As a psychologist, I want to use pattern recognition to identify patterns in patient behavior data and predict patient outcomes to inform treatment plans.","As a mental health professional, I desire to employ pattern recognition techniques on collected client behavior data to forecast potential outcomes, thereby enhancing the precision of treatment strategies.",205,2,173,3,0,27,28,6.357142857142857,1,28.0,3,26,1,27,0,17.8,17.68,15.18,22.5,19.27,21.2,0.0,21.0
Social Media,tokenization,"As a social media marketer, I want to tokenize user comments to understand sentiment towards a product.","As a digital marketing professional specializing in social media platforms, I aim to assign sentimental values to user remarks to gain insights into their opinions regarding a particular product.",195,2,163,2,0,28,29,5.758620689655173,1,29.0,2,27,1,26,0,19.3,8.2,14.33,20.2,16.31,21.26,0.0,21.5
Political Science,feature extraction,"As a political scientist, I want to use feature extraction to identify and extract meaningful features from political data, such as voting patterns and political affiliation, so that we can better understand and analyze political systems.","As a researcher in political studies, I require the implementation of a feature extraction tool to isolate and pull out significant aspects from political datasets, like voting tendencies and party allegiances, in order to gain more profound insights into and enhance the analysis of various political structures.",313,2,261,4,0,46,47,5.680851063829787,1,47.0,4,45,1,38,0,25.2,-1.62,12.69,28.8,16.09,25.61,0.0,33.5
Library,multinomial logistic regression,"As a librarian, I want to use multinomial logistic regression to predict user preferences and needs based on library usage data and user characteristics to enhance access and discovery for library users.","As a library employee, I aim to employ multinomial logistic regression to forecast the preferences and requirements of users using library utilization data and user attributes. This will help in improving accessibility and discovery options for library patrons.",261,3,218,3,0,37,38,5.894736842105263,2,19.0,3,35,1,33,0,14.2,26.81,12.47,15.8,16.48,18.13,0.0,14.5
Social Networks,recurrent network,"As a social network, I want to use a recurrent network to predict user connections and social network dynamics, based on historical data and social network interactions, so that I can improve the social network experience for my users.","As a digital community platform, it is desired to employ a Recurrent Neural Network (RNN) to forecast user connections and social network trends, utilizing historical data and user interaction patterns within the network. This aims to enhance the overall user experience by tailoring the platform to better accommodate and facilitate user interactions.",352,8,287,6,0,51,52,5.788461538461538,2,26.0,6,46,1,40,0,18.2,11.25,13.12,18.8,15.9,19.63,0.0,19.0
Movies,keyword spotting,"As a movie producer, I want to use keyword spotting to identify specific themes and elements in movie scripts, so that I can develop more engaging and successful movies.","As a film studio executive, my goal is to leverage keyword recognition for pinpointing particular motifs and aspects within screenplays, enabling me to create films with enhanced appeal and greater likelihood of success.",220,1,184,3,0,32,33,5.696969696969697,1,33.0,3,32,0,31,0,17.3,29.52,14.36,21.9,15.85,19.26,0.0,21.5
Movies,dependency parsing,"As a film analyst, I want to use dependency parsing to analyze movie scripts and identify narrative patterns.","As a movie script analyzer, I need to apply dependency parsing for examining screenplays and discover recurring story structures.",129,2,107,2,0,18,19,5.842105263157895,1,19.0,2,17,1,19,0,14.2,26.81,12.06,15.6,16.01,16.02,0.0,14.5
