Domain,Machine Learning Task,User Story,Paraphrased User Story,original_total_characters,llm_total_characters,diff_total_characters,original_uppercase_characters,llm_uppercase_characters,diff_uppercase_characters,original_lowercase_characters,llm_lowercase_characters,diff_lowercase_characters,original_special_characters,llm_special_characters,diff_special_characters,original_numbers,llm_numbers,diff_numbers,original_blanks,llm_blanks,diff_blanks,original_number_of_words,llm_number_of_words,diff_number_of_words,original_average_length_of_words,llm_average_length_of_words,diff_average_length_of_words,original_number_of_propositions,llm_number_of_propositions,diff_number_of_propositions,original_average_length_of_propositions,llm_average_length_of_propositions,diff_average_length_of_propositions,original_punctuation_characters,llm_punctuation_characters,diff_punctuation_characters,original_lowercase_words,llm_lowercase_words,diff_lowercase_words,original_uppercase_words,llm_uppercase_words,diff_uppercase_words,original_vocabulary_richness,llm_vocabulary_richness,diff_vocabulary_richness,original_number_of_urls,llm_number_of_urls,diff_number_of_urls
Biology,attention mechanism,"As a cognitive psychologist, I want to use attention mechanisms to study how the brain selectively processes and prioritizes sensory information, to better understand cognitive processing and develop new therapies for attentional disorders like ADHD.","As a cognitive psychologist, I want to leverage attention mechanisms to investigate how the brain selectively processes and prioritizes sensory information, in order to gain a deeper understanding of cognitive processing and develop novel therapies for attentional disorders like ADHD.",250,285,-35,6,6,0,207,237,-30,3,3,0,0,0,0,34,39,-5,35,40,-5,6.171428571428572,6.15,0.021428571428571352,1,1,0,35.0,40.0,-5.0,3,3,0,32,37,-5,2,2,0,31,35,-4,0,0,0
Biology,autoencoder,"A team of bioinformaticians is using autoencoders to compress large sets of genomic data into more compact representations, allowing for more efficient analysis and processing of the data.","A group of bioinformaticians utilizes autoencoders to compress large sets of genomic data into more compact representations, enabling faster analysis and processing of the data.",188,177,11,1,1,0,158,150,8,2,2,0,0,0,0,27,24,3,28,25,3,5.75,6.12,-0.3700000000000001,1,1,0,28.0,25.0,3.0,2,2,0,27,24,3,1,1,0,25,23,2,0,0,0
Biology,automated pattern recognition,"As a biologist, I want to use automated pattern recognition techniques to quickly and accurately identify different species of plants and animals based on their physical features, so that I can better understand the biodiversity of natural ecosystems.","As a biologist, I want an automated pattern recognition system to quickly and accurately identify different species of plants and animals based on their physical features, so that I can gain a deeper understanding of the biodiversity of natural ecosystems.",251,256,-5,3,3,0,208,211,-3,3,3,0,0,0,0,37,39,-2,38,40,-2,5.631578947368421,5.425,0.20657894736842142,1,1,0,38.0,40.0,-2.0,3,3,0,35,37,-2,2,2,0,34,35,-1,0,0,0
Biology,automatic summarization,"A group of researchers is using automatic summarization to extract key information from scientific articles and reports, enabling more efficient review and analysis of the literature.","A team of scientists leverages automated summarization techniques to condense crucial details from scholarly writings and documents, streamlining their examination and evaluation of the existing knowledge.",183,205,-22,1,1,0,155,177,-22,2,2,0,0,0,0,25,25,0,26,26,0,6.076923076923077,6.923076923076923,-0.8461538461538467,1,1,0,26.0,26.0,0.0,2,2,0,25,25,0,1,1,0,24,24,0,0,0,0
Biology,backpropagation,"A researcher in computational biology is using backpropagation to train a machine learning algorithm to predict the likelihood of different genetic mutations leading to cancer. By analyzing large sets of genomic data, the algorithm is trained to identify the underlying genetic factors that contribute to cancer development.","A computational biologist is utilizing backpropagation to train a machine learning model to predict the likelihood of specific genetic mutations leading to cancer. By analyzing vast amounts of genomic data, the model is being trained to identify the underlying genetic factors that contribute to cancer development.",324,315,9,2,2,0,273,265,8,3,3,0,0,0,0,46,45,1,47,46,1,5.914893617021277,5.869565217391305,0.04532839962997226,2,2,0,23.5,23.0,0.5,3,3,0,45,44,1,1,1,0,37,36,1,0,0,0
Biology,bag of words,"A team is using bag of words models to analyze DNA sequences, aiding in the identification of regulatory regions and the development of new genetic therapies.",The team is utilizing bag-of-words models to analyze DNA sequences for identifying regulatory regions and creating novel genetic treatments.,158,140,18,4,4,0,127,115,12,2,3,-1,0,0,0,25,18,7,26,19,7,5.115384615384615,6.421052631578948,-1.3056680161943328,1,1,0,26.0,19.0,7.0,2,3,-1,24,17,7,2,1,1,23,19,4,0,0,0
Biology,bagging,"As a bioinformatics analyst, I want to use bagging to improve the accuracy of my predictive model for identifying genetic variants associated with drug response, to facilitate precision medicine and improve patient outcomes.","As a bioinformatics analyst, I desire to utilize bagging to enhance the accuracy of my predictive model for identifying genetic variants associated with drug response, thereby facilitating precision medicine and improving patient outcomes.",224,239,-15,2,2,0,187,202,-15,3,3,0,0,0,0,32,32,0,33,33,0,5.818181818181818,6.2727272727272725,-0.45454545454545414,1,1,0,33.0,33.0,0.0,3,3,0,31,31,0,1,1,0,30,32,-2,0,0,0
Biology,batch learning,"As a machine learning engineer, I want to use batch learning to train deep neural networks that can accurately predict protein folding and improve our understanding of protein structure and function.","As an AI researcher, I need a system that enables me to train deep neural networks in bulk, advancing my comprehension of protein structure and function through accurate folding predictions.",199,190,9,2,4,-2,165,154,11,2,3,-1,0,0,0,30,29,1,31,30,1,5.451612903225806,5.366666666666666,0.0849462365591398,1,1,0,31.0,30.0,1.0,2,3,-1,29,27,2,1,2,-1,27,30,-3,0,0,0
Biology,bayesian learning,"As a computational biologist, I want to use Bayesian learning techniques to model the behavior of different biological systems and study how they respond to different stimuli and environmental factors.","As a computational biologist, I aim to utilize Bayesian learning methods to model various biological processes and investigate their reactions to diverse stimuli and environmental influences.",201,191,10,3,3,0,167,161,6,2,2,0,0,0,0,29,25,4,30,26,4,5.733333333333333,6.384615384615385,-0.6512820512820516,1,1,0,30.0,26.0,4.0,2,2,0,27,23,4,1,1,0,26,23,3,0,0,0
Biology,bayesian network model,"A team of biologists is using a Bayesian network model to identify the underlying factors that contribute to disease susceptibility in different populations. By analyzing large sets of genomic and clinical data, the model is trained to identify genetic and environmental risk factors that contribute to disease development.","A team of biologists utilizes a Bayesian network model to identify underlying factors contributing to disease susceptibility in diverse populations. By analyzing massive sets of genomic and clinical data, the model is trained to recognize genetic and environmental risk factors that contribute to disease progression.",323,317,6,3,3,0,270,267,3,3,3,0,0,0,0,47,44,3,48,45,3,5.75,6.066666666666666,-0.31666666666666643,2,2,0,24.0,22.5,1.5,3,3,0,45,42,3,1,1,0,35,37,-2,0,0,0
Biology,bayesian neural network,"As a computational biologist, I want to use bayesian neural networks to model complex biological systems and predict their behavior under different conditions, so that I can gain a deeper understanding of the underlying mechanisms that govern cellular processes.","As a computational biologist, I want to utilize Bayesian neural networks to model complex biological systems and predict their behavior under diverse conditions, so that I can gain a more profound understanding of the underlying mechanisms driving cellular processes.",262,267,-5,3,4,-1,218,222,-4,3,3,0,0,0,0,38,38,0,39,39,0,5.743589743589744,5.871794871794871,-0.12820512820512775,1,1,0,39.0,39.0,0.0,3,3,0,36,35,1,2,2,0,35,36,-1,0,0,0
Biology,bidirectional long short-term memory,"As a bioinformatics researcher, I want to use bi-directional long short-term memory networks to analyze large sets of genomic data and identify patterns of gene expression over time, so that I can better understand the regulatory mechanisms that control cell function.","As a bioinformatics researcher, I want to leverage bi-directional long short-term memory networks to analyze vast amounts of genomic data and uncover patterns of gene expression over time, so that I can gain a deeper understanding of the complex regulatory mechanisms governing cellular function.",268,296,-28,3,3,0,220,245,-25,5,5,0,0,0,0,40,43,-3,41,44,-3,5.560975609756097,5.75,-0.18902439024390283,1,1,0,41.0,44.0,-3.0,5,5,0,38,41,-3,2,2,0,37,39,-2,0,0,0
Biology,bidirectional long short-term memory,"As a bioinformatics researcher, I want to use bidirectional long short-term memory (BiLSTM) networks to accurately predict protein structures based on their amino acid sequences. By training the BiLSTM network on a large dataset of protein sequences and their corresponding structures, I can leverage the network's ability to capture both forward and backward context to make more accurate predictions about the 3D structure of proteins. This will help me better understand the function of these proteins and potentially lead to the discovery of new drug targets","As a bioinformatics researcher, I want to use bidirectional long short-term memory (BiLSTM) networks to accurately predict protein structures based on their amino acid sequences by training the BiLSTM network on a large dataset of protein sequences and their corresponding structures, leveraging the network's ability to capture both forward and backward context to make more accurate predictions about the 3D structure of proteins, which will help me better understand the function of these proteins and potentially lead to the discovery of new drug targets.",562,559,3,16,13,3,452,454,-2,8,8,0,1,1,0,85,83,2,86,84,2,5.546511627906977,5.666666666666667,-0.12015503875969014,3,1,2,28.666666666666668,84.0,-55.33333333333333,8,8,0,78,79,-1,3,2,1,68,66,2,0,0,0
Biology,bidirectional recurrent neural network,"As a bioinformatician, I want to use bidirectional recurrent neural networks to model the dynamic behavior of biological systems and predict their response to different stimuli, so that I can develop new therapeutic strategies for disease treatment.","As a bioinformatician, I want to utilize bidirectional recurrent neural networks to model the complex behavior of biological systems and predict their responses to various stimuli, so that I can create innovative therapeutic approaches for disease treatment.",249,258,-9,3,3,0,207,216,-9,3,3,0,0,0,0,36,36,0,37,37,0,5.756756756756757,6.0,-0.24324324324324298,1,1,0,37.0,37.0,0.0,3,3,0,34,34,0,2,2,0,34,34,0,0,0,0
Biology,bigram,"Researchers are using bigram models to analyze patterns of antibiotic resistance in bacterial populations, facilitating the development of new treatments and interventions.","Researchers leverage bogram models to identify patterns of antibiotic resistance in bacterial populations, paving the way for innovative therapies and interventions.",172,165,7,1,1,0,148,142,6,2,2,0,0,0,0,21,20,1,22,21,1,6.863636363636363,6.904761904761905,-0.04112554112554179,1,1,0,22.0,21.0,1.0,2,2,0,21,20,1,0,0,0,21,21,0,0,0,0
Biology,bilstm,"As a computational biologist, I want to use bidirectional long short-term memory (bilstm) models to analyze large sets of genomic data and predict the expression levels of different genes in response to different stimuli, so that I can better understand the underlying regulatory mechanisms that control cell function. By training bilstm models on gene expression data and integrating other relevant genomic features, such as chromatin accessibility and DNA methylation, I can identify key gene regulatory networks and pathways that are involved in specific biological processes. T","As a computational biologist, I want to utilize bidirectional long short-term memory (bilstm) models to analyze vast amounts of genomic data and predict the expression levels of diverse genes in response to various stimuli, so that I can gain a deeper understanding of the underlying regulatory mechanisms that govern cell function. By training bilstm models on gene expression data and incorporating other relevant genomic features, such as chromatin accessibility and DNA methylation, I can uncover crucial gene regulatory networks and pathways involved in specific biological processes. This knowledge will enable me to better understand the complex interactions between genes, their regulatory elements, and the cellular environment, ultimately leading to new insights and discoveries in the field of computational biology.",581,827,-246,9,9,0,478,687,-209,9,13,-4,0,0,0,85,118,-33,86,119,-33,5.767441860465116,5.957983193277311,-0.1905413328121952,3,3,0,28.666666666666668,39.666666666666664,-10.999999999999996,9,13,-4,79,112,-33,5,4,1,66,88,-22,0,0,0
Biology,binary classification,"As a bioinformatics researcher, I want to use binary classification algorithms to predict the presence or absence of specific genetic mutations that are associated with different diseases, so that I can develop personalized treatments and interventions.","As a bioinformatics researcher, I want to use binary classification algorithms to predict the presence or absence of specific genetic mutations associated with different diseases, so that I can develop personalized treatments and interventions.",253,244,9,3,3,0,212,205,7,3,3,0,0,0,0,35,33,2,36,34,2,6.055555555555555,6.205882352941177,-0.15032679738562127,1,1,0,36.0,34.0,2.0,3,3,0,33,31,2,2,2,0,33,32,1,0,0,0
Biology,boosting method,"As a computational biologist, I want to use boosting methods to predict protein-protein interactions and identify new drug targets, to develop new treatments for diseases like cancer and Alzheimer's.","As a computational biologist, I want to leverage boosting techniques to forecast protein-protein interactions and discover novel drug targets, with the goal of creating new treatments for diseases such as cancer and Alzheimer's.",199,228,-29,3,3,0,163,188,-25,5,5,0,0,0,0,28,32,-4,29,33,-4,5.896551724137931,5.9393939393939394,-0.04284221525600884,1,1,0,29.0,33.0,-4.0,5,5,0,26,30,-4,1,1,0,25,31,-6,0,0,0
Biology,bootstrap aggregating,"As a genomics researcher, I want to use bootstrap aggregating to improve the accuracy of my predictive model for identifying genetic variants associated with disease, to facilitate precision medicine and improve patient outcomes.","As a genomics researcher, I aim to leverage bootstrapping techniques to enhance the accuracy of my predictive model for identifying genetic variants related to disease, ultimately contributing to precision medicine and better patient outcomes.",229,243,-14,2,2,0,192,205,-13,3,3,0,0,0,0,32,33,-1,33,34,-1,5.96969696969697,6.176470588235294,-0.20677361853832465,1,1,0,33.0,34.0,-1.0,3,3,0,31,32,-1,1,1,0,30,31,-1,0,0,0
Biology,c4.5 algorithm,"As a bioinformatics researcher, I want to use the c4.5 algorithm to analyze large sets of genetic data and identify the genes and proteins that are most strongly associated with specific diseases, so that I can develop personalized treatments and interventions.","As a bioinformatics researcher, I want to use the c4.5 algorithm to analyze large sets of genetic data in order to identify the most strongly associated genes and proteins with specific diseases, so that I can develop personalized treatments and interventions.",261,260,1,3,3,0,212,211,1,4,4,0,2,2,0,40,40,0,41,41,0,5.390243902439025,5.365853658536586,0.024390243902439046,2,2,0,21.0,21.0,0.0,4,4,0,38,38,0,2,2,0,35,36,-1,0,0,0
Biology,canonical correlation analysis,"As a cancer biologist, I want to use canonical correlation analysis to understand the relationship between gene expression levels and clinical outcomes in cancer patients, to develop personalized treatment plans and improve patient outcomes.","As a cancer biologist, I aim to leverage canonical correlation analysis to explore the connection between gene expression profiles and clinical outcomes in cancer patients. By gaining insights into these relationships, I hope to create personalized treatment plans tailored to individual patients' needs, ultimately leading to improved patient outcomes.",241,353,-112,2,4,-2,203,295,-92,3,6,-3,0,0,0,33,48,-15,34,49,-15,6.117647058823529,6.224489795918367,-0.10684273709483794,1,2,-1,34.0,24.5,9.5,3,6,-3,32,45,-13,1,2,-1,30,43,-13,0,0,0
Biology,case-based reasoning,"A team of bioinformatics researchers are using case-based reasoning methods to identify new targets for drug development based on the molecular characteristics of existing drugs, in order to accelerate the drug discovery process.","A group of bioinformaticians are utilizing case-based reasoning techniques to find novel drug targets by analyzing the molecular properties of already approved drugs, with the goal of expediting the drug development process.",229,224,5,1,1,0,193,189,4,3,3,0,0,0,0,32,31,1,33,32,1,5.96969696969697,6.03125,-0.061553030303030276,1,1,0,33.0,32.0,1.0,3,3,0,32,31,1,1,1,0,29,27,2,0,0,0
Biology,chaid,"As a biologist, I want to use the CHAID algorithm to analyze complex genomic datasets and identify the relationships between different genes and proteins, so that I can better understand the underlying biological processes.","As a biologist, I want to utilize the CHAID algorithm to analyze intricate genomic datasets and identify the connections between various genes and proteins, so that I can gain a deeper understanding of the underlying biological processes.",223,238,-15,8,8,0,179,191,-12,3,3,0,0,0,0,33,36,-3,34,37,-3,5.588235294117647,5.45945945945946,0.1287758346581871,1,1,0,34.0,37.0,-3.0,3,3,0,30,33,-3,3,3,0,29,31,-2,0,0,0
Biology,chatbot,"A group of biologists is using a chatbot to interact with citizen scientists, enabling the collection of data on rare and elusive species and improving conservation efforts.","A team of biologists leverages a chatbot to collaborate with citizen scientists in collecting valuable data on hard-to-track species, ultimately contributing to enhanced conservation initiatives.",173,195,-22,1,1,0,144,166,-22,2,4,-2,0,0,0,26,24,2,27,25,2,5.444444444444445,6.84,-1.3955555555555552,1,1,0,27.0,25.0,2.0,2,4,-2,26,24,2,1,1,0,25,24,1,0,0,0
Biology,classification algorithms,"As a bioinformatics researcher, I want to use different classification algorithms to analyze large genomic datasets and identify the genes and proteins that are most strongly associated with specific diseases, so that I can develop personalized treatments and interventions.","As a bioinformatics researcher, I want to utilize various classification algorithms to analyze large genomic datasets and identify the genes and proteins that are most significantly associated with specific diseases, so that I can create personalized treatments and interventions.",274,280,-6,3,3,0,230,236,-6,3,3,0,0,0,0,38,38,0,39,39,0,6.051282051282051,6.205128205128205,-0.1538461538461542,1,1,0,39.0,39.0,0.0,3,3,0,36,36,0,2,2,0,34,34,0,0,0,0
Biology,classification and regression tree,"As a computational biologist, I want to use classification and regression trees to analyze large sets of genomic data and identify the genes and proteins that are most strongly associated with specific diseases, so that I can develop targeted treatments and interventions.","As a computational biologist, I want to use classification and regression trees to analyze large sets of genomic data and identify the genes and proteins that are most strongly associated with specific diseases, so that I can develop targeted treatments and interventions.",272,272,0,3,3,0,225,225,0,3,3,0,0,0,0,41,41,0,42,42,0,5.5,5.5,0.0,1,1,0,42.0,42.0,0.0,3,3,0,39,39,0,2,2,0,36,36,0,0,0,0
Biology,classification method,"As a bioinformatics researcher, I want to compare different classification methods to identify the most accurate and reliable approach for predicting the presence or absence of specific genetic mutations that are associated with different diseases.","As a bioinformatics researcher, I need an efficient method to compare various classification algorithms to determine the most accurate and reliable approach for predicting the presence or absence of specific genetic mutations associated with different diseases.",248,261,-13,2,2,0,210,222,-12,2,2,0,0,0,0,34,35,-1,35,36,-1,6.114285714285714,6.277777777777778,-0.1634920634920638,1,1,0,35.0,36.0,-1.0,2,2,0,33,34,-1,1,1,0,32,34,-2,0,0,0
Biology,classifier,"As a computational biologist, I want to use classifiers to analyze large sets of genomic data and identify the genes and proteins that are most strongly associated with specific diseases, so that I can develop targeted treatments and interventions.","As a computational biologist, I want to use machine learning algorithms to analyze large datasets of genomic information and identify the genes or proteins most strongly associated with specific diseases, so that I can create tailored treatments and interventions.",248,264,-16,3,3,0,204,220,-16,3,3,0,0,0,0,38,38,0,39,39,0,5.384615384615385,5.794871794871795,-0.4102564102564097,1,1,0,39.0,39.0,0.0,3,3,0,36,36,0,2,2,0,34,36,-2,0,0,0
Biology,classifier chain,"As a biologist, I want to use a classifier chain to analyze complex genetic datasets and identify the relationships between different genes and proteins, so that I can better understand the underlying biological processes.","As a biologist, I want to utilize a classifier chain to analyze intricate genomic data sets and recognize connections between diverse genes and proteins, allowing me to comprehend the underlying biological procedures more profoundly.",222,233,-11,3,2,1,183,195,-12,3,3,0,0,0,0,33,33,0,34,34,0,5.5588235294117645,5.882352941176471,-0.3235294117647065,1,1,0,34.0,34.0,0.0,3,3,0,31,32,-1,2,1,1,29,30,-1,0,0,0
Biology,cluster analysis,"As a molecular biologist, I want to use cluster analysis techniques to identify groups of proteins that are functionally related, so that I can better understand the complex interactions that occur within living systems.","As a molecular biologist, I want to use clustering analysis techniques to group functionally related proteins together, allowing me to gain a deeper understanding of the intricate interactions within living systems.",220,215,5,3,2,1,181,180,1,3,3,0,0,0,0,33,30,3,34,31,3,5.5,5.967741935483871,-0.467741935483871,1,1,0,34.0,31.0,3.0,3,3,0,31,29,2,2,1,1,30,28,2,0,0,0
Biology,cnn,"As a bioinformatics researcher, I want to use convolutional neural networks to analyze large sets of imaging data and identify patterns of cell behavior that are associated with specific biological processes, so that I can develop new diagnostic and therapeutic strategies for disease treatmen","As a bioinformatics researcher, I want to utilize convolutional neural networks to analyze vast sets of imaging data and identify patterns of cell behavior that are correlated with specific biological processes, so that I can create novel diagnostic and therapeutic strategies for disease treatment.",293,299,-6,3,3,0,245,250,-5,2,3,-1,0,0,0,43,43,0,44,44,0,5.681818181818182,5.818181818181818,-0.1363636363636367,1,1,0,44.0,44.0,0.0,2,3,-1,41,41,0,2,2,0,39,39,0,0,0,0
Biology,co-training,"As a bioinformatics researcher, I want to use co-training techniques to improve the accuracy and reliability of machine learning models for predicting the presence or absence of specific genetic mutations that are associated with different diseases.","As a bioinformatics researcher, I aim to leverage co-training techniques to enhance the accuracy and reliability of machine learning models for predicting the presence or absence of specific genetic mutations linked to various diseases.",249,236,13,2,2,0,209,198,11,3,3,0,0,0,0,35,33,2,36,34,2,5.944444444444445,5.970588235294118,-0.02614379084967311,1,1,0,36.0,34.0,2.0,3,3,0,34,32,2,1,1,0,33,30,3,0,0,0
Biology,competitive learning,"As a neuroscientist, I want to use competitive learning to study how neurons in the brain compete to process sensory information and learn new skills, to better understand brain plasticity and develop new therapies for neurological disorders.","As a neuroscientist, I want to utilize competitive learning to investigate how neurons in the brain compete to process sensory information and acquire new skills, with the goal of enhancing our understanding of brain plasticity and creating novel treatments for neurological disorders.",242,285,-43,2,2,0,201,239,-38,3,3,0,0,0,0,36,41,-5,37,42,-5,5.5675675675675675,5.809523809523809,-0.24195624195624177,1,1,0,37.0,42.0,-5.0,3,3,0,35,40,-5,1,1,0,31,36,-5,0,0,0
Biology,computational argumentation,"As a biologist, I want to use computational argumentation to identify and evaluate different hypotheses for a complex biological process, such as the molecular mechanisms behind a disease.","As a biologist, I want to leverage computational argumentation to identify and assess various hypotheses regarding a complicated biological process, including the molecular mechanisms underlying a disease, using computational methods to aid in my reasoning and decision-making.",188,277,-89,2,2,0,156,234,-78,3,5,-2,0,0,0,27,36,-9,28,37,-9,5.75,6.513513513513513,-0.7635135135135132,1,1,0,28.0,37.0,-9.0,3,5,-2,26,35,-9,1,1,0,25,31,-6,0,0,0
Biology,computational linguistics,"As a bioinformatics specialist, I want to apply computational linguistics techniques to extract relevant information from biomedical literature and build knowledge graphs to facilitate knowledge discovery and hypothesis generation.","As a bioinformatics specialist, I aim to leverage computational linguistics methods to extract valuable insights from biomedical texts and construct knowledge graphs to promote knowledge exploration and hypothesis creation.",231,223,8,2,2,0,199,191,8,2,2,0,0,0,0,28,28,0,29,29,0,7.0,6.724137931034483,0.2758620689655169,1,1,0,29.0,29.0,0.0,2,2,0,27,27,0,1,1,0,25,25,0,0,0,0
Biology,computational semantics,"As a computational biologist, I want to develop computational semantic models to represent the meaning of biological concepts and entities, and use them to improve automated text mining and information retrieval from biomedical databases.","As a computational biologist, I aim to create computational models that convey the semantic meanings of biological concepts and entities, enabling more accurate automated text mining and information retrieval from biomedical datasets.",238,234,4,2,2,0,200,198,2,3,3,0,0,0,0,33,31,2,34,32,2,6.029411764705882,6.34375,-0.31433823529411775,1,1,0,34.0,32.0,2.0,3,3,0,32,30,2,1,1,0,29,30,-1,0,0,0
